17-110kVⅡ母电压Ua_17,18-110kVⅡ母电压Ub_18,19-110kVⅡ母电压Uc_19,20-110kVⅡ母电压3Uo_20,21-110kV狮云回Ⅱ线177电流Ia_21,22-110kV狮云回Ⅱ线177电流Ib_22,23-110kV狮云回Ⅱ线177电流Ic_23,24-110kV狮云回Ⅱ线177电流3Io_24
83.86256408691406,-37.097328186035156,-46.8583869934082,-0.317065566778183,0.03525475040078163,0.0,-0.03526987507939339,0.0
83.7672348022461,-34.529048919677734,-49.2044792175293,-0.1585327833890915,-0.03525475040078163,-0.035158928483724594,-0.03526987507939339,0.0
83.6718978881836,-32.0558967590332,-51.518863677978516,0.0317065566778183,0.0,0.0,0.0,0.0
83.64012145996094,-29.61444664001465,-53.738136291503906,0.4121852517127991,0.0,0.0,0.0,0.0
83.41767120361328,-27.141292572021484,-55.830596923828125,0.6658377051353455,0.03525475040078163,-0.035158928483724594,-0.03526987507939339,-0.03528634458780289
83.16344451904297,-24.731552124023438,-57.73283004760742,0.9194901585578918,0.03525475040078163,0.0,-0.03526987507939339,-0.03528634458780289
82.71855163574219,-22.41693115234375,-59.635066986083984,1.046316385269165,0.0,0.0,-0.03526987507939339,0.0
82.14654541015625,-20.07060432434082,-61.44218826293945,0.9511967301368713,0.0,0.0,-0.03526987507939339,-0.03528634458780289
81.44742584228516,-17.72427749633789,-63.15420150756836,0.8560770750045776,0.0,0.0,0.0,-0.03528634458780289
80.7165298461914,-15.314537048339844,-64.83451080322266,0.8243705034255981,-0.03525475040078163,0.0,-0.03526987507939339,-0.03528634458780289
79.79496002197266,-12.904796600341797,-66.48310852050781,0.5073049068450928,0.03525475040078163,-0.035158928483724594,0.0,0.0
78.65094757080078,-10.399934768676758,-68.06830596923828,0.1902393400669098,0.03525475040078163,0.0,-0.03526987507939339,-0.03528634458780289
77.37982177734375,-7.768243789672852,-69.59009552001953,-0.1268262267112732,0.0,0.035158928483724594,-0.03526987507939339,0.0
75.9498062133789,-5.041431427001953,-71.04847717285156,-0.3804786801338196,0.0,0.0,-0.03526987507939339,0.03528634458780289
74.51979064941406,-2.2194981575012207,-72.53855895996094,-0.5707180500030518,0.0,-0.035158928483724594,0.0,0.0
72.99443817138672,0.6341423392295837,-73.9652328491211,-0.7292508482933044,0.0,0.0,-0.03526987507939339,0.0
71.40552520751953,3.4877829551696777,-75.32850646972656,-0.8560770750045776,0.03525475040078163,0.0,0.0,0.0
69.75305938720703,6.341423511505127,-76.56495666503906,-0.9194901585578918,0.0,0.0,-0.03526987507939339,0.03528634458780289
68.16415405273438,9.195063591003418,-77.76970672607422,-0.8877835869789124,0.0,0.0,-0.03526987507939339,0.0
66.63880157470703,11.953582763671875,-79.00615692138672,-0.8877835869789124,0.0,0.0,0.0,-0.03528634458780289
65.08167266845703,14.680395126342773,-80.11579895019531,-0.7609573602676392,0.0,0.0,0.0,0.0
63.492767333984375,17.248672485351562,-81.06690979003906,-0.6024246215820312,0.0,-0.035158928483724594,-0.03526987507939339,0.03528634458780289
61.87207794189453,19.848655700683594,-81.92292022705078,-0.47559836506843567,-0.03525475040078163,0.0,-0.03526987507939339,-0.03528634458780289
60.15605926513672,22.321809768676758,-82.65210723876953,-0.317065566778183,-0.03525475040078163,0.0,0.0,0.0
58.44003677368164,24.731552124023438,-83.2227783203125,-0.1585327833890915,0.0,0.0,0.0,0.0
56.59690475463867,27.10958480834961,-83.73004150390625,0.0,-0.03525475040078163,-0.035158928483724594,0.0,0.0
54.72199249267578,29.424203872680664,-84.07878875732422,0.1268262267112732,0.03525475040078163,0.0,-0.03526987507939339,0.0
52.65641403198242,31.80223846435547,-84.36412048339844,0.1585327833890915,-0.03525475040078163,0.0,-0.03526987507939339,0.0
50.431941986083984,34.053443908691406,-84.49093627929688,0.0317065566778183,0.0,-0.035158928483724594,0.0,-0.07057268917560577
48.14391326904297,36.368064880371094,-84.52263641357422,-0.1268262267112732,0.0,0.0,-0.03526987507939339,0.0
45.665218353271484,38.77780532836914,-84.64945220947266,-0.3804786801338196,0.0,0.0,-0.03526987507939339,0.0
43.186519622802734,41.15583801269531,-84.71286010742188,-0.634131133556366,-0.03525475040078163,0.0,0.0,-0.03528634458780289
40.64426803588867,43.56557846069336,-84.71286010742188,-0.7926639318466187,0.0,0.0,-0.03526987507939339,0.03528634458780289
38.03845977783203,45.975318908691406,-84.5543441772461,-0.8877835869789124,0.03525475040078163,0.0,0.0,0.0
35.36909484863281,48.4484748840332,-84.36412048339844,-0.9511967301368713,-0.03525475040078163,0.0,0.0,0.0
32.763282775878906,50.826507568359375,-84.17389678955078,-0.9511967301368713,0.0,-0.035158928483724594,0.0,0.0
30.252809524536133,53.10942077636719,-83.98367309570312,-1.0146098136901855,0.0,0.0,0.0,0.0
27.869447708129883,55.32891845703125,-83.73004150390625,-0.9194901585578918,-0.03525475040078163,0.0,0.0,0.0
25.454307556152344,57.45329666137695,-83.38130187988281,-0.697544276714325,0.03525475040078163,-0.035158928483724594,0.0,0.0
23.070945739746094,59.450843811035156,-82.84233093261719,-0.4121852517127991,0.0,-0.035158928483724594,-0.03526987507939339,0.0
20.68758201599121,61.384979248046875,-82.27165985107422,-0.1268262267112732,0.0,0.035158928483724594,-0.03526987507939339,-0.03528634458780289
18.30422019958496,63.16057586669922,-81.5107650756836,-0.0634131133556366,0.0,0.0,0.0,0.03528634458780289
15.920858383178711,64.87276458740234,-80.78157806396484,0.1268262267112732,0.0,0.0,0.0,-0.03528634458780289
13.56927490234375,66.45811462402344,-79.957275390625,0.2219458967447281,0.03525475040078163,-0.07031785696744919,-0.07053975015878677,0.0
11.090578079223633,67.98005676269531,-78.9427490234375,0.3804786801338196,0.0,-0.035158928483724594,0.0,0.03528634458780289
8.516547203063965,69.43858337402344,-77.76970672607422,0.3487721383571625,-0.03525475040078163,0.0,0.0,0.0
5.751847267150879,70.83370208740234,-76.43814086914062,0.317065566778183,0.0,0.0,-0.03526987507939339,0.0
2.955368995666504,72.22881317138672,-75.04316711425781,0.2536524534225464,0.0,-0.035158928483724594,-0.07053975015878677,0.0
0.1906689703464508,73.56050872802734,-73.7433090209961,0.0951196700334549,0.0,-0.035158928483724594,-0.03526987507939339,0.0
-2.637587308883667,74.82879638671875,-72.34833526611328,-0.1268262267112732,0.0,-0.035158928483724594,-0.03526987507939339,0.0
-5.402287483215332,76.00196075439453,-70.79484558105469,-0.2536524534225464,0.0,0.0,0.0,0.0
-8.230544090270996,77.17512512207031,-69.20964813232422,-0.2853590250015259,0.0,-0.035158928483724594,-0.03526987507939339,0.0
-10.963465690612793,78.37998962402344,-67.62445068359375,-0.317065566778183,0.0,0.0,-0.03526987507939339,-0.03528634458780289
-13.6646089553833,79.52144622802734,-65.9758529663086,-0.2853590250015259,-0.03525475040078163,0.0,0.0,0.0
-16.270418167114258,80.53607940673828,-64.39065551757812,-0.2219458967447281,0.0,-0.035158928483724594,-0.03526987507939339,0.0
-18.844449996948242,81.45558166503906,-62.74205017089844,-0.1902393400669098,0.0,0.0,0.03526987507939339,0.0
-21.29136848449707,82.27996826171875,-60.96662902832031,0.0634131133556366,0.0,-0.07031785696744919,0.0,0.0
-23.70650863647461,82.97752380371094,-59.127803802490234,0.2536524534225464,-0.03525475040078163,0.0,0.0,0.0
-26.05809211730957,83.57996368408203,-57.22556686401367,0.47559836506843567,0.0,-0.035158928483724594,0.0,0.0
-28.47323226928711,84.0555648803711,-55.323333740234375,0.5707180500030518,0.0,0.0,0.0,0.0
-30.729480743408203,84.46775817871094,-53.325984954833984,0.697544276714325,0.0,0.0,0.0,0.0
-33.01750946044922,84.72142028808594,-51.23352813720703,0.7926639318466187,-0.03525475040078163,-0.035158928483724594,0.0,0.0
-35.36909484863281,84.8482437133789,-49.01425552368164,0.8560770750045776,0.0,-0.035158928483724594,-0.03526987507939339,0.0
-37.75245666503906,84.87995147705078,-46.63645935058594,0.8243705034255981,0.0,0.0,0.0,0.03528634458780289
-40.23115158081055,84.91165924072266,-44.29037094116211,0.6658377051353455,0.03525475040078163,0.0,0.0,0.03528634458780289
-42.678070068359375,84.91165924072266,-41.91257858276367,0.5707180500030518,-0.03525475040078163,-0.035158928483724594,0.0,0.0
-45.1249885559082,84.72142028808594,-39.53478240966797,0.0317065566778183,0.0,0.0,0.0,0.03528634458780289
-47.57190704345703,84.46775817871094,-36.966766357421875,-0.2219458967447281,0.03525475040078163,0.0,0.0,0.0
-50.050601959228516,84.15068817138672,-34.39875030517578,-0.4438917934894562,0.0,0.0,-0.03526987507939339,0.03528634458780289
-52.40218734741211,83.89703369140625,-31.830732345581055,-0.7292508482933044,0.03525475040078163,0.0,0.03526987507939339,0.07057268917560577
