220kV Ⅰ母电压_A相_1,220kV Ⅰ母电压_B相_2,220kV Ⅰ母电压_C相_3,220kV Ⅰ母电压_3U0_4,木景线261_A相_9,木景线261_B相_10,木景线261_C相_11,木景线261_3I0_12
-17.153169631958008,79.59086608886719,-63.67558670043945,-0.7150259613990784,-0.44609957933425903,-0.40941572189331055,-0.16732212901115417,-0.3163006007671356
-39.358158111572266,83.99004364013672,-45.63538360595703,-0.7616580724716187,-0.48327454924583435,-0.36289119720458984,-0.1487307846546173,-0.32560354471206665
-58.15342712402344,83.74044799804688,-26.09961700439453,-0.637305736541748,-0.45539334416389465,-0.40941572189331055,-0.16732212901115417,-0.32560354471206665
-71.48897552490234,76.0132827758789,-5.494109630584717,-0.6683937907218933,-0.44609957933425903,-0.40941572189331055,-0.2045048326253891,-0.3069976270198822
-80.02371978759766,62.472537994384766,16.54464340209961,-0.7150259613990784,-0.44609957933425903,-0.4280255138874054,-0.16732212901115417,-0.3069976270198822
-84.56303405761719,44.86540985107422,38.47953796386719,-0.606217622756958,-0.45539334416389465,-0.4187206029891968,-0.13943511247634888,-0.29769468307495117
-84.09236907958984,25.375892639160156,57.53755569458008,-0.8704663515090942,-0.44609957933425903,-0.4280255138874054,-0.15802645683288574,-0.28839170932769775
-76.43619537353516,4.1391825675964355,70.99760437011719,-0.7461140155792236,-0.44609957933425903,-0.40941572189331055,-0.1766178011894226,-0.3163006007671356
-63.037899017333984,-17.336727142333984,79.38936614990234,-0.7150259613990784,-0.4646870791912079,-0.40941572189331055,-0.18591347336769104,-0.3069976270198822
-45.43498229980469,-39.322235107421875,83.55408477783203,-0.6994819045066833,-0.45539334416389465,-0.4187206029891968,-0.15802645683288574,-0.3163006007671356
-25.876184463500977,-58.57255554199219,83.50215148925781,-0.637305736541748,-0.48327454924583435,-0.3908059000968933,-0.16732212901115417,-0.3069976270198822
-4.957684516906738,-72.4668960571289,76.42939758300781,-0.7927461266517639,-0.45539334416389465,-0.40011081099510193,-0.16732212901115417,-0.29769468307495117
17.069496154785156,-80.83885955810547,62.70970153808594,-0.7772021293640137,-0.49256831407546997,-0.37219610810279846,-0.1766178011894226,-0.32560354471206665
39.243106842041016,-85.12364196777344,44.981075286865234,-0.6994819045066833,-0.48327454924583435,-0.4187206029891968,-0.18591347336769104,-0.3163006007671356
57.986080169677734,-84.7492446899414,25.663410186767578,-0.6683937907218933,-0.5018620491027832,-0.37219610810279846,-0.16732212901115417,-0.3163006007671356
71.42621612548828,-77.20927429199219,4.652856349945068,-0.7150259613990784,-0.49256831407546997,-0.37219610810279846,-0.1766178011894226,-0.2790887653827667
80.08647918701172,-63.64773178100586,-17.333967208862305,-0.7616580724716187,-0.5390369892120361,-0.344281405210495,-0.15802645683288574,-0.29769468307495117
84.5421142578125,-45.863807678222656,-39.39349365234375,-0.6528497934341431,-0.49256831407546997,-0.3815009891986847,-0.19520916044712067,-0.3163006007671356
84.00869750976562,-26.27029037475586,-58.223018646240234,-0.6528497934341431,-0.49256831407546997,-0.36289119720458984,-0.1766178011894226,-0.3069976270198822
76.31068420410156,-5.179178237915039,-71.77654266357422,-0.5440414547920227,-0.49256831407546997,-0.36289119720458984,-0.15802645683288574,-0.3069976270198822
62.964683532714844,16.49433135986328,-80.12675476074219,-0.7461140155792236,-0.49256831407546997,-0.37219610810279846,-0.1487307846546173,-0.29769468307495117
45.34084701538086,38.396636962890625,-84.56150817871094,-0.7616580724716187,-0.49256831407546997,-0.3908059000968933,-0.1766178011894226,-0.32560354471206665
25.907562255859375,57.40776062011719,-84.51996612548828,-0.9948186874389648,-0.4739808142185211,-0.3815009891986847,-0.1766178011894226,-0.3163006007671356
4.884469509124756,71.3021011352539,-77.20833587646484,-0.5751295685768127,-0.45539334416389465,-0.40011081099510193,-0.15802645683288574,-0.32560354471206665
-17.00674057006836,79.62206268310547,-63.727516174316406,-0.7150259613990784,-0.45539334416389465,-0.40011081099510193,-0.1487307846546173,-0.3069976270198822
-39.33723831176758,83.95884704589844,-45.624996185302734,-0.7616580724716187,-0.48327454924583435,-0.3908059000968933,-0.1487307846546173,-0.32560354471206665
-58.12205123901367,83.5428466796875,-26.42157745361328,-0.606217622756958,-0.44609957933425903,-0.40941572189331055,-0.19520916044712067,-0.32560354471206665
-71.54126739501953,76.04447937011719,-5.4317946434021,-0.7305699586868286,-0.45539334416389465,-0.40011081099510193,-0.1766178011894226,-0.33490651845932007
-80.0341796875,62.60773849487305,16.461557388305664,-0.621761679649353,-0.4368058443069458,-0.40941572189331055,-0.16732212901115417,-0.3163006007671356
-84.60487365722656,44.96940994262695,38.593780517578125,-0.5751295685768127,-0.4739808142185211,-0.437330424785614,-0.15802645683288574,-0.29769468307495117
-84.02960968017578,25.39669418334961,57.4544677734375,-0.7461140155792236,-0.45539334416389465,-0.40941572189331055,-0.18591347336769104,-0.29769468307495117
-76.37344360351562,4.367981433868408,70.95606231689453,-0.7305699586868286,-0.45539334416389465,-0.40941572189331055,-0.1766178011894226,-0.33490651845932007
-63.194786071777344,-17.159927368164062,79.44129180908203,-0.606217622756958,-0.4368058443069458,-0.40941572189331055,-0.18591347336769104,-0.28839170932769775
-45.44544219970703,-39.322235107421875,83.62678527832031,-0.7150259613990784,-0.45539334416389465,-0.44663530588150024,-0.1487307846546173,-0.3069976270198822
-25.949398040771484,-58.54135513305664,83.48138427734375,-0.6994819045066833,-0.45539334416389465,-0.3908059000968933,-0.1766178011894226,-0.2790887653827667
-5.062276840209961,-72.35249328613281,76.48133087158203,-0.5751295685768127,-0.5111557841300964,-0.40011081099510193,-0.15802645683288574,-0.33490651845932007
16.97536277770996,-80.83885955810547,62.76163101196289,-0.621761679649353,-0.5018620491027832,-0.3908059000968933,-0.18591347336769104,-0.29769468307495117
39.23264694213867,-85.24844360351562,44.94991683959961,-0.7772021293640137,-0.4646870791912079,-0.40011081099510193,-0.1766178011894226,-0.28839170932769775
58.08021545410156,-84.84284210205078,25.580324172973633,-0.6839378476142883,-0.48327454924583435,-0.3815009891986847,-0.16732212901115417,-0.28839170932769775
71.36346435546875,-77.1988754272461,4.725557327270508,-0.6528497934341431,-0.5018620491027832,-0.3815009891986847,-0.15802645683288574,-0.32560354471206665
80.06555938720703,-63.64773178100586,-17.313196182250977,-0.8082901835441589,-0.5297432541847229,-0.40011081099510193,-0.16732212901115417,-0.3163006007671356
84.58395385742188,-45.99900817871094,-39.300018310546875,-0.8704663515090942,-0.4646870791912079,-0.3535862863063812,-0.18591347336769104,-0.3069976270198822
83.99823760986328,-26.44708824157715,-58.202247619628906,-0.7927461266517639,-0.5018620491027832,-0.3535862863063812,-0.15802645683288574,-0.3069976270198822
76.36298370361328,-5.241578102111816,-71.7453842163086,-0.5284974575042725,-0.5018620491027832,-0.36289119720458984,-0.16732212901115417,-0.3069976270198822
63.05881881713867,16.348731994628906,-80.2306137084961,-0.7927461266517639,-0.5018620491027832,-0.40941572189331055,-0.16732212901115417,-0.32560354471206665
45.55003356933594,38.30303955078125,-84.58228302001953,-0.839378297328949,-0.48327454924583435,-0.36289119720458984,-0.18591347336769104,-0.33490651845932007
25.886642456054688,57.480560302734375,-84.42649841308594,-0.9170984625816345,-0.4646870791912079,-0.3815009891986847,-0.1766178011894226,-0.33490651845932007
4.989062309265137,71.260498046875,-77.46797943115234,-0.6528497934341431,-0.4646870791912079,-0.3815009891986847,-0.1487307846546173,-0.3069976270198822
-16.985820770263672,79.65326690673828,-63.67558670043945,-0.6839378476142883,-0.4739808142185211,-0.4187206029891968,-0.16732212901115417,-0.3442094624042511
-39.211727142333984,84.08364868164062,-45.7703971862793,-0.46632125973701477,-0.4739808142185211,-0.3908059000968933,-0.18591347336769104,-0.3163006007671356
-58.15342712402344,83.5428466796875,-26.431962966918945,-0.823834240436554,-0.44609957933425903,-0.40011081099510193,-0.16732212901115417,-0.33490651845932007
-71.48897552490234,76.15888214111328,-5.514881134033203,-0.6994819045066833,-0.45539334416389465,-0.3908059000968933,-0.16732212901115417,-0.3069976270198822
-80.06555938720703,62.60773849487305,16.440784454345703,-0.7461140155792236,-0.45539334416389465,-0.4187206029891968,-0.16732212901115417,-0.3163006007671356
-84.47936248779297,44.907012939453125,38.51069641113281,-0.9170984625816345,-0.45539334416389465,-0.4187206029891968,-0.15802645683288574,-0.29769468307495117
-84.02960968017578,25.39669418334961,57.350608825683594,-0.7616580724716187,-0.4646870791912079,-0.4187206029891968,-0.18591347336769104,-0.33490651845932007
-76.50941467285156,4.2743821144104,70.90412902832031,-0.7461140155792236,-0.4646870791912079,-0.4187206029891968,-0.1766178011894226,-0.32560354471206665
-63.194786071777344,-17.46152687072754,79.19203186035156,-1.1036269664764404,-0.44609957933425903,-0.40941572189331055,-0.18591347336769104,-0.29769468307495117
-45.518653869628906,-39.13503646850586,83.74102783203125,-0.34196892380714417,-0.44609957933425903,-0.4280255138874054,-0.16732212901115417,-0.3069976270198822
-26.022613525390625,-58.46855545043945,83.4190673828125,-0.6528497934341431,-0.49256831407546997,-0.3815009891986847,-0.1766178011894226,-0.28839170932769775
