220kVI段母线TV电压_A_1,220kVI段母线TV电压_B_2,220kVI段母线TV电压_C_3,220kVI段母线TV电压_N_4,220kV黄施II回线电流_A_17,220kV黄施II回线电流_B_18,220kV黄施II回线电流_C_19,220kV黄施II回线电流_N_20
-57.125816345214844,-25.456018447875977,83.18614959716797,1.0381139516830444,-0.03700200095772743,-0.019381999969482422,0.06353999674320221,0.001765000051818788
-46.265716552734375,-38.18402862548828,85.29624938964844,1.4627970457077026,-0.02995399944484234,-0.028192000463604927,0.06353999674320221,0.001765000051818788
-33.861671447753906,-50.4818229675293,84.75035095214844,0.6448889970779419,-0.01761999912559986,-0.03523999825119972,0.06353999674320221,0.0
-20.743425369262695,-60.911865234375,81.5064697265625,-0.3145799934864044,-0.00880999956279993,-0.040525998920202255,0.06001000106334686,0.001765000051818788
-7.908759117126465,-68.97048950195312,76.8768539428711,-0.06291600316762924,0.005286000203341246,-0.0475739985704422,0.05648000165820122,0.0
4.453271865844727,-75.22431945800781,71.12394714355469,0.6134309768676758,0.012334000319242477,-0.05285999923944473,0.052949998527765274,0.0
16.888824462890625,-80.42884826660156,63.533897399902344,-0.04718700051307678,0.019381999969482422,-0.054621998220682144,0.045889999717473984,0.0
29.670974731445312,-84.17484283447266,53.812747955322266,-1.195404052734375,0.02995399944484234,-0.056384000927209854,0.038830000907182693,0.001765000051818788
42.589664459228516,-85.37104797363281,42.065486907958984,-1.1639460325241089,0.03700200095772743,-0.054621998220682144,0.02824000082910061,0.0
54.54207992553711,-83.81808471679688,29.23693084716797,0.0,0.042288001626729965,-0.054621998220682144,0.019415000453591347,0.0
63.95276641845703,-80.08257293701172,16.376880645751953,0.4875989854335785,0.0475739985704422,-0.0475739985704422,0.010590000078082085,0.0
71.29436492919922,-75.119384765625,3.747786045074463,-0.0786449983716011,0.054621998220682144,-0.0475739985704422,0.0,0.0
77.07101440429688,-68.76062774658203,-8.650351524353027,-0.5662440061569214,0.058145999908447266,-0.042288001626729965,-0.008825000375509262,0.0
81.90239715576172,-60.408199310302734,-21.26894760131836,0.37749600410461426,0.06167000159621239,-0.038763999938964844,-0.017650000751018524,0.0
84.83273315429688,-50.10407638549805,-33.982025146484375,1.305506944656372,0.0634320005774498,-0.02995399944484234,-0.026474999263882637,0.0
85.20033264160156,-38.131561279296875,-46.548133850097656,0.817907989025116,0.06167000159621239,-0.021144000813364983,-0.03530000150203705,0.0
82.8791732788086,-25.26714324951172,-57.74949645996094,-0.34603801369667053,0.05990799888968468,-0.012334000319242477,-0.04059499874711037,0.0
78.77249908447266,-12.371247291564941,-66.68329620361328,-0.5819730162620544,0.054621998220682144,-0.005286000203341246,-0.04412499815225601,0.0
73.22691345214844,0.34626901149749756,-73.43350982666016,0.12583200633525848,0.05285999923944473,0.003524000057950616,-0.0511850006878376,0.0
66.27393341064453,12.759488105773926,-78.95545959472656,0.06291600316762924,0.04581199958920479,0.01585800014436245,-0.05648000165820122,0.0
57.325374603271484,25.18320083618164,-83.03917694091797,-1.0223850011825562,0.038763999938964844,0.022905999794602394,-0.061774998903274536,0.0
46.44426727294922,37.85874557495117,-85.08628845214844,-1.3998810052871704,0.02995399944484234,0.03347799926996231,-0.061774998903274536,0.0
33.9351921081543,50.387386322021484,-84.66636657714844,-0.5819730162620544,0.019381999969482422,0.040525998920202255,-0.061774998903274536,0.0
20.627891540527344,61.00630187988281,-81.4749755859375,0.2831220030784607,0.010572000406682491,0.04405000060796738,-0.05648000165820122,0.0
7.803729057312012,69.11739349365234,-76.8768539428711,0.11010300368070602,-0.001762000028975308,0.05109800025820732,-0.052949998527765274,0.0
-4.484780788421631,75.16136169433594,-70.97697448730469,-0.5190569758415222,-0.00880999956279993,0.056384000927209854,-0.04941999912261963,0.0
-16.804800033569336,80.27144622802734,-63.439414978027344,-0.01572900079190731,-0.01761999912559986,0.058145999908447266,-0.04059499874711037,0.0
-29.513429641723633,84.03843688964844,-53.802249908447266,1.1639460325241089,-0.028192000463604927,0.0634320005774498,-0.03530000150203705,0.0
-42.53715133666992,85.5284423828125,-42.254451751708984,1.1639460325241089,-0.03523999825119972,0.0634320005774498,-0.026474999263882637,0.0
-54.605098724365234,84.12238311767578,-29.383901596069336,0.14156100153923035,-0.040525998920202255,0.058145999908447266,-0.015884999185800552,0.0
-64.08930969238281,80.33441162109375,-16.439868927001953,-0.45614099502563477,-0.04405000060796738,0.056384000927209854,-0.007060000207275152,0.0
-71.25234985351562,75.15086364746094,-3.768781900405884,0.0786449983716011,-0.05285999923944473,0.05285999923944473,0.0,0.0
-76.95548248291016,68.70816040039062,8.618858337402344,0.5347859859466553,-0.058145999908447266,0.05109800025820732,0.014120000414550304,0.0
-81.69233703613281,60.324256896972656,21.142972946166992,-0.4404120147228241,-0.05990799888968468,0.04405000060796738,0.02118000015616417,0.0
-84.82222747802734,50.05160903930664,34.024017333984375,-1.32123601436615,-0.06167000159621239,0.03700200095772743,0.03000500053167343,0.0
-85.20033264160156,38.21550750732422,46.548133850097656,-0.7549920082092285,-0.05990799888968468,0.028192000463604927,0.038830000907182693,0.001765000051818788
-83.05772399902344,25.403553009033203,57.87547302246094,0.42468300461769104,-0.058145999908447266,0.019381999969482422,0.04412499815225601,0.0
-78.97205352783203,12.570613861083984,66.72528839111328,0.5819730162620544,-0.05109800025820732,0.007048000115901232,0.04941999912261963,0.0
-73.37395477294922,-0.22035300731658936,73.49649810791016,-0.12583200633525848,-0.04933600127696991,-0.001762000028975308,0.054715000092983246,0.001765000051818788
-66.27393341064453,-12.769981384277344,78.94496154785156,-0.11010300368070602,-0.042288001626729965,-0.010572000406682491,0.061774998903274536,0.0
-57.07330322265625,-25.50848388671875,83.16515350341797,1.0695719718933105,-0.03700200095772743,-0.019381999969482422,0.06353999674320221,0.0
-46.24470901489258,-38.205013275146484,85.29624938964844,1.4470679759979248,-0.026429999619722366,-0.024668000638484955,0.061774998903274536,0.0
-33.840667724609375,-50.47132873535156,84.71885681152344,0.660618007183075,-0.01585800014436245,-0.03523999825119972,0.06353999674320221,0.0
-20.75392723083496,-60.8908805847168,81.4749755859375,-0.3303090035915375,-0.00880999956279993,-0.040525998920202255,0.06001000106334686,0.003530000103637576
-7.908759117126465,-68.97048950195312,76.8663558959961,-0.06291600316762924,0.001762000028975308,-0.0475739985704422,0.05648000165820122,0.001765000051818788
4.453271865844727,-75.16136169433594,71.07145690917969,0.5977020263671875,0.012334000319242477,-0.05285999923944473,0.0511850006878376,0.001765000051818788
16.90983009338379,-80.4498291015625,63.533897399902344,-0.03145800158381462,0.019381999969482422,-0.054621998220682144,0.047655001282691956,0.0
29.63946533203125,-84.16435241699219,53.812747955322266,-1.2111330032348633,0.028192000463604927,-0.056384000927209854,0.038830000907182693,0.0
42.60016632080078,-85.40252685546875,42.107479095458984,-1.1639460325241089,0.03347799926996231,-0.054621998220682144,0.02824000082910061,0.0
54.52107238769531,-83.81808471679688,29.24742889404297,-0.01572900079190731,0.040525998920202255,-0.054621998220682144,0.02118000015616417,0.0
63.984275817871094,-80.10356140136719,16.366382598876953,0.4875989854335785,0.04581199958920479,-0.04933600127696991,0.010590000078082085,0.001765000051818788
71.22084045410156,-75.06692504882812,3.747786045074463,-0.09437400102615356,0.054621998220682144,-0.0475739985704422,0.0,0.0
77.07101440429688,-68.7291488647461,-8.660849571228027,-0.5347859859466553,0.05990799888968468,-0.04405000060796738,-0.008825000375509262,-0.001765000051818788
81.80786895751953,-60.41869354248047,-21.17446517944336,0.37749600410461426,0.06167000159621239,-0.038763999938964844,-0.017650000751018524,0.0
84.8537368774414,-50.10407638549805,-33.961029052734375,1.32123601436615,0.0634320005774498,-0.0317160002887249,-0.026474999263882637,0.0
85.1583251953125,-38.121070861816406,-46.527137756347656,0.8021789789199829,0.06167000159621239,-0.021144000813364983,-0.03530000150203705,0.0
82.93168640136719,-25.204185485839844,-57.88597106933594,-0.3303090035915375,0.06167000159621239,-0.012334000319242477,-0.04059499874711037,0.0
78.78300476074219,-12.360754013061523,-66.71479034423828,-0.5977020263671875,0.054621998220682144,-0.005286000203341246,-0.045889999717473984,0.0
73.22691345214844,0.36725500226020813,-73.47550201416016,0.11010300368070602,0.05285999923944473,0.001762000028975308,-0.0511850006878376,0.0
66.29493713378906,12.71751594543457,-78.89247131347656,0.06291600316762924,0.0475739985704422,0.014096000231802464,-0.05648000165820122,0.0
57.31487274169922,25.15172004699707,-83.00768280029297,-1.0066560506820679,0.03700200095772743,0.024668000638484955,-0.05648000165820122,0.0
46.49678039550781,37.85874557495117,-85.14927673339844,-1.3841520547866821,0.02995399944484234,0.0317160002887249,-0.06001000106334686,0.0
33.92469024658203,50.429359436035156,-84.67686462402344,-0.5819730162620544,0.019381999969482422,0.038763999938964844,-0.05648000165820122,0.0
20.68040657043457,61.01679611206055,-81.5169677734375,0.29885101318359375,0.010572000406682491,0.04405000060796738,-0.05648000165820122,0.0
7.814231872558594,69.0754165649414,-76.8243637084961,0.09437400102615356,0.0,0.05109800025820732,-0.052949998527765274,0.0
