220kV Ⅰ母电压_A相_1,220kV Ⅰ母电压_B相_2,220kV Ⅰ母电压_C相_3,220kV Ⅰ母电压_3U0_4,木景线261_A相_9,木景线261_B相_10,木景线261_C相_11,木景线261_3I0_12
-26.022613525390625,-58.46855545043945,83.4190673828125,-0.6528497934341431,-0.49256831407546997,-0.3815009891986847,-0.1766178011894226,-0.28839170932769775
-5.051817417144775,-72.49809265136719,76.3463134765625,-0.621761679649353,-0.49256831407546997,-0.4187206029891968,-0.18591347336769104,-0.3163006007671356
16.912607192993164,-80.81806182861328,62.84471893310547,-0.7927461266517639,-0.48327454924583435,-0.36289119720458984,-0.19520916044712067,-0.29769468307495117
39.054840087890625,-85.23804473876953,44.92914581298828,-0.7150259613990784,-0.45539334416389465,-0.3908059000968933,-0.1766178011894226,-0.2790887653827667
58.02791976928711,-84.7492446899414,25.767269134521484,-0.5595855116844177,-0.5018620491027832,-0.344281405210495,-0.16732212901115417,-0.28839170932769775
71.41575622558594,-77.1884765625,4.787872314453125,-0.8860104084014893,-0.5111557841300964,-0.40941572189331055,-0.16732212901115417,-0.32560354471206665
80.02371978759766,-63.60613250732422,-17.157407760620117,-0.606217622756958,-0.5018620491027832,-0.3535862863063812,-0.1766178011894226,-0.3163006007671356
84.53165435791016,-45.978206634521484,-39.289634704589844,-0.6839378476142883,-0.4739808142185211,-0.36289119720458984,-0.1766178011894226,-0.32560354471206665
84.02960968017578,-26.530288696289062,-58.223018646240234,-0.637305736541748,-0.5018620491027832,-0.3535862863063812,-0.1487307846546173,-0.3069976270198822
76.40482330322266,-5.251977920532227,-71.63114166259766,-0.6994819045066833,-0.49256831407546997,-0.3815009891986847,-0.1766178011894226,-0.29769468307495117
63.13203048706055,16.27593231201172,-80.12675476074219,-0.6839378476142883,-0.48327454924583435,-0.3815009891986847,-0.1766178011894226,-0.3069976270198822
45.4768180847168,38.30303955078125,-84.59266662597656,-0.637305736541748,-0.49256831407546997,-0.3535862863063812,-0.1766178011894226,-0.33490651845932007
25.991235733032227,57.44935989379883,-84.50958251953125,-0.8082901835441589,-0.4646870791912079,-0.37219610810279846,-0.15802645683288574,-0.3069976270198822
5.093654632568359,71.3021011352539,-77.34335327148438,-0.7461140155792236,-0.4646870791912079,-0.3908059000968933,-0.15802645683288574,-0.32560354471206665
-16.943984985351562,79.60126495361328,-63.654815673828125,-0.621761679649353,-0.4368058443069458,-0.40941572189331055,-0.15802645683288574,-0.32560354471206665
-39.29540252685547,84.02124786376953,-45.83271408081055,-0.7150259613990784,-0.5111557841300964,-0.3815009891986847,-0.1487307846546173,-0.33490651845932007
-58.101131439208984,83.57405090332031,-26.452735900878906,-0.9326425194740295,-0.45539334416389465,-0.40941572189331055,-0.1766178011894226,-0.32560354471206665
-71.32162475585938,76.13807678222656,-5.556424617767334,-0.9170984625816345,-0.4368058443069458,-0.3908059000968933,-0.1766178011894226,-0.33490651845932007
-80.01325988769531,62.59733581542969,16.33692741394043,-0.6994819045066833,-0.42751210927963257,-0.4280255138874054,-0.18591347336769104,-0.28839170932769775
-84.62579345703125,45.04220962524414,38.500308990478516,-0.45077723264694214,-0.4739808142185211,-0.4187206029891968,-0.1487307846546173,-0.3069976270198822
-84.15512084960938,25.448692321777344,57.37137985229492,-0.5440414547920227,-0.4739808142185211,-0.437330424785614,-0.18591347336769104,-0.33490651845932007
-76.46757507324219,4.253582000732422,70.75872802734375,-1.056994915008545,-0.45539334416389465,-0.40941572189331055,-0.1766178011894226,-0.3163006007671356
-63.194786071777344,-17.222328186035156,79.34781646728516,-0.6528497934341431,-0.4368058443069458,-0.40941572189331055,-0.1766178011894226,-0.3069976270198822
-45.60232925415039,-39.14543533325195,83.66832733154297,-0.46632125973701477,-0.45539334416389465,-0.40011081099510193,-0.16732212901115417,-0.28839170932769775
-26.106287002563477,-58.48935317993164,83.49176788330078,-0.5129534006118774,-0.49256831407546997,-0.4187206029891968,-0.1766178011894226,-0.32560354471206665
-5.0727362632751465,-72.39409637451172,76.51248168945312,-0.8860104084014893,-0.4646870791912079,-0.40011081099510193,-0.18591347336769104,-0.29769468307495117
16.954442977905273,-80.75566101074219,62.90703582763672,-0.6839378476142883,-0.49256831407546997,-0.36289119720458984,-0.1766178011894226,-0.29769468307495117
39.01300048828125,-85.16524505615234,45.04338836669922,-0.8082901835441589,-0.4646870791912079,-0.40011081099510193,-0.18591347336769104,-0.29769468307495117
58.09067153930664,-84.7492446899414,25.788042068481445,-0.7150259613990784,-0.5018620491027832,-0.37219610810279846,-0.15802645683288574,-0.3069976270198822
71.34254455566406,-77.40687561035156,4.725557327270508,-0.621761679649353,-0.4739808142185211,-0.3908059000968933,-0.1766178011894226,-0.2790887653827667
85.38931274414062,-62.30613708496094,-13.47043514251709,-3.357513189315796,-0.35316216945648193,-2.000554084777832,-0.25098320841789246,1.255899429321289
80.77678680419922,-36.33744812011719,-44.752586364746094,-0.3108808398246765,-0.3717496693134308,-6.3738579750061035,-0.10225241631269455,5.432928085327148
81.58214569091797,-18.60552215576172,-59.469322204589844,0.3575129806995392,-0.5483307242393494,-7.723069190979004,-0.1766178011894226,7.079551696777344
77.51350402832031,-5.979974746704102,-69.10738372802734,0.09326425194740295,-0.44609957933425903,-8.02082633972168,-0.04647836834192276,7.163278102874756
64.98332214355469,13.14554500579834,-78.49617767333984,-0.21761658787727356,-0.5204495191574097,-6.457602500915527,-0.07436539232730865,5.656198978424072
47.035247802734375,30.419872283935547,-80.72913360595703,-1.663212537765503,-0.48327454924583435,-3.4893383979797363,-0.13943511247634888,2.716464042663574
30.09126091003418,44.57421112060547,-80.47987365722656,-2.1606218814849854,-0.48327454924583435,0.44663530588150024,-0.16732212901115417,-1.200081706047058
