110kV II 母电压_A相_5,110kV II 母电压_B相_6,110kV II 母电压_C相_7,110kV II 母电压_3U0_8,大中I回T线132_A相_13,大中I回T线132_B相_14,大中I回T线132_C相_15,大中I回T线132_3I0_16
71.4947280883789,-75.06873321533203,3.3300535678863525,-0.49557259678840637,0.046171192079782486,0.05535050481557846,-0.018442867323756218,0.03687224164605141
81.27789306640625,-63.11774826049805,-17.35350799560547,1.3473379611968994,0.03693695366382599,0.08302576094865799,-0.018442867323756218,0.02765418030321598
84.35260009765625,-45.341304779052734,-39.10227584838867,-0.27875959873199463,0.02770271524786949,0.08302576094865799,0.0,0.018436120823025703
83.29663848876953,-25.702375411987305,-56.69364547729492,1.378311276435852,0.018468476831912994,0.06457559019327164,0.0,0.009218060411512852
74.81790161132812,-3.2800533771514893,-71.57546997070312,-0.3407061696052551,0.02770271524786949,0.04612542316317558,0.009221433661878109,0.018436120823025703
63.44044494628906,17.766094207763672,-80.71760559082031,0.6039791107177734,-0.02770271524786949,0.07380067557096481,0.036885734647512436,0.018436120823025703
45.74793243408203,38.698421478271484,-85.05081176757812,-1.2079582214355469,-0.02770271524786949,0.05535050481557846,0.036885734647512436,0.02765418030321598
26.43006706237793,56.19548797607422,-82.22750091552734,0.6349523663520813,-0.018468476831912994,0.03690033778548241,0.06455003470182419,0.046090301126241684
3.4370474815368652,71.27131652832031,-74.78141784667969,-0.2013263702392578,-0.009234238415956497,0.018450168892741203,0.08299290388822556,0.02765418030321598
-17.97203254699707,81.45293426513672,-63.06418228149414,0.6968989372253418,-0.05540543049573898,0.02767525240778923,0.06455003470182419,0.018436120823025703
-38.4183235168457,84.49500274658203,-45.79340744018555,0.5110592246055603,-0.03693695366382599,0.02767525240778923,0.09221433848142624,0.02765418030321598
-57.16679763793945,82.65320587158203,-25.482149124145508,-0.07743322104215622,0.0,0.009225084446370602,0.08299290388822556,0.02765418030321598
-71.41191101074219,75.26532745361328,-3.4541549682617188,0.6659256815910339,0.02770271524786949,-0.018450168892741203,0.0553286038339138,0.018436120823025703
-81.22612762451172,63.35573196411133,17.239749908447266,-1.13052499294281,0.02770271524786949,-0.009225084446370602,0.0553286038339138,0.02765418030321598
-84.41471862792969,45.589637756347656,38.99885559082031,0.27875959873199463,0.02770271524786949,-0.02767525240778923,0.04610716924071312,0.03687224164605141
-83.30699157714844,25.992095947265625,56.662620544433594,-1.13052499294281,0.046171192079782486,0.0,0.04610716924071312,0.03687224164605141
-74.83860778808594,3.518038272857666,71.46170806884766,0.41813936829566956,0.046171192079782486,0.009225084446370602,0.04610716924071312,0.02765418030321598
-63.502559661865234,-17.548803329467773,80.74862670898438,-0.4336260259151459,0.07387390732765198,-0.04612542316317558,0.018442867323756218,0.018436120823025703
-45.85145568847656,-38.563907623291016,85.07149505615234,1.2389315366744995,0.10157661885023117,-0.03690033778548241,0.009221433661878109,0.018436120823025703
-26.492183685302734,-55.97819900512695,82.17579650878906,-0.5110592246055603,0.08310814201831818,-0.009225084446370602,-0.018442867323756218,0.009218060411512852
-3.4577527046203613,-71.12645721435547,74.78141784667969,0.3252195119857788,0.06463966518640518,0.03690033778548241,0.0,0.018436120823025703
17.961679458618164,-81.43224334716797,63.19862365722656,-0.5884924530982971,0.08310814201831818,0.018450168892741203,-0.018442867323756218,0.02765418030321598
38.4183235168457,-84.48465728759766,45.87614059448242,-0.3871660828590393,0.08310814201831818,0.02767525240778923,-0.036885734647512436,0.02765418030321598
57.07362365722656,-82.65320587158203,25.72001075744629,0.2013263702392578,0.06463966518640518,0.03690033778548241,-0.018442867323756218,0.02765418030321598
71.38085174560547,-75.2549819946289,3.609281539916992,-0.5420325398445129,0.03693695366382599,0.05535050481557846,0.0,0.02765418030321598
81.2054214477539,-63.38677215576172,-17.043254852294922,1.3628246784210205,0.03693695366382599,0.03690033778548241,-0.018442867323756218,0.009218060411512852
84.30083465576172,-45.589637756347656,-38.781681060791016,-0.21681301295757294,0.02770271524786949,0.08302576094865799,-0.018442867323756218,0.02765418030321598
83.29663848876953,-25.981748580932617,-56.47646713256836,1.3163647651672363,0.018468476831912994,0.09225084632635117,-0.009221433661878109,0.018436120823025703
74.93177795410156,-3.5801215171813965,-71.399658203125,-0.3252195119857788,0.018468476831912994,0.02767525240778923,-0.009221433661878109,0.009218060411512852
63.6578483581543,17.507413864135742,-80.72794342041016,0.6349523663520813,-0.018468476831912994,0.08302576094865799,0.009221433661878109,0.018436120823025703
45.99639129638672,38.37765884399414,-84.96807098388672,-1.1924715042114258,-0.03693695366382599,0.08302576094865799,0.036885734647512436,0.02765418030321598
26.719938278198242,55.90576934814453,-82.27921295166016,0.5265458822250366,-0.009234238415956497,0.06457559019327164,0.0553286038339138,0.02765418030321598
3.820091962814331,71.05403137207031,-74.905517578125,-0.09291986376047134,-0.009234238415956497,0.02767525240778923,0.06455003470182419,0.03687224164605141
-17.661455154418945,81.39085388183594,-63.36409378051758,0.6659256815910339,-0.018468476831912994,0.02767525240778923,0.07377146929502487,0.018436120823025703
-38.118099212646484,84.52604675292969,-46.062294006347656,0.5730057954788208,-0.02770271524786949,0.04612542316317558,0.08299290388822556,0.02765418030321598
-56.9183349609375,82.68424987792969,-25.813085556030273,-0.17035308480262756,0.0,0.009225084446370602,0.08299290388822556,0.018436120823025703
-71.19450378417969,75.38949584960938,-3.6920158863067627,0.8053054809570312,0.03693695366382599,-0.018450168892741203,0.06455003470182419,0.02765418030321598
-81.18472290039062,63.63510513305664,16.92949676513672,-1.1924715042114258,0.009234238415956497,-0.009225084446370602,0.06455003470182419,0.046090301126241684
-84.34224700927734,45.81727600097656,38.688602447509766,0.29424622654914856,0.018468476831912994,-0.02767525240778923,0.04610716924071312,0.02765418030321598
-83.37946319580078,26.271469116210938,56.42475891113281,-1.1460115909576416,0.03693695366382599,-0.02767525240778923,0.04610716924071312,0.046090301126241684
-74.91107177734375,3.8388006687164307,71.21350860595703,0.3871660828590393,0.02770271524786949,0.0,0.0276643019169569,0.009218060411512852
-63.730316162109375,-17.238388061523438,80.72794342041016,-0.41813936829566956,0.07387390732765198,-0.02767525240778923,0.018442867323756218,0.009218060411512852
-46.11027145385742,-38.26383972167969,85.01978302001953,1.1769849061965942,0.06463966518640518,-0.02767525240778923,-0.009221433661878109,0.018436120823025703
-26.740644454956055,-55.79195022583008,82.3205795288086,-0.3871660828590393,0.07387390732765198,0.009225084446370602,-0.009221433661878109,0.02765418030321598
-3.871854782104492,-70.91951751708984,74.87449645996094,0.21681301295757294,0.07387390732765198,0.02767525240778923,0.0,0.02765418030321598
17.599340438842773,-81.33911895751953,63.44682693481445,-0.5575191974639893,0.07387390732765198,0.018450168892741203,-0.018442867323756218,0.03687224164605141
38.045631408691406,-84.47431182861328,46.17605209350586,-0.5420325398445129,0.09234238415956497,0.03690033778548241,-0.0276643019169569,0.02765418030321598
56.773399353027344,-82.80841827392578,26.019922256469727,-0.09291986376047134,0.08310814201831818,0.04612542316317558,-0.018442867323756218,0.06452642381191254
71.90882873535156,-75.05838012695312,2.502711057662964,-1.9358304738998413,0.12004509568214417,0.1568264365196228,0.6086146235466003,0.8480615615844727
80.68779754638672,-64.43183898925781,-11.810314178466797,7.960134983062744,0.03693695366382599,0.04612542316317558,-0.009221433661878109,0.02765418030321598
84.84952545166016,-45.63102722167969,-33.9313850402832,8.455707550048828,-0.06463966518640518,0.04612542316317558,-1.0696862936019897,-1.1246033906936646
81.00872802734375,-27.585559844970703,-48.740814208984375,8.362787246704102,0.009234238415956497,0.06457559019327164,-3.0430731773376465,-2.977433443069458
75.01459503173828,-5.039072513580322,-61.202659606933594,15.114964485168457,0.018468476831912994,0.018450168892741203,-5.5605244636535645,-5.53083610534668
61.680511474609375,15.427633285522461,-69.7449722290039,12.590641021728516,0.009234238415956497,0.10147593170404434,-8.391504287719727,-8.314690589904785
44.888668060302734,35.74947738647461,-72.99229431152344,13.256567001342773,-0.03693695366382599,0.08302576094865799,-11.277812957763672,-11.25525188446045
25.260229110717773,53.7121696472168,-71.7616195678711,12.451261520385742,-0.046171192079782486,0.04612542316317558,-13.942808151245117,-13.965361595153809
2.7020163536071777,68.51897430419922,-65.73236083984375,9.617205619812012,-0.009234238415956497,0.04612542316317558,-16.202058792114258,-16.214569091796875
-18.324018478393555,80.06641387939453,-57.00389862060547,8.223407745361328,-0.02770271524786949,0.04612542316317558,-17.908023834228516,-17.883037567138672
-39.070533752441406,83.67757415771484,-42.6805305480957,3.3915748596191406,-0.018468476831912994,0.009225084446370602,-18.867053985595703,-18.850933074951172
-56.038368225097656,82.17723846435547,-25.978553771972656,0.24778629839420319,0.0,0.018450168892741203,-18.968488693237305,-18.961549758911133
-71.53614044189453,76.41386413574219,-7.373690128326416,-4.491126537322998,-0.009234238415956497,0.0,-18.166223526000977,-18.205669403076172
-79.74571228027344,64.2766342163086,10.527933120727539,-8.734466552734375,0.009234238415956497,0.0,-16.506366729736328,-16.583290100097656
-83.48298645019531,47.48316955566406,29.391342163085938,-11.599495887756348,0.03693695366382599,0.0,-14.08112907409668,-14.158940315246582
-81.8990478515625,27.999446868896484,45.21426773071289,-15.192397117614746,0.07387390732765198,-0.04612542316317558,-11.028834342956543,-11.126198768615723
-73.50312805175781,6.032401084899902,58.68960952758789,-15.34726333618164,0.08310814201831818,-0.018450168892741203,-7.478582859039307,-7.577245712280273
-61.856502532958984,-14.982704162597656,66.78722381591797,-17.530879974365234,0.05540543049573898,-0.009225084446370602,-3.716237783432007,-3.8254950046539307
-44.11222839355469,-36.25648880004883,71.40999603271484,-15.656996726989746,0.07387390732765198,-0.009225084446370602,0.036885734647512436,-0.05530836060643196
-25.053178787231445,-53.30862808227539,69.93112182617188,-14.758770942687988,0.10157661885023117,-0.018450168892741203,3.3842661380767822,3.300065517425537
-2.6502535343170166,-68.50862121582031,64.3051986694336,-12.033122062683105,0.08310814201831818,-0.009225084446370602,6.224467754364014,6.1945366859436035
18.8312931060791,-79.32141876220703,54.80109786987305,-10.035345077514648,0.06463966518640518,0.03690033778548241,8.465275764465332,8.425307273864746
38.81172180175781,-83.03605651855469,41.09823989868164,-5.528731822967529,0.07387390732765198,0.018450168892741203,9.94992733001709,9.890978813171387
56.46282196044922,-81.35980987548828,24.106691360473633,-1.4247711896896362,0.07387390732765198,0.03690033778548241,10.530877113342285,10.499370574951172
71.17379760742188,-75.87580871582031,6.008574962615967,2.214590072631836,0.05540543049573898,0.04612542316317558,10.198905944824219,10.130648612976074
79.99417877197266,-63.9765625,-11.789630889892578,7.356155872344971,0.046171192079782486,0.06457559019327164,8.963233947753906,8.950736999511719
83.48298645019531,-47.27622604370117,-30.466886520385742,10.004371643066406,0.009234238415956497,0.05535050481557846,7.017510890960693,6.9596357345581055
81.8990478515625,-28.278820037841797,-45.94853210449219,13.225593566894531,0.0,0.09225084632635117,4.361738204956055,4.341706275939941
73.7619400024414,-6.311774730682373,-59.40319061279297,13.90700626373291,0.018468476831912994,0.06457559019327164,1.3002221584320068,1.2628742456436157
62.218841552734375,14.72402572631836,-67.94550323486328,15.48664379119873,0.0,0.02767525240778923,-1.9549438953399658,-2.0187551975250244
44.83690643310547,35.9564208984375,-72.89921569824219,13.612759590148926,-0.03693695366382599,0.04612542316317558,-5.164002895355225,-5.254294395446777
25.529396057128906,53.38105773925781,-70.8515396118164,14.015412330627441,-0.02770271524786949,0.07380067557096481,-8.160968780517578,-8.250164031982422
3.4474000930786133,68.69486999511719,-65.75304412841797,11.119410514831543,-0.02770271524786949,0.02767525240778923,-10.789077758789062,-10.914183616638184
-18.003089904785156,79.9732894897461,-56.45578384399414,9.663665771484375,-0.03693695366382599,0.009225084446370602,-12.790128707885742,-12.923720359802246
-38.5218505859375,83.3154296875,-42.1634407043457,4.52209997177124,-0.009234238415956497,0.018450168892741203,-14.025800704956055,-14.158940315246582
-55.87272644042969,81.7426528930664,-25.502832412719727,0.6504390239715576,-0.009234238415956497,0.018450168892741203,-14.357771873474121,-14.50922679901123
