500kV_500kV建太甲线线路_Ua_1,500kV_500kV建太甲线线路_Ub_2,500kV_500kV建太甲线线路_Uc_3,500kV_500kV建太甲线线路_3U0_4,500kV_500kV建太甲线线路_Ia_21,500kV_500kV建太甲线线路_Ib_22,500kV_500kV建太甲线线路_Ic_23,500kV_500kV建太甲线线路_3I0_24
86.43201446533203,-31.935277938842773,-53.72346496582031,1.1679713726043701,0.04206964746117592,0.029729701578617096,0.0330934002995491,0.04205632209777832
85.3810043334961,-26.704835891723633,-57.848854064941406,1.2069038152694702,0.04908125847578049,0.029729701578617096,0.027868125587701797,0.03679928183555603
84.25992584228516,-21.71567726135254,-61.76408004760742,1.3392738103866577,0.04908125847578049,0.02623208984732628,0.02438460849225521,0.040303975343704224
82.6016616821289,-16.150548934936523,-65.68708801269531,1.276982069015503,0.04557545483112335,0.03672492504119873,0.027868125587701797,0.04205632209777832
80.81883239746094,-10.647686958312988,-69.59453582763672,0.9810959696769714,0.04908125847578049,0.03672492504119873,0.027868125587701797,0.03679928183555603
78.58446502685547,-5.3160600662231445,-72.63019561767578,0.7163558006286621,0.04908125847578049,0.03322731330990791,0.022642850875854492,0.04205632209777832
76.08539581298828,-0.11675095558166504,-75.46348571777344,0.6462774872779846,0.04732835665345192,0.03322731330990791,0.015675818547606468,0.03855162858963013
72.9712905883789,5.354977130889893,-77.78304290771484,0.6774234175682068,0.04908125847578049,0.03672492504119873,0.020901093259453773,0.03855162858963013
69.87275695800781,10.764437675476074,-80.00919342041016,0.7942205667495728,0.04557545483112335,0.031478505581617355,0.010450544767081738,0.03679928183555603
66.14360809326172,15.885912895202637,-81.55816650390625,0.6618504524230957,0.043822549283504486,0.03672492504119873,0.02438460849225521,0.03855162858963013
62.624671936035156,21.061872482299805,-83.35620880126953,0.3270319998264313,0.04732835665345192,0.031478505581617355,0.02612636610865593,0.04205632209777832
58.29606246948242,26.276748657226562,-84.54712677001953,0.015572949312627316,0.04206964746117592,0.03672492504119873,0.02438460849225521,0.03679928183555603
54.01416778564453,32.036460876464844,-86.01825714111328,-0.16351599991321564,0.036810941994190216,0.03672492504119873,0.015675818547606468,0.04205632209777832
49.31965255737305,37.142372131347656,-86.73435974121094,-0.37375086545944214,0.04206964746117592,0.03497611731290817,0.01393406093120575,0.03855162858963013
44.959903717041016,41.929161071777344,-87.14689636230469,-0.42825618386268616,0.04206964746117592,0.031478505581617355,0.027868125587701797,0.040303975343704224
39.99290466308594,46.61476516723633,-86.8355484008789,-0.4204697012901306,0.038563843816518784,0.050715371966362,0.01393406093120575,0.04380866885185242
34.83906173706055,51.44047164916992,-86.41522216796875,-0.2102348506450653,0.038563843816518784,0.043720148503780365,0.010450544767081738,0.04380866885185242
29.903202056884766,55.565670013427734,-85.54344177246094,-0.1557295173406601,0.04206964746117592,0.041971344500780106,0.01393406093120575,0.03679928183555603
24.95177459716797,59.58968734741211,-84.7417221069336,-0.28809961676597595,0.04206964746117592,0.031478505581617355,0.02612636610865593,0.04205632209777832
19.642223358154297,63.55921936035156,-83.43405151367188,-0.4360426664352417,0.031552236527204514,0.04022253677248955,0.02612636610865593,0.040303975343704224
13.958980560302734,67.58323669433594,-81.7994613647461,-0.5372668504714966,0.036810941994190216,0.04721776023507118,0.010450544767081738,0.03855162858963013
8.509294509887695,71.06241607666016,-79.9936294555664,-0.6540639996528625,0.03505804017186165,0.031478505581617355,0.010450544767081738,0.03679928183555603
3.3554491996765137,74.02788543701172,-77.77526092529297,-0.6462774872779846,0.036810941994190216,0.05246417969465256,0.019159335643053055,0.0525704063475132
-1.642690896987915,76.40960693359375,-75.0353775024414,-0.4671885669231415,0.038563843816518784,0.04896656796336174,0.019159335643053055,0.04205632209777832
-7.209155559539795,78.83024597167969,-71.7506332397461,-0.17908895015716553,0.04031674563884735,0.04546895623207092,0.01393406093120575,0.040303975343704224
-12.495349884033203,80.97846221923828,-68.49702453613281,0.17130246758460999,0.04206964746117592,0.050715371966362,0.02612636610865593,0.03855162858963013
-17.820470809936523,82.82312774658203,-64.83087921142578,0.2958860993385315,0.03330513834953308,0.041971344500780106,0.01219230331480503,0.03855162858963013
-22.896465301513672,84.36424255371094,-61.304840087890625,0.4671885669231415,0.029799334704875946,0.031478505581617355,0.02438460849225521,0.03855162858963013
-28.33057975769043,85.60179901123047,-57.000423431396484,0.5216938853263855,0.031552236527204514,0.04546895623207092,0.027868125587701797,0.040303975343704224
-33.873687744140625,86.87049102783203,-52.703792572021484,0.6696369051933289,0.031552236527204514,0.043720148503780365,0.022642850875854492,0.03855162858963013
-38.96525192260742,87.4231185913086,-48.05689239501953,0.7942205667495728,0.029799334704875946,0.05421298369765282,0.027868125587701797,0.040303975343704224
-43.589698791503906,87.6176986694336,-43.55009841918945,0.700782835483551,0.03505804017186165,0.05421298369765282,0.022642850875854492,0.040303975343704224
-48.32313919067383,87.24409484863281,-38.44395446777344,0.5839856863021851,0.02103482559323311,0.06470581889152527,0.02438460849225521,0.040303975343704224
-52.94758605957031,86.62142181396484,-33.384517669677734,0.5294803380966187,0.017529020085930824,0.050715371966362,0.02438460849225521,0.03679928183555603
-56.894718170166016,85.74189758300781,-28.589725494384766,0.3270319998264313,0.024540629237890244,0.041971344500780106,0.02612636610865593,0.03679928183555603
-60.92748260498047,84.815673828125,-23.810501098632812,0.023359425365924835,0.024540629237890244,0.05945940315723419,0.031351640820503235,0.03679928183555603
-65.0848159790039,83.25121307373047,-18.229549407958984,-0.14794304966926575,0.04206964746117592,0.04896656796336174,0.02438460849225521,0.04380866885185242
-69.0630874633789,81.56999969482422,-12.492923736572266,-0.16351599991321564,0.017529020085930824,0.03847373276948929,0.02612636610865593,0.040303975343704224
-72.16940307617188,79.49183654785156,-7.277809143066406,-0.08565124124288559,0.031552236527204514,0.043720148503780365,0.03483515605330467,0.040303975343704224
-74.9176025390625,77.03227996826172,-2.2339370250701904,-0.21802133321762085,0.015776118263602257,0.05246417969465256,0.02612636610865593,0.04205632209777832
-77.30767822265625,74.17577362060547,3.07458233833313,-0.3114590346813202,0.02103482559323311,0.04721776023507118,0.0330934002995491,0.04205632209777832
-79.88460540771484,70.86004638671875,8.756722450256348,-0.42825618386268616,0.010517412796616554,0.043720148503780365,0.0330934002995491,0.04731336236000061
-81.58179473876953,67.41978454589844,14.041890144348145,-0.38932380080223083,0.02103482559323311,0.04721776023507118,0.03483515605330467,0.040303975343704224
-83.4035415649414,63.956172943115234,19.148033142089844,-0.42825618386268616,0.03330513834953308,0.041971344500780106,0.04006043076515198,0.03679928183555603
-84.80489349365234,60.19679260253906,24.24639129638672,-0.5450533032417297,0.024540629237890244,0.050715371966362,0.031351640820503235,0.045561015605926514
-86.10503387451172,55.69799041748047,29.827341079711914,-0.9188041687011719,0.017529020085930824,0.04896656796336174,0.03657691553235054,0.040303975343704224
-86.96141052246094,51.20697021484375,35.17477798461914,-1.0200283527374268,0.017529020085930824,0.043720148503780365,0.031351640820503235,0.03855162858963013
-87.4518814086914,46.61476516723633,40.249786376953125,-0.9810959696769714,0.01928192377090454,0.03847373276948929,0.04006043076515198,0.03855162858963013
-87.31953430175781,42.0459098815918,44.61647033691406,-0.9966689348220825,0.01928192377090454,0.031478505581617355,0.0330934002995491,0.03855162858963013
-87.0548324584961,36.77655029296875,49.605857849121094,-1.136825442314148,0.01928192377090454,0.043720148503780365,0.03831867128610611,0.040303975343704224
-86.43201446533203,31.717342376708984,53.902488708496094,-1.3782062530517578,0.015776118263602257,0.031478505581617355,0.029609883204102516,0.03679928183555603
-85.4277114868164,26.595867156982422,57.95782470703125,-1.40935218334198,0.01928192377090454,0.050715371966362,0.031351640820503235,0.040303975343704224
-84.3689193725586,21.61449432373047,61.849700927734375,-1.4794304370880127,0.031552236527204514,0.03847373276948929,0.027868125587701797,0.03855162858963013
-82.72622680664062,16.10384750366211,65.85054779052734,-1.3782062530517578,0.01928192377090454,0.03322731330990791,0.031351640820503235,0.03679928183555603
-80.95896911621094,10.647686958312988,69.6412353515625,-1.0667471885681152,0.017529020085930824,0.031478505581617355,0.031351640820503235,0.040303975343704224
-78.5766830444336,5.308276653289795,72.74695587158203,-0.7241422533988953,0.02103482559323311,0.03322731330990791,0.03657691553235054,0.04205632209777832
-76.11653900146484,0.06226717308163643,75.5646743774414,-0.7163558006286621,0.01928192377090454,0.031478505581617355,0.041802190244197845,0.03855162858963013
-72.92457580566406,-5.3160600662231445,77.92314910888672,-0.7708611488342285,0.02103482559323311,0.03497611731290817,0.04702746123075485,0.049065712839365005
-69.90389251708984,-10.748870849609375,80.0481185913086,-0.8954447507858276,0.017529020085930824,0.03497611731290817,0.03657691553235054,0.040303975343704224
-66.14360809326172,-15.932613372802734,81.67491912841797,-0.7319287657737732,0.015776118263602257,0.03322731330990791,0.04702746123075485,0.04731336236000061
-62.64802932739258,-21.093006134033203,83.41069793701172,-0.4048967659473419,0.024540629237890244,0.04022253677248955,0.03657691553235054,0.040303975343704224
-58.35834503173828,-26.33123207092285,84.62496185302734,-0.16351599991321564,0.022787727415561676,0.03322731330990791,0.041802190244197845,0.04380866885185242
-54.06866455078125,-32.05202865600586,86.08831024169922,0.023359425365924835,0.022787727415561676,0.031478505581617355,0.03831867128610611,0.04731336236000061
-49.366363525390625,-37.15015411376953,86.73435974121094,0.20244836807250977,0.02103482559323311,0.03497611731290817,0.053994495421648026,0.04731336236000061
-44.98326110839844,-41.952510833740234,87.11576080322266,0.27252665162086487,0.022787727415561676,0.031478505581617355,0.041802190244197845,0.03679928183555603
-40.08633041381836,-46.645896911621094,86.8900375366211,0.21802131831645966,0.03505804017186165,0.03322731330990791,0.055736251175403595,0.0508180595934391
-34.90913009643555,-51.36263656616211,86.40744018554688,0.0700782835483551,0.029799334704875946,0.031478505581617355,0.03831867128610611,0.040303975343704224
-29.942129135131836,-55.49562072753906,85.57457733154297,0.023359425365924835,0.031552236527204514,0.031478505581617355,0.03831867128610611,0.049065712839365005
-24.990699768066406,-59.51963806152344,84.67945098876953,0.10901065915822983,0.022787727415561676,0.029729701578617096,0.04528570547699928,0.04205632209777832
-19.696720123291016,-63.57478713989258,83.4963150024414,0.2258078008890152,0.029799334704875946,0.02448328211903572,0.04006043076515198,0.03855162858963013
-13.990120887756348,-67.53653717041016,81.83837890625,0.47497501969337463,0.03505804017186165,0.02623208984732628,0.03831867128610611,0.03679928183555603
-8.610503196716309,-71.05463409423828,80.00919342041016,0.5216938853263855,0.03505804017186165,0.031478505581617355,0.04528570547699928,0.04731336236000061
-3.4099459648132324,-74.03567504882812,77.86866760253906,0.5606262683868408,0.031552236527204514,0.020985670387744904,0.04702746123075485,0.04205632209777832
1.5259119272232056,-76.37847137451172,75.12100219726562,0.3815373182296753,0.029799334704875946,0.029729701578617096,0.04702746123075485,0.03679928183555603
7.209155559539795,-78.91586303710938,71.82847595214844,0.06229180470108986,0.03330513834953308,0.02623208984732628,0.04876922070980072,0.040303975343704224
12.417497634887695,-81.04851531982422,68.56707763671875,-0.3971102833747864,0.036810941994190216,0.019236864522099495,0.04876922070980072,0.040303975343704224
17.719263076782227,-82.89318084716797,64.90093231201172,-0.4827615022659302,0.04206964746117592,0.020985670387744904,0.03657691553235054,0.040303975343704224
22.7874698638916,-84.40316009521484,61.429378509521484,-0.5294803977012634,0.03505804017186165,0.027980895712971687,0.03657691553235054,0.04205632209777832
28.2293701171875,-85.5940170288086,57.132747650146484,-0.6462774872779846,0.03505804017186165,0.029729701578617096,0.03657691553235054,0.03679928183555603
33.71798324584961,-86.96389770507812,52.76605987548828,-0.8876582384109497,0.04031674563884735,0.029729701578617096,0.03657691553235054,0.040303975343704224
50.518585205078125,-85.28268432617188,33.540191650390625,1.627373456954956,-0.11218572407960892,-0.11367239058017731,0.4197636842727661,0.12266428768634796
36.49732208251953,-93.97673797607422,25.86541175842285,-54.505332946777344,-0.005258705001324415,-0.07869627326726913,0.4302142262458801,0.3119177520275116
40.14861297607422,-96.74762725830078,31.46971321105957,-41.00358200073242,0.04908125847578049,-0.029729703441262245,0.3100329339504242,0.24708092212677002
52.05228042602539,-92.08537292480469,37.2141227722168,-4.897693634033203,0.010517412796616554,0.01224164105951786,0.3535768687725067,0.3224318325519562
60.413658142089844,-84.23192596435547,25.709735870361328,4.601807117462158,-0.007011606823652983,-0.020985672250390053,0.3988625705242157,0.29264193773269653
61.96292495727539,-82.37168884277344,17.78587532043457,-4.827615261077881,0.014023217372596264,0.0034976110327988863,0.43369773030281067,0.4065445065498352
