17-110kVⅡ段母线电压Ua_17,18-110kVⅡ段母线电压Ub_18,19-110kVⅡ段母线电压Uc_19,20-110kVⅡ段母线电压3Uo_20,9-110kV水木线131电流Ia_9,10-110kV水木线131电流Ib_10,11-110kV水木线131电流Ic_11,12-110kV水木线131电流3Io_12
78.7493667602539,-69.91663360595703,-8.68528938293457,0.4121577739715576,0.31814831495285034,-0.2828432619571686,-0.035298362374305725,0.0
80.75146484375,-66.52692413330078,-13.978878021240234,0.5072711110115051,0.3534981310367584,-0.2828432619571686,-0.035298362374305725,0.03532412275671959
82.49933624267578,-63.16889953613281,-19.050579071044922,0.6340888738632202,0.31814831495285034,-0.2828432619571686,-0.035298362374305725,0.0
83.7705078125,-59.49407958984375,-23.900394439697266,0.7609066367149353,0.3534981310367584,-0.2828432619571686,-0.07059672474861145,0.0
84.72389221191406,-55.31238555908203,-29.098888397216797,0.7292022109031677,0.3534981310367584,-0.21213245391845703,-0.1411934494972229,0.0
85.3912582397461,-50.75054168701172,-34.42417526245117,0.6340888738632202,0.3534981310367584,-0.2474878579378128,-0.1411934494972229,0.03532412275671959
85.77261352539062,-46.15701675415039,-39.46417999267578,0.5389755368232727,0.3534981310367584,-0.17677703499794006,-0.17649181187152863,0.0
85.67727661132812,-41.310054779052734,-44.18720245361328,0.47556665539741516,0.3534981310367584,-0.17677703499794006,-0.17649181187152863,0.0
85.35948181152344,-36.30469512939453,-48.94192123413086,0.3487488925457001,0.3534981310367584,-0.1414216309785843,-0.17649181187152863,0.03532412275671959
84.8827896118164,-31.23597526550293,-53.50645446777344,0.4121577739715576,0.3534981310367584,-0.1414216309785843,-0.17649181187152863,0.0
84.08830261230469,-26.262296676635742,-57.65890884399414,0.38045331835746765,0.3888479471206665,-0.1414216309785843,-0.24708853662014008,0.0
82.94424438476562,-21.225257873535156,-61.43098831176758,0.4121577739715576,0.3534981310367584,-0.10606622695922852,-0.24708853662014008,0.0
81.41883087158203,-15.966462135314941,-65.10797119140625,0.5072711110115051,0.3534981310367584,-0.07071081548929214,-0.24708853662014008,0.0
79.5438461303711,-10.67598819732666,-68.56306457519531,0.4121577739715576,0.3534981310367584,-0.03535540774464607,-0.2823868989944458,0.03532412275671959
77.47818756103516,-5.480551719665527,-71.63778686523438,0.3487488925457001,0.3534981310367584,-0.03535540774464607,-0.3176852762699127,0.0
74.9993896484375,-0.19007693231105804,-74.49061584472656,0.3170444369316101,0.31814831495285034,0.0,-0.3176852762699127,0.0
71.9803466796875,5.227115631103516,-77.0264663696289,-0.03170444443821907,0.28279849886894226,0.0,-0.35298362374305725,0.0
68.80240631103516,10.549269676208496,-79.2453384399414,-0.25363555550575256,0.31814831495285034,0.03535540774464607,-0.3176852762699127,0.0
65.46556854248047,15.744706153869629,-81.21062469482422,-0.4121577739715576,0.31814831495285034,0.03535540774464607,-0.35298362374305725,0.03532412275671959
61.77915954589844,20.845104217529297,-82.73213195800781,-0.5389755368232727,0.28279849886894226,0.07071081548929214,-0.35298362374305725,0.0
57.870296478271484,25.913822174072266,-83.80986785888672,-0.4438622295856476,0.28279849886894226,0.10606622695922852,-0.35298362374305725,0.0
53.6754150390625,30.95086097717285,-84.72911834716797,-0.47556665539741516,0.28279849886894226,0.17677703499794006,-0.35298362374305725,0.0
49.19451904296875,36.177974700927734,-85.42647552490234,-0.3487488925457001,0.24744869768619537,0.17677703499794006,-0.35298362374305725,0.0
44.522945404052734,41.21501541137695,-85.71176147460938,-0.25363555550575256,0.2120988816022873,0.17677703499794006,-0.38828200101852417,0.0
39.597137451171875,45.90357971191406,-85.4898681640625,-0.15852221846580505,0.2120988816022873,0.17677703499794006,-0.35298362374305725,0.0
34.575992584228516,50.40206527709961,-85.01439666748047,-0.2219311147928238,0.1767490655183792,0.21213245391845703,-0.35298362374305725,-0.03532412275671959
