1-500kV威甘甲线电压Ua_1,2-500kV威甘甲线电压Ub_2,3-500kV威甘甲线电压Uc_3,4-500kV威甘甲线电压3Uo_4,5-500kV威甘甲线电流Ia_5,6-500kV威甘甲线电流Ib_6,7-500kV威甘甲线电流Ic_7,8-500kV威甘甲线电流3Io_8
78.90223693847656,-72.87894439697266,-5.91329288482666,0.3178832232952118,0.12222681939601898,-0.07930316030979156,-0.043198298662900925,0.0
81.61201477050781,-69.70062255859375,-11.572250366210938,0.6675547361373901,0.12222681939601898,-0.07930316030979156,-0.05039801448583603,0.007215075194835663
84.0667495727539,-66.58586120605469,-17.008665084838867,0.8264963626861572,0.11503700911998749,-0.07209378480911255,-0.05759773030877113,0.0
85.97953033447266,-63.2804069519043,-22.190744400024414,0.8900730013847351,0.12222681939601898,-0.05767502635717392,-0.05759773030877113,0.0
86.99967956542969,-59.72068405151367,-26.864152908325195,0.7311314344406128,0.12222681939601898,-0.050465647131204605,-0.07199716567993164,0.007215075194835663
87.63727569580078,-55.81134796142578,-31.569353103637695,0.5404014587402344,0.11503700911998749,-0.04325626790523529,-0.07919687777757645,0.0
87.54163360595703,-50.85316467285156,-36.43351364135742,0.4768248200416565,0.11503700911998749,-0.04325626790523529,-0.07199716567993164,0.0
87.35035705566406,-45.73606491088867,-41.456634521484375,0.1589416116476059,0.11503700911998749,-0.036046892404556274,-0.08639659732580185,0.007215075194835663
87.06343841552734,-40.26934814453125,-46.829463958740234,-0.06357664614915848,0.1078471913933754,-0.021628133952617645,-0.08639659732580185,-0.007215075194835663
86.64900207519531,-34.83441925048828,-51.78900146484375,0.12715329229831696,0.11503700911998749,-0.02883751317858696,-0.09359630942344666,0.007215075194835663
86.36209106445312,-29.52661895751953,-56.55778503417969,0.4132481813430786,0.1078471913933754,-0.01441875658929348,-0.10079602897167206,0.007215075194835663
85.72449493408203,-24.50486946105957,-60.91327667236328,0.5721898078918457,0.1078471913933754,0.0,-0.10079602897167206,0.0
84.57682800292969,-19.70560073852539,-64.47396850585938,0.7311314344406128,0.1006573811173439,0.0,-0.10799574106931686,0.0
82.6959228515625,-14.7156343460083,-67.62136840820312,0.6357664465904236,0.1006573811173439,0.01441875658929348,-0.10799574106931686,0.0
80.59186553955078,-9.662101745605469,-70.76876068115234,0.28609490394592285,0.09346757084131241,0.021628133952617645,-0.10799574106931686,0.007215075194835663
78.04148864746094,-4.068253040313721,-73.88436889648438,0.06357664614915848,0.08627775311470032,0.02883751317858696,-0.11519546061754227,0.0
75.07667541503906,1.716294288635254,-76.74563598632812,0.03178832307457924,0.08627775311470032,0.036046892404556274,-0.11519546061754227,0.0
71.88871002197266,7.786890983581543,-79.67049407958984,0.0,0.07189813256263733,0.04325626790523529,-0.11519546061754227,0.0
68.5732192993164,13.69857120513916,-82.372802734375,-0.1589416116476059,0.07189813256263733,0.050465647131204605,-0.11519546061754227,0.0
65.38524627685547,18.974586486816406,-84.50286102294922,-0.28609490394592285,0.07189813256263733,0.05767502635717392,-0.12239517271518707,0.0
61.94224166870117,23.90098762512207,-86.02887725830078,-0.3178832232952118,0.057518504559993744,0.05767502635717392,-0.11519546061754227,0.0
58.30795669555664,28.541337966918945,-87.04621124267578,-0.28609490394592285,0.05032869055867195,0.07209378480911255,-0.12239517271518707,0.0
53.9404411315918,33.086341857910156,-87.17338562011719,-0.2543065845966339,0.04313887655735016,0.07209378480911255,-0.11519546061754227,0.0
49.25412368774414,37.75847625732422,-87.2051773071289,-0.3814598619937897,0.035949066281318665,0.07930316030979156,-0.12239517271518707,0.007215075194835663
44.15337371826172,42.74843978881836,-87.04621124267578,-0.22251825034618378,0.035949066281318665,0.07930316030979156,-0.10799574106931686,0.0
38.893226623535156,48.0880241394043,-86.95083618164062,0.03178832307457924,0.02156943827867508,0.08651253581047058,-0.11519546061754227,0.0
33.63307571411133,53.2686882019043,-86.79187774658203,0.22251825034618378,0.014379626139998436,0.0937219187617302,-0.10799574106931686,0.007215075194835663
28.277286529541016,58.09973907470703,-86.15604400634766,0.3178832232952118,0.007189813069999218,0.0937219187617302,-0.10799574106931686,0.007215075194835663
23.01713752746582,62.35869216918945,-85.265869140625,0.28609490394592285,0.0,0.10093129426240921,-0.10079602897167206,0.007215075194835663
17.788867950439453,65.9501953125,-83.67626953125,0.09536496549844742,-0.007189813069999218,0.11535005271434784,-0.10079602897167206,0.007215075194835663
12.81563663482666,68.8106918334961,-81.67338562011719,-0.12715329229831696,-0.014379626139998436,0.10814066976308823,-0.09359630942344666,0.0
7.714885711669922,71.60761260986328,-79.4161605834961,-0.28609490394592285,-0.02156943827867508,0.11535005271434784,-0.08639659732580185,0.0
2.2315785884857178,74.5634536743164,-76.8092269897461,-0.12715329229831696,-0.028759252279996872,0.12255942821502686,-0.08639659732580185,0.0
-3.5386459827423096,77.7735595703125,-74.32945251464844,-0.1589416116476059,-0.035949066281318665,0.11535005271434784,-0.07919687777757645,0.0
-9.436388969421387,80.57048034667969,-71.02310180664062,0.1589416116476059,-0.04313887655735016,0.11535005271434784,-0.07199716567993164,0.007215075194835663
-15.206613540649414,83.20848846435547,-67.5895767211914,0.6675547361373901,-0.05032869055867195,0.11535005271434784,-0.06479744613170624,0.0
-20.46676254272461,85.33796691894531,-64.28321838378906,0.953649640083313,-0.05032869055867195,0.12255942821502686,-0.05759773030877113,0.007215075194835663
-25.599393844604492,86.89534759521484,-60.658939361572266,1.0172263383865356,-0.057518504559993744,0.11535005271434784,-0.05039801448583603,0.0
-30.413227081298828,87.68992614746094,-56.78032684326172,0.6993430852890015,-0.06470831483602524,0.12255942821502686,-0.043198298662900925,0.007215075194835663
-35.38645935058594,87.68992614746094,-52.01154327392578,0.4768248200416565,-0.07189813256263733,0.11535005271434784,-0.03599858283996582,0.0
-40.29593276977539,87.56278991699219,-47.11559295654297,0.28609490394592285,-0.08627775311470032,0.12255942821502686,-0.03599858283996582,0.0
-44.918487548828125,86.95890808105469,-42.02888870239258,-0.09536496549844742,-0.08627775311470032,0.10814066976308823,-0.028798865154385567,0.0
-49.891719818115234,86.5775146484375,-36.84680938720703,-0.2543065845966339,-0.08627775311470032,0.10814066976308823,-0.021599149331450462,0.007215075194835663
-54.80119323730469,86.67285919189453,-31.950857162475586,-0.19072993099689484,-0.09346757084131241,0.10814066976308823,-0.007199716288596392,0.007215075194835663
-59.48750686645508,86.1325454711914,-26.67340087890625,0.0,-0.1006573811173439,0.10093129426240921,-0.007199716288596392,0.007215075194835663
-63.472469329833984,85.05191802978516,-21.491321563720703,0.12715329229831696,-0.1006573811173439,0.10093129426240921,0.0,0.0
-67.01111602783203,83.46275329589844,-16.30924415588379,0.22251825034618378,-0.1078471913933754,0.0937219187617302,0.007199716288596392,0.007215075194835663
-70.19908142089844,81.39684295654297,-11.222539901733398,0.03178832307457924,-0.1078471913933754,0.0937219187617302,0.028798865154385567,0.007215075194835663
-73.35517120361328,78.85418701171875,-5.945084571838379,-0.6039780974388123,-0.1078471913933754,0.08651253581047058,0.028798865154385567,0.007215075194835663
11.604207992553711,95.25433349609375,15.864156723022461,216.66920471191406,-0.15817588567733765,0.06488440185785294,0.021599149331450462,-0.07936582714319229
-41.79427719116211,69.66883850097656,6.358379364013672,65.42036437988281,-0.2013147622346878,0.02883751317858696,-0.014399432577192783,-0.1948070377111435
-25.918190002441406,60.6741828918457,0.7630055546760559,57.282554626464844,-0.3019721508026123,0.01441875658929348,-0.014399432577192783,-0.30303317308425903
7.300449371337891,79.1402359008789,27.277448654174805,200.2664337158203,-0.34511101245880127,-0.02883751317858696,-0.03599858283996582,-0.4256894290447235
-28.022249221801758,51.075645446777344,12.33525562286377,63.09981918334961,-0.4170091450214386,-0.04325626790523529,-0.043198298662900925,-0.5050552487373352
19.701650619506836,70.43163299560547,38.24565124511719,226.0467529296875,-0.46014803647994995,-0.07209378480911255,-0.05759773030877113,-0.5916361808776855
-43.99397659301758,49.86788558959961,24.0346736907959,53.1182861328125,-0.5320461392402649,-0.10814066976308823,-0.07199716567993164,-0.7070773839950562
6.0890212059021,60.57883071899414,46.86125564575195,198.00946044921875,-0.6039443016052246,-0.12976880371570587,-0.08639659732580185,-0.8441638350486755
-39.530818939208984,49.04151916503906,45.494205474853516,96.98616790771484,-0.6686525940895081,-0.17302507162094116,-0.12239517271518707,-0.9740351438522339
-8.671276092529297,43.6701545715332,48.895938873291016,146.89382934570312,-0.7405507564544678,-0.1946532130241394,-0.12959489226341248,-1.082261323928833
-24.069168090820312,32.57780838012695,49.945072174072266,103.47098541259766,-0.7980692386627197,-0.23070010542869568,-0.1511940360069275,-1.183272361755371
-25.66315269470215,27.873889923095703,56.398826599121094,101.43653869628906,-0.8555877208709717,-0.2451188564300537,-0.1583937555551529,-1.2842833995819092
-6.535336971282959,25.204099655151367,61.54911422729492,140.88584899902344,-0.9059164524078369,-0.2739563584327698,-0.1799928992986679,-1.3925095796585083
-28.978641510009766,8.994653701782227,56.398826599121094,63.22697067260742,-0.9706247448921204,-0.2883751392364502,-0.1871926188468933,-1.4718753099441528
0.8607516884803772,14.842767715454102,71.21385192871094,152.36143493652344,-1.028143286705017,-0.31721264123916626,-0.1943923383951187,-1.558456301689148
-29.48871612548828,4.03646993637085,69.65604400634766,77.88138580322266,-1.085661768913269,-0.3460501432418823,-0.21599148213863373,-1.6738975048065186
-4.30375862121582,3.4008054733276367,75.02887725830078,129.63278198242188,-1.143180251121521,-0.36767828464508057,-0.23759064078330994,-1.7676934003829956
-22.60270118713379,-6.801610946655273,73.7572021484375,78.67609405517578,-1.1791293621063232,-0.3820970356464386,-0.25199007987976074,-1.8614894151687622
-15.142853736877441,-7.183009624481201,79.9248275756836,100.38751983642578,-1.229457974433899,-0.40372517704963684,-0.25918978452682495,-1.9264250993728638
-16.035486221313477,-13.412522315979004,80.21095275878906,89.19802856445312,-1.272596836090088,-0.4253533184528351,-0.27358922362327576,-2.0130059719085693
-22.252025604248047,-22.057559967041016,78.17627716064453,58.681243896484375,-1.3157358169555664,-0.4469814598560333,-0.28798866271972656,-2.0707266330718994
-8.19308090209961,-21.072280883789062,83.04043579101562,94.18879699707031,-1.3444950580596924,-0.46140021085739136,-0.29518836736679077,-2.135662317276001
-21.040597915649414,-31.370046615600586,81.48263549804688,51.083831787109375,-1.380444049835205,-0.4686095714569092,-0.3095878064632416,-2.207813024520874
-4.271878719329834,-36.32822799682617,81.19650268554688,71.07868957519531,-1.409203290939331,-0.4902377128601074,-0.3167875111103058,-2.251103401184082
-16.38616180419922,-39.8879508972168,81.99130249023438,45.39372253417969,-1.4307727813720703,-0.5046564936637878,-0.32398721575737,-2.3016090393066406
-5.100750923156738,-45.863197326660156,83.93061065673828,57.88653564453125,-1.4595320224761963,-0.5190752148628235,-0.3383866548538208,-2.3593297004699707
-10.743456840515137,-53.7772216796875,78.84390258789062,25.621387481689453,-1.4739116430282593,-0.5334939956665039,-0.3455863893032074,-2.3881900310516357
-9.914584159851074,-53.491172790527344,88.12713623046875,43.61357879638672,-1.4882912635803223,-0.5407033562660217,-0.3455863893032074,-2.4170501232147217
-7.077291965484619,-59.52998733520508,83.48551940917969,29.912811279296875,-1.4882912635803223,-0.5479127168655396,-0.3527860939502716,-2.4531257152557373
-13.516989707946777,-62.13621139526367,79.44795227050781,6.802700996398926,-1.5026708841323853,-0.5551221370697021,-0.3599857985973358,-2.4675557613372803
-4.431277275085449,-60.96023178100586,86.79187774658203,37.85988998413086,-1.5098607540130615,-0.56233149766922,-0.3743852376937866,-2.4819858074188232
-10.297141075134277,-68.8106918334961,75.50575256347656,-5.8808393478393555,-1.5026708841323853,-0.5767502784729004,-0.3743852376937866,-2.4964160919189453
-2.263458251953125,-66.26802825927734,76.9999771118164,15.163029670715332,-1.4954811334609985,-0.5839596390724182,-0.3743852376937866,-2.4964160919189453
-4.239999294281006,-78.28208923339844,74.61558532714844,-13.51003646850586,-1.4739116430282593,-0.5839596390724182,-0.3743852376937866,-2.489201068878174
-1.1476689577102661,-80.06195068359375,70.06934356689453,-19.359088897705078,-1.45234215259552,-0.5767502784729004,-0.3815849721431732,-2.4675557613372803
