110kV II母电压_A相_5,110kV II母电压_B相_6,110kV II母电压_C相_7,110kV II母电压_3U0_8,110kV鲁关中丹线_A相_21,110kV鲁关中丹线_B相_22,110kV鲁关中丹线_C相_23,110kV鲁关中丹线_3I0_24
-45.331085205078125,83.95264434814453,-38.704490661621094,-0.04665936157107353,0.11731059104204178,-0.24460110068321228,0.16276569664478302,0.0037814402021467686
-63.06662368774414,80.63899993896484,-17.36819839477539,0.4665936231613159,0.1702895611524582,-0.24460110068321228,0.10598696023225784,0.0018907201010733843
-75.51371002197266,71.22782897949219,4.196622371673584,-0.04665936157107353,0.21759222447872162,-0.23132817447185516,0.03785248473286629,0.0
-82.4853286743164,57.06951904296875,24.847326278686523,-0.7465497851371765,0.2497580349445343,-0.19340552389621735,-0.03028198890388012,0.0037814402021467686
-84.06459045410156,38.57957458496094,45.508419036865234,0.23329681158065796,0.26678699254989624,-0.14410607516765594,-0.09652383625507355,0.007562880404293537
-80.19955444335938,17.482343673706055,62.388397216796875,-0.3577217757701874,0.25921857357025146,-0.08342983573675156,-0.14762470126152039,0.007562880404293537
-71.08761596679688,-4.248531818389893,75.37299346923828,0.17108432948589325,0.24029749631881714,-0.01137679535895586,-0.19872555136680603,0.0037814402021467686
-57.13399887084961,-24.930259704589844,82.66514587402344,1.0576121807098389,0.21002380549907684,0.053091712296009064,-0.23657803237438202,0.009453600272536278
-38.17245101928711,-45.518497467041016,83.68313598632812,-0.015553120523691177,0.15893693268299103,0.11376795917749405,-0.2460411638021469,0.011344320140779018
-17.538131713867188,-62.70998764038086,80.53567504882812,0.4665936231613159,0.09838952869176865,0.16496354341506958,-0.2460411638021469,0.009453600272536278
4.478042125701904,-75.72566223144531,71.26985931396484,0.23329681158065796,0.028381595388054848,0.21615912020206451,-0.2290075421333313,0.013235040940344334
25.101970672607422,-82.69574737548828,56.976417541503906,-0.8398684859275818,-0.03595001995563507,0.2521856427192688,-0.19872555136680603,0.011344320140779018
45.196014404296875,-84.15000915527344,38.881080627441406,0.17108432948589325,-0.09649742394685745,0.2635624408721924,-0.15140993893146515,0.009453600272536278
62.86921691894531,-80.62861633300781,17.52401351928711,-0.15553119778633118,-0.15136849880218506,0.25977015495300293,-0.09084596484899521,0.011344320140779018
75.34747314453125,-71.31092834472656,-4.061582565307617,0.15553119778633118,-0.20245537161827087,0.24839337170124054,-0.022711491212248802,0.011344320140779018
82.4853286743164,-57.38114547729492,-24.722675323486328,0.80876225233078,-0.23083697259426117,0.21047072112560272,0.045422982424497604,0.011344320140779018
83.93991088867188,-38.61073684692383,-45.49803161621094,-0.10887183994054794,-0.24408170580863953,0.16496354341506958,0.1097722128033638,0.013235040940344334
79.98136138916016,-17.49273109436035,-62.34684753417969,0.40438112616539,-0.24408170580863953,0.1042872965335846,0.16087307035923004,0.007562880404293537
71.13956451416016,4.082329750061035,-75.38338470458984,0.04665936157107353,-0.221376433968544,0.032234255224466324,0.21197392046451569,0.011344320140779018
57.113216400146484,24.89909553527832,-82.66514587402344,-0.80876225233078,-0.1911027431488037,-0.034130387008190155,0.24982640147209167,0.007562880404293537
38.20362091064453,45.52888488769531,-83.85972595214844,0.07776559889316559,-0.1419079750776291,-0.09480662643909454,0.2668600380420685,0.005672160070389509
17.73554039001465,62.720375061035156,-80.76419830322266,-0.2644030451774597,-0.08136057108640671,-0.14979447424411774,0.2630747854709625,0.005672160070389509
-4.228684902191162,75.53868103027344,-71.41529083251953,0.04665936157107353,-0.013244744390249252,-0.1971977949142456,0.2479337900876999,0.0037814402021467686
-25.039630889892578,82.55032348632812,-57.017967224121094,0.917634129524231,0.05297897756099701,-0.2389127016067505,0.21765179932117462,0.0
-45.216796875,83.97341918945312,-38.849918365478516,-0.031106241047382355,0.11352638155221939,-0.24460110068321228,0.16655093431472778,0.0037814402021467686
-62.921165466308594,80.63899993896484,-17.503238677978516,0.4665936231613159,0.1702895611524582,-0.24460110068321228,0.10598696023225784,0.005672160070389509
-75.4098129272461,71.36286926269531,3.957705497741699,-0.031106241047382355,0.21759222447872162,-0.2275359183549881,0.041637733578681946,0.0018907201010733843
-82.51649475097656,57.27727127075195,24.649961471557617,-0.7776560187339783,0.2516501247882843,-0.19530165195465088,-0.02838936448097229,0.0018907201010733843
-84.09575653076172,38.66267776489258,45.46686935424805,0.24884992837905884,0.26678699254989624,-0.1478983461856842,-0.09463121742010117,0.0037814402021467686
-80.18916320800781,17.67970848083496,62.21180725097656,-0.3577217757701874,0.25921857357025146,-0.08722209930419922,-0.1457320749759674,0.0018907201010733843
-71.26424407958984,-3.884965419769287,75.20679473876953,0.202190563082695,0.24218960106372833,-0.015169060789048672,-0.19494029879570007,0.005672160070389509
-57.31062698364258,-24.75366973876953,82.66514587402344,1.042059063911438,0.21380801498889923,0.05119558051228523,-0.23468540608882904,0.007562880404293537
-38.22439956665039,-45.39384841918945,83.64158630371094,0.031106241047382355,0.15893693268299103,0.10997568815946579,-0.24414853751659393,0.011344320140779018
-17.808269500732422,-62.53339767456055,80.57722473144531,0.45104050636291504,0.09649742394685745,0.16117127239704132,-0.2460411638021469,0.009453600272536278
4.249464511871338,-75.67372131347656,71.50878143310547,0.23329681158065796,0.03405791521072388,0.21805524826049805,-0.23090016841888428,0.011344320140779018
25.01885223388672,-82.68535614013672,57.03874206542969,-0.9020810127258301,-0.037842124700546265,0.2502894997596741,-0.19872555136680603,0.011344320140779018
44.988216400146484,-84.07730102539062,39.036895751953125,0.18663744628429413,-0.09460531175136566,0.2635624408721924,-0.15140993893146515,0.009453600272536278
62.6302490234375,-80.74287414550781,17.89797019958496,-0.18663744628429413,-0.14758428931236267,0.2654585540294647,-0.09463121742010117,0.015125760808587074
75.26435089111328,-71.54984283447266,-3.9057672023773193,-0.10887183994054794,0.04541055113077164,0.21805524826049805,-0.045422982424497604,-0.19096273183822632
73.63314056396484,-52.03152847290039,-19.352245330810547,-2.3796274662017822,1.3112297058105469,0.01896132528781891,-0.15330256521701813,-1.1533392667770386
72.66688537597656,-36.10732650756836,-42.257076263427734,-8.383131980895996,2.4862277507781982,-0.18013259768486023,-0.2649674117565155,-2.015507698059082
