17-110kVⅡ段母线电压Ua_17,18-110kVⅡ段母线电压Ub_18,19-110kVⅡ段母线电压Uc_19,20-110kVⅡ段母线电压3Uo_20,9-110kV水木线131电流Ia_9,10-110kV水木线131电流Ib_10,11-110kV水木线131电流Ic_11,12-110kV水木线131电流3Io_12
9.025350570678711,69.72655487060547,-79.02345275878906,-0.4438622295856476,0.03534981235861778,0.2828432619571686,-0.35298362374305725,0.0
3.7817490100860596,72.64106750488281,-76.67778778076172,-0.28534001111984253,0.03534981235861778,0.31819868087768555,-0.35298362374305725,0.0
-1.4936319589614868,75.3021469116211,-74.01514434814453,0.0,0.03534981235861778,0.31819868087768555,-0.3176852762699127,0.0
-6.927909851074219,77.83650207519531,-71.130615234375,0.09511332958936691,0.0,0.31819868087768555,-0.3176852762699127,0.0
-12.17151165008545,79.92735290527344,-67.92910766601562,0.09511332958936691,0.0,0.31819868087768555,-0.3176852762699127,0.0
-17.256216049194336,81.60636138916016,-64.44230651855469,0.25363555550575256,0.0,0.3535540699958801,-0.2823868989944458,0.0
-22.277362823486328,83.0636215209961,-60.79702377319336,0.3487488925457001,-0.03534981235861778,0.3535540699958801,-0.2823868989944458,0.0
-27.489185333251953,84.26744079589844,-56.83475875854492,0.25363555550575256,-0.10604944080114365,0.3889094889163971,-0.24708853662014008,0.0
-32.732784271240234,85.0594253540039,-52.49211120605469,0.12681777775287628,-0.10604944080114365,0.3889094889163971,-0.21179017424583435,0.0
-37.690372467041016,85.53462219238281,-47.927581787109375,0.12681777775287628,-0.14139924943447113,0.3889094889163971,-0.17649181187152863,0.0
-42.45728302001953,85.66133880615234,-43.2679557800293,0.15852221846580505,-0.14139924943447113,0.3535540699958801,-0.17649181187152863,0.0
-47.31953430175781,85.50293731689453,-38.32304763793945,0.15852221846580505,-0.2120988816022873,0.3535540699958801,-0.17649181187152863,0.0
-52.08644485473633,85.09111022949219,-33.15625,0.03170444443821907,-0.1767490655183792,0.3889094889163971,-0.17649181187152863,0.0
-56.34488296508789,84.29911804199219,-28.084548950195312,0.06340888887643814,-0.2120988816022873,0.3535540699958801,-0.1411934494972229,0.03532412275671959
-60.094852447509766,83.2853775024414,-23.203035354614258,0.15852221846580505,-0.2120988816022873,0.3535540699958801,-0.10589508712291718,-0.03532412275671959
-63.908382415771484,81.8914794921875,-17.972843170166016,0.12681777775287628,-0.28279849886894226,0.3535540699958801,-0.07059672474861145,0.0
-67.59479522705078,80.05406951904297,-12.457366943359375,0.0,-0.28279849886894226,0.3535540699958801,-0.07059672474861145,0.0
-70.77273559570312,78.05825805664062,-7.322269439697266,0.0,-0.28279849886894226,0.3535540699958801,-0.035298362374305725,0.0
-73.66465759277344,75.77733612060547,-2.123775005340576,-0.09511332958936691,-0.28279849886894226,0.3535540699958801,0.0,0.0
-76.36590576171875,73.08457946777344,3.2015116214752197,-0.25363555550575256,-0.31814831495285034,0.2828432619571686,0.0,0.0
-78.65402221679688,69.97998809814453,8.495100021362305,-0.4438622295856476,-0.31814831495285034,0.31819868087768555,0.035298362374305725,0.0
-80.62435150146484,66.6853256225586,13.661896705627441,-0.6340888738632202,-0.31814831495285034,0.2828432619571686,0.07059672474861145,0.0
-82.2768783569336,63.16889953613281,18.860389709472656,-0.5706800222396851,-0.3534981310367584,0.2828432619571686,0.07059672474861145,0.0
-83.61161041259766,59.525760650634766,23.805299758911133,-0.7609066367149353,-0.3534981310367584,0.2828432619571686,0.07059672474861145,0.0
-84.62855529785156,55.40742492675781,28.84530258178711,-0.7926111221313477,-0.3534981310367584,0.2474878579378128,0.1411934494972229,0.0
-85.32769775390625,50.940616607666016,34.170589447021484,-0.6023844480514526,-0.3534981310367584,0.2474878579378128,0.17649181187152863,0.0
-85.64549255371094,46.28373336791992,39.305686950683594,-0.4438622295856476,-0.3534981310367584,0.21213245391845703,0.17649181187152863,0.0
-85.5819320678711,41.50012969970703,43.96531295776367,-0.47556665539741516,-0.3534981310367584,0.21213245391845703,0.21179017424583435,0.0
-85.1688003540039,36.39973449707031,48.656639099121094,-0.38045331835746765,-0.3534981310367584,0.1414216309785843,0.21179017424583435,0.0
-84.75566864013672,31.33101463317871,53.28456497192383,-0.3487488925457001,-0.3888479471206665,0.1414216309785843,0.21179017424583435,0.0
-83.99296569824219,26.35733413696289,57.4370231628418,-0.38045331835746765,-0.3534981310367584,0.10606622695922852,0.21179017424583435,0.0
-82.78534698486328,21.320295333862305,61.24079895019531,-0.47556665539741516,-0.31814831495285034,0.1414216309785843,0.24708853662014008,0.0
-81.29171752929688,16.061500549316406,64.94947814941406,-0.5072711110115051,-0.3534981310367584,0.10606622695922852,0.2823868989944458,0.0
-79.5438461303711,10.802705764770508,68.49967193603516,-0.4121577739715576,-0.3534981310367584,0.07071081548929214,0.2823868989944458,-0.03532412275671959
-77.35106658935547,5.575590133666992,71.51099395751953,-0.38045331835746765,-0.3534981310367584,0.03535540774464607,0.35298362374305725,0.0
-74.904052734375,0.2534359097480774,74.3321304321289,-0.28534001111984253,-0.31814831495285034,0.03535540774464607,0.35298362374305725,0.0
-72.01213073730469,-5.068718433380127,76.9313735961914,-0.03170444443821907,-0.28279849886894226,0.0,0.3176852762699127,0.0
-68.7706298828125,-10.39087200164795,79.08684539794922,0.2219311147928238,-0.31814831495285034,-0.03535540774464607,0.3176852762699127,0.03532412275671959
-65.37023162841797,-15.586308479309082,80.98873901367188,0.38045331835746765,-0.28279849886894226,-0.03535540774464607,0.3176852762699127,0.0
-61.81093978881836,-20.718385696411133,82.60533905029297,0.47556665539741516,-0.28279849886894226,-0.07071081548929214,0.35298362374305725,0.0
-57.870296478271484,-25.75542449951172,83.68307495117188,0.4121577739715576,-0.28279849886894226,-0.07071081548929214,0.38828200101852417,0.03532412275671959
-53.6754150390625,-30.887500762939453,84.63402557373047,0.4121577739715576,-0.24744869768619537,-0.10606622695922852,0.35298362374305725,0.0
-49.19451904296875,-36.08293914794922,85.33138275146484,0.3487488925457001,-0.24744869768619537,-0.1414216309785843,0.35298362374305725,0.0
-44.49116516113281,-41.08829879760742,85.61666107177734,0.19022665917873383,-0.1767490655183792,-0.17677703499794006,0.35298362374305725,0.0
-39.6289176940918,-45.7135009765625,85.33138275146484,0.15852221846580505,-0.2120988816022873,-0.17677703499794006,0.38828200101852417,0.0
-34.639549255371094,-50.338706970214844,84.98270416259766,0.15852221846580505,-0.14139924943447113,-0.17677703499794006,0.38828200101852417,0.03532412275671959
-29.491287231445312,-54.742156982421875,84.34873962402344,0.25363555550575256,-0.1767490655183792,-0.21213245391845703,0.38828200101852417,0.03532412275671959
-24.40658187866211,-58.82881164550781,83.39779663085938,0.38045331835746765,-0.10604944080114365,-0.21213245391845703,0.38828200101852417,0.0
-19.41721534729004,-62.598670959472656,82.16156768798828,0.3170444369316101,-0.14139924943447113,-0.2474878579378128,0.35298362374305725,0.0
-14.110054969787598,-66.30516815185547,80.64006042480469,0.3487488925457001,-0.07069962471723557,-0.2474878579378128,0.35298362374305725,0.0
-8.643998146057129,-69.72655487060547,78.70646667480469,0.4121577739715576,-0.07069962471723557,-0.2828432619571686,0.38828200101852417,0.03532412275671959
-3.495734453201294,-72.7361068725586,76.48760223388672,0.25363555550575256,-0.03534981235861778,-0.31819868087768555,0.3176852762699127,0.0
1.779646635055542,-75.39718627929688,73.85665893554688,0.03170444443821907,-0.03534981235861778,-0.31819868087768555,0.3176852762699127,0.0
7.213924884796143,-77.8681869506836,70.87702941894531,-0.09511332958936691,0.0,-0.31819868087768555,0.3176852762699127,0.0
12.42574691772461,-79.95903015136719,67.7389144897461,-0.09511332958936691,0.03534981235861778,-0.31819868087768555,0.3176852762699127,0.0
17.47867202758789,-81.5746841430664,64.22042083740234,-0.25363555550575256,0.03534981235861778,-0.31819868087768555,0.3176852762699127,0.0
22.595155715942383,-83.0636215209961,60.44834518432617,-0.4121577739715576,0.07069962471723557,-0.31819868087768555,0.2823868989944458,0.03532412275671959
27.77519989013672,-84.29911804199219,56.54947280883789,-0.28534001111984253,0.10604944080114365,-0.3535540699958801,0.24708853662014008,0.0
32.9234619140625,-85.0594253540039,52.270225524902344,-0.15852221846580505,0.14139924943447113,-0.31819868087768555,0.24708853662014008,0.0
37.9128303527832,-85.43958282470703,47.610599517822266,-0.2219311147928238,0.1767490655183792,-0.31819868087768555,0.21179017424583435,0.0
42.90219497680664,-85.6930160522461,42.887577056884766,-0.15852221846580505,0.1767490655183792,-0.3535540699958801,0.21179017424583435,0.0
47.60554885864258,-85.47126007080078,37.974365234375,-0.12681777775287628,0.1767490655183792,-0.3535540699958801,0.17649181187152863,0.0
52.21356201171875,-85.02774810791016,32.90266418457031,-0.12681777775287628,0.2120988816022873,-0.3535540699958801,0.1411934494972229,0.03532412275671959
56.56734085083008,-84.26744079589844,27.767566680908203,-0.12681777775287628,0.2120988816022873,-0.3535540699958801,0.1411934494972229,0.0
60.41264724731445,-83.2853775024414,22.91775131225586,-0.19022665917873383,0.2120988816022873,-0.3535540699958801,0.17649181187152863,0.0
64.09906005859375,-81.76476287841797,17.655860900878906,-0.15852221846580505,0.24744869768619537,-0.31819868087768555,0.10589508712291718,0.03532412275671959
67.72190856933594,-79.95903015136719,12.267178535461426,-0.12681777775287628,0.28279849886894226,-0.3535540699958801,0.07059672474861145,0.0
70.96340942382812,-77.96321868896484,6.973589897155762,-0.03170444443821907,0.28279849886894226,-0.3535540699958801,0.07059672474861145,0.0
73.95067596435547,-75.71398162841797,1.8384919166564941,0.06340888887643814,0.31814831495285034,-0.31819868087768555,0.035298362374305725,-0.03532412275671959
76.49302673339844,-73.02122497558594,-3.391700506210327,0.25363555550575256,0.3534981310367584,-0.31819868087768555,-0.035298362374305725,0.0
78.7493667602539,-69.91663360595703,-8.68528938293457,0.4121577739715576,0.31814831495285034,-0.2828432619571686,-0.035298362374305725,0.0
80.75146484375,-66.52692413330078,-13.978878021240234,0.5072711110115051,0.3534981310367584,-0.2828432619571686,-0.035298362374305725,0.03532412275671959
82.49933624267578,-63.16889953613281,-19.050579071044922,0.6340888738632202,0.31814831495285034,-0.2828432619571686,-0.035298362374305725,0.0
83.7705078125,-59.49407958984375,-23.900394439697266,0.7609066367149353,0.3534981310367584,-0.2828432619571686,-0.07059672474861145,0.0
84.72389221191406,-55.31238555908203,-29.098888397216797,0.7292022109031677,0.3534981310367584,-0.21213245391845703,-0.1411934494972229,0.0
