1-110kVⅠ段母线Ua_1,2-110kVⅠ段母线Ub_2,3-110kVⅠ段母线Uc_3,4-110kVⅠ段母线3Uo_4,37-110kV杨锡线线路电流Ia_37,38-110kV杨锡线线路电流Ib_38,39-110kV杨锡线线路电流Ic_39,40-110kV杨锡线线路电流3Io_40
83.79302978515625,-32.24430847167969,-51.566261291503906,-0.09504172950983047,-0.6007677912712097,0.3177570700645447,0.28233277797698975,0.03533986955881119
83.18928527832031,-27.33481216430664,-55.652286529541016,0.285125195980072,-0.6361070275306702,0.3177570700645447,0.28233277797698975,0.0
81.56871795654297,-21.981876373291016,-59.421566009521484,0.22176402807235718,-0.6361070275306702,0.24714438617229462,0.31762436032295227,0.0
80.55188751220703,-16.85066032409668,-63.6342887878418,0.09504172950983047,-0.6007677912712097,0.17653170228004456,0.3529159724712372,0.03533986955881119
78.83599090576172,-11.782793045043945,-66.70672607421875,0.4752086400985718,-0.6007677912712097,0.17653170228004456,0.4234991669654846,0.0
76.45279693603516,-6.366508960723877,-69.93753051757812,0.09504172950983047,-0.5654284954071045,0.17653170228004456,0.4234991669654846,0.0
74.22848510742188,-1.0769219398498535,-72.9782943725586,0.1267223060131073,-0.5654284954071045,0.10591902583837509,0.45879074931144714,0.0
71.20977783203125,4.371036052703857,-75.4805908203125,0.0,-0.5654284954071045,0.07061268389225006,0.45879074931144714,0.03533986955881119
68.15928649902344,9.597274780273438,-77.88786315917969,-0.4118475019931793,-0.5654284954071045,0.03530634194612503,0.49408236145973206,0.0
65.01347351074219,14.886861801147461,-79.94670867919922,-0.19008345901966095,-0.5300891995429993,0.03530634194612503,0.5293739438056946,0.0
61.549903869628906,20.018077850341797,-81.87886047363281,-0.696972668170929,-0.49474993348121643,-0.07061268389225006,0.5646655559539795,0.0
57.959228515625,24.864227294921875,-82.95579528808594,-0.4752086400985718,-0.49474993348121643,-0.07061268389225006,0.5646655559539795,0.0
53.79658508300781,30.185487747192383,-83.93771362304688,-0.19008345901966095,-0.49474993348121643,-0.07061268389225006,0.5999571681022644,0.0
49.44328689575195,34.71489715576172,-84.34947967529297,-0.5068892240524292,-0.4594106376171112,-0.14122536778450012,0.5999571681022644,0.0
45.02643966674805,39.71941375732422,-84.66622924804688,-0.06336115300655365,-0.42407137155532837,-0.17653170228004456,0.5646655559539795,0.03533986955881119
40.22827911376953,44.59723663330078,-84.95130157470703,-0.31680575013160706,-0.42407137155532837,-0.24714438617229462,0.5646655559539795,0.0
35.55722427368164,48.493160247802734,-84.09608459472656,-0.22176402807235718,-0.38873207569122314,-0.24714438617229462,0.5999571681022644,0.0
30.822616577148438,53.275962829589844,-83.9693832397461,0.06336115300655365,-0.3533928096294403,-0.24714438617229462,0.5999571681022644,0.0
25.48426628112793,57.330257415771484,-83.05081939697266,-0.570250391960144,-0.3180535137653351,-0.3177570700645447,0.6352487206459045,0.0
20.336570739746094,61.06781005859375,-81.49876403808594,-0.2534446120262146,-0.28271424770355225,-0.3177570700645447,0.5999571681022644,0.03533986955881119
15.22065258026123,65.31214904785156,-80.54853057861328,-0.22176402807235718,-0.24737496674060822,-0.38836976885795593,0.5999571681022644,0.0
9.69164752960205,68.60626220703125,-78.29962921142578,-0.22176402807235718,-0.17669640481472015,-0.38836976885795593,0.5999571681022644,0.0
4.607504367828369,71.48860931396484,-75.92403411865234,0.15840287506580353,-0.17669640481472015,-0.42367610335350037,0.5999571681022644,0.0
-0.8579490780830383,74.43431091308594,-73.51676177978516,0.06336115300655365,-0.10601784288883209,-0.4589824378490448,0.5646655559539795,0.0
-6.03741979598999,76.71485137939453,-70.317626953125,0.44352805614471436,-0.07067856192588806,-0.4589824378490448,0.5646655559539795,0.0
-10.930907249450684,78.9003677368164,-67.49858856201172,0.7286532521247864,-0.03533928096294403,-0.49428877234458923,0.5293739438056946,0.0
-16.396360397338867,81.11756134033203,-64.36280059814453,0.44352805614471436,-0.03533928096294403,-0.49428877234458923,0.49408236145973206,0.0
-21.321624755859375,82.4478759765625,-60.783573150634766,0.4118475019931793,0.0,-0.529595136642456,0.5293739438056946,0.03533986955881119
-26.119783401489258,83.58815002441406,-57.04596710205078,0.6019309759140015,0.03533928096294403,-0.529595136642456,0.49408236145973206,0.0
-31.489910125732422,84.50669860839844,-52.67487335205078,0.5068892240524292,0.07067856192588806,-0.5649014711380005,0.45879074931144714,0.0
-36.129188537597656,84.50669860839844,-48.11372756958008,0.3801669180393219,0.14135712385177612,-0.6002078056335449,0.4234991669654846,0.0
-41.08622741699219,84.95013427734375,-43.55258560180664,0.44352805614471436,0.14135712385177612,-0.5649014711380005,0.4234991669654846,0.0
-46.043270111083984,84.88678741455078,-38.67469787597656,0.2534446120262146,0.21203568577766418,-0.6002078056335449,0.3529159724712372,0.0
-49.95170211791992,84.0632553100586,-33.670108795166016,0.6336115002632141,0.24737496674060822,-0.6002078056335449,0.3529159724712372,-0.03533986955881119
-54.273223876953125,83.61981964111328,-28.918916702270508,0.6019309759140015,0.28271424770355225,-0.6002078056335449,0.31762436032295227,0.0
-58.531192779541016,82.47955322265625,-23.69260597229004,0.285125195980072,0.28271424770355225,-0.6002078056335449,0.31762436032295227,0.0
-61.899436950683594,81.08588409423828,-18.751367568969727,0.5385698080062866,0.3533928096294403,-0.5649014711380005,0.24704118072986603,0.0
-65.7761001586914,79.6605453491211,-13.620080947875977,0.31680575013160706,0.3533928096294403,-0.6002078056335449,0.2117495834827423,0.0
-69.33499908447266,77.72842407226562,-8.235398292541504,0.1267223060131073,0.38873207569122314,-0.6002078056335449,0.1764579862356186,0.0
-71.84529113769531,75.19448852539062,-3.1991353034973145,0.15840287506580353,0.42407137155532837,-0.5649014711380005,0.14116638898849487,0.03533986955881119
-74.86400604248047,72.40716552734375,2.533968687057495,-0.031680576503276825,0.42407137155532837,-0.529595136642456,0.14116638898849487,0.0
-76.99298858642578,69.39811706542969,7.696929931640625,0.0,0.49474993348121643,-0.5649014711380005,0.07058319449424744,0.0
-78.96309661865234,66.13567352294922,12.796541213989258,-0.09504172950983047,0.42407137155532837,-0.529595136642456,0.03529159724712372,0.0
-81.31450653076172,62.77821350097656,18.212900161743164,-0.6019309759140015,0.4594106376171112,-0.49428877234458923,0.0,0.03533986955881119
-82.1089096069336,59.0406608581543,22.86906623840332,-0.5068892240524292,0.5654284954071045,-0.4589824378490448,-0.03529159724712372,0.03533986955881119
-83.25283813476562,55.081390380859375,28.09537696838379,-0.2534446120262146,0.5300891995429993,-0.4589824378490448,-0.10587479174137115,0.03533986955881119
-84.14256286621094,50.99542236328125,32.8465690612793,-0.5385698080062866,0.5654284954071045,-0.49428877234458923,-0.10587479174137115,0.0
-84.04723358154297,46.46601486206055,37.50273513793945,-0.2534446120262146,0.5300891995429993,-0.42367610335350037,-0.1764579862356186,0.0
-84.71453094482422,41.99995422363281,42.66569519042969,-0.19008345901966095,0.5654284954071045,-0.38836976885795593,-0.1764579862356186,0.0
-84.30144500732422,37.185482025146484,46.97344207763672,-0.2534446120262146,0.6007677912712097,-0.38836976885795593,-0.2117495834827423,0.0
-83.63414764404297,32.18096160888672,51.50291061401367,0.09504172950983047,0.6007677912712097,-0.3177570700645447,-0.2117495834827423,0.0
-83.18928527832031,27.239789962768555,55.77898406982422,-0.285125195980072,0.6007677912712097,-0.3177570700645447,-0.28233277797698975,0.0
-81.72759246826172,21.918529510498047,59.611610412597656,-0.285125195980072,0.5654284954071045,-0.28245073556900024,-0.31762436032295227,0.07067973911762238
-80.39300537109375,16.787311553955078,63.44424057006836,-0.22176402807235718,0.5654284954071045,-0.24714438617229462,-0.3529159724712372,0.0
-78.86776733398438,11.497725486755371,67.05514526367188,-0.6019309759140015,0.5654284954071045,-0.21183805167675018,-0.3882075548171997,0.0
-76.51634979248047,6.23981237411499,70.0642318725586,-0.31680575013160706,0.5654284954071045,-0.17653170228004456,-0.3882075548171997,0.0
-74.10137939453125,0.7918543815612793,73.13667297363281,-0.285125195980072,0.5300891995429993,-0.10591902583837509,-0.4234991669654846,0.0
-71.33687591552734,-4.624429702758789,75.82901000976562,-0.15840287506580353,0.5300891995429993,-0.10591902583837509,-0.49408236145973206,0.0
-68.1910629272461,-9.660623550415039,78.01455688476562,0.31680575013160706,0.5300891995429993,-0.03530634194612503,-0.45879074931144714,0.0
-65.0770263671875,-15.140254974365234,80.26345825195312,0.22176402807235718,0.5654284954071045,0.0,-0.49408236145973206,0.0
-61.39102554321289,-20.0814266204834,81.84718322753906,0.6019309759140015,0.49474993348121643,0.03530634194612503,-0.49408236145973206,0.03533986955881119
-57.67324447631836,-25.022598266601562,82.92412567138672,0.5385698080062866,0.4594106376171112,0.07061268389225006,-0.49408236145973206,0.03533986955881119
