220kV III母电压_5,220kV III母电压_2,220kV III母电压_3,220kV III母电压_4,220kV黄朗线_17,220kV黄朗线_18,220kV黄朗线_19,220kV黄朗线_20
61.97236633300781,16.794967651367188,-78.88700103759766,-0.11776500195264816,-0.03913399949669838,0.008754000067710876,0.04393799975514412,0.008755999617278576
58.2390251159668,21.720413208007812,-80.15083312988281,-0.26693400740623474,-0.01304600015282631,0.021888000890612602,0.03514999896287918,0.013132999651134014
54.12803649902344,27.12494468688965,-81.47947692871094,-0.345443993806839,-0.03478600084781647,0.021888000890612602,0.04393799975514412,0.021887000650167465
50.01704406738281,32.14189910888672,-82.50566864013672,-0.45535799860954285,-0.03913399949669838,0.004375999793410301,0.05272600054740906,-0.0043750000186264515
45.83591842651367,37.029666900634766,-83.21320343017578,-0.3846989870071411,-0.026089999824762344,0.004375999793410301,0.05711999908089638,0.017510000616312027
41.44438934326172,41.85821533203125,-83.65608215332031,-0.5024639964103699,-0.03913399949669838,0.008754000067710876,0.06590799987316132,-0.030636999756097794
36.777713775634766,46.16999816894531,-83.37522888183594,-0.6987389922142029,-0.01739400066435337,0.013132000342011452,0.06590799987316132,1.9999999949504854e-06
31.916820526123047,50.29337692260742,-82.67310333251953,-0.6437820196151733,-0.03478600084781647,-0.013136000372469425,0.05711999908089638,-0.0043750000186264515
27.08289909362793,54.1422233581543,-81.67931365966797,-0.6123780012130737,-0.01739400066435337,-1.9999999949504854e-06,0.05711999908089638,0.03064100071787834
22.178844451904297,57.8403434753418,-80.45329284667969,-0.6123780012130737,-0.021741999313235283,-0.004379999823868275,0.05272600054740906,0.013132999651134014
16.9133243560791,61.764549255371094,-79.09764099121094,-0.5809739828109741,-0.008697999641299248,-0.03502599895000458,0.06590799987316132,-0.021882999688386917
11.739520072937012,65.4626693725586,-77.54215240478516,-0.588824987411499,-0.008697999641299248,-0.021891999989748,0.06590799987316132,-0.008751999586820602
6.630455017089844,68.59019470214844,-75.52217864990234,-0.3768480122089386,-0.01304600015282631,-0.03502599895000458,0.05711999908089638,-0.01312899962067604
1.553760051727295,71.65850067138672,-73.44819641113281,-0.27478501200675964,-0.008697999641299248,-0.00875800009816885,0.0395440012216568,0.008755999617278576
-3.442009925842285,74.17236328125,-70.88272094726562,-0.3375929892063141,-0.026089999824762344,-0.013136000372469425,0.05272600054740906,0.008755999617278576
-8.68055534362793,76.35247802734375,-67.8311538696289,-0.21982799470424652,0.017389999702572823,-0.026270000264048576,0.05711999908089638,0.004379000049084425
-13.63316535949707,77.95123291015625,-64.40692138671875,-0.11776500195264816,-0.008697999641299248,-0.021891999989748,0.10106000304222107,0.026264000684022903
-18.418529510498047,79.30774688720703,-60.923274993896484,-0.09421200305223465,-0.01739400066435337,-0.021891999989748,0.03514999896287918,-0.01312899962067604
-23.479040145874023,80.71809387207031,-57.18578338623047,0.14131799340248108,-0.01304600015282631,-0.03064800053834915,0.05272600054740906,0.013132999651134014
-28.739164352416992,81.9992446899414,-53.16203689575195,0.14131799340248108,0.008693999610841274,-0.021891999989748,0.0395440012216568,0.013132999651134014
-33.70795822143555,82.69903564453125,-48.86824035644531,0.1805730015039444,0.004346000030636787,-0.03064800053834915,0.05272600054740906,0.017510000616312027
-38.48793029785156,83.25886535644531,-44.55824279785156,0.3532949984073639,-0.021741999313235283,-0.03064800053834915,0.04393799975514412,0.026264000684022903
-43.1653938293457,83.45803833007812,-40.118621826171875,0.29048699140548706,0.004346000030636787,-0.026270000264048576,0.05272600054740906,-0.026259999722242355
-47.5731086730957,83.1242904663086,-35.36574172973633,0.3689970076084137,0.026086000725626945,-0.03502599895000458,0.05272600054740906,0.017510000616312027
-51.446720123291016,82.18226623535156,-30.37521743774414,0.4239540100097656,-1.9999999949504854e-06,-0.04816000163555145,0.05272600054740906,0.013132999651134014
-55.10992431640625,81.07875061035156,-25.660144805908203,0.3768480122089386,0.030433999374508858,-0.03502599895000458,0.0395440012216568,0.004379000049084425
-58.902610778808594,79.94832611083984,-20.745235443115234,0.345443993806839,0.021738000214099884,-0.026270000264048576,0.04833199828863144,0.004379000049084425
-62.83556365966797,78.51644897460938,-15.457655906677246,0.22767899930477142,0.017389999702572823,-0.05253800004720688,0.04393799975514412,0.008755999617278576
-66.20744323730469,76.79927062988281,-10.380716323852539,0.1884240061044693,0.030433999374508858,-0.03064800053834915,0.04393799975514412,0.004379000049084425
-69.32575225830078,74.86138916015625,-5.195755958557129,0.44750699400901794,0.04347800090909004,-0.03064800053834915,0.04393799975514412,0.026264000684022903
-72.54116821289062,72.26139831542969,-0.22143499553203583,-1.0441830158233643,0.05652200058102608,-0.026270000264048576,0.04833199828863144,0.05252600088715553
-74.6829833984375,69.69371032714844,5.136356830596924,0.00785099994391203,0.05652200058102608,-0.04816000163555145,0.04833199828863144,0.043772000819444656
-76.59281158447266,66.42084503173828,10.348321914672852,0.28263598680496216,0.06086999922990799,-0.04816000163555145,-1.9999999949504854e-06,0.021887000650167465
-77.96853637695312,63.244876861572266,15.139009475708008,0.6045269966125488,0.030433999374508858,-0.0394040010869503,0.03075600042939186,0.008755999617278576
-79.63020324707031,59.58981704711914,19.627239227294922,-0.8793119788169861,0.05652200058102608,-0.03502599895000458,0.026362000033259392,0.021887000650167465
-81.1785659790039,55.487972259521484,24.77439308166504,-1.7507729530334473,0.08261000365018845,-0.026270000264048576,0.03075600042939186,0.043772000819444656
-79.23636627197266,50.12112045288086,25.319894790649414,-7.309280872344971,-0.11304999887943268,0.039400000125169754,0.2636379897594452,0.18383599817752838
-78.21671295166016,52.52193832397461,26.32988166809082,0.863610029220581,-0.36088600754737854,0.0831800028681755,0.8216760158538818,0.46834099292755127
-68.87256622314453,43.2093505859375,40.437294006347656,25.971107482910156,-0.8000339865684509,0.5822719931602478,0.7689480185508728,0.5121110081672668
-74.90418243408203,29.536529541015625,32.135955810546875,-23.08979034423828,-1.1391780376434326,0.512224018573761,1.186378002166748,0.5077340006828308
-77.42903900146484,28.07235336303711,37.212894439697266,-21.425378799438477,-1.4522340297698975,0.8274400234222412,1.5378979444503784,0.9279260039329529
-69.95696258544922,27.73860740661621,42.057594299316406,-0.6516330242156982,-1.7783340215682983,0.74863600730896,1.9465399980545044,0.8666480183601379
-70.87411499023438,16.455839157104492,40.53451156616211,-24.589332580566406,-2.126173973083496,0.8887320160865784,2.2892720699310303,1.0548590421676636
-65.29029083251953,19.841745376586914,47.53420639038086,4.4044108390808105,-2.4566218852996826,0.823062002658844,2.7286720275878906,1.0942519903182983
-62.49028396606445,9.560215950012207,48.268741607666016,-8.36131477355957,-2.7914180755615234,0.9193779826164246,3.185647964477539,1.3131020069122314
-66.9141845703125,4.580941200256348,49.87824249267578,-22.092714309692383,-3.047950029373169,0.9675359725952148,3.633836030960083,1.5188210010528564
-62.70069122314453,4.478663921356201,53.421295166015625,-8.66750431060791,-3.3088300228118896,0.9368900060653687,4.0908122062683105,1.6851470470428467
-57.83979415893555,-5.958972930908203,53.62113571166992,-18.167213439941406,-3.587101936340332,1.0288280248641968,4.552182197570801,1.9565210342407227
-60.00858688354492,-6.61569881439209,56.08938980102539,-18.418445587158203,-3.8131980895996094,0.8799759745597839,5.0311279296875,2.0790770053863525
-53.15153884887695,-10.399948120117188,59.06534194946289,-7.748937129974365,-4.056685924530029,0.8668419718742371,5.53643798828125,2.354827880859375
-49.062129974365234,-16.27818489074707,58.22278594970703,-12.506643295288086,-4.217562198638916,0.7792819738388062,6.028565883636475,2.5561699867248535
-51.425140380859375,-18.797428131103516,59.90789794921875,-18.120107650756836,-4.434961795806885,0.6742100119590759,6.555846214294434,2.7531349658966064
-43.34882354736328,-25.865306854248047,61.506595611572266,-13.715697288513184,-4.600185871124268,0.5647600293159485,7.047974109649658,3.020132064819336
-40.915679931640625,-27.964677810668945,59.72966384887695,-16.157358169555664,-4.752366065979004,0.46844398975372314,7.588436126708984,3.252113103866577
-38.16423034667969,-32.56175994873047,61.93327331542969,-15.482172012329102,-4.8915019035339355,0.3546159863471985,8.115715980529785,3.523487091064453
-34.484840393066406,-35.77002716064453,61.59300994873047,-15.278045654296875,-5.0349860191345215,0.21452000737190247,8.577086448669434,3.759845018386841
