110kVⅡ母电压_A相_5,110kVⅡ母电压_B相_6,110kVⅡ母电压_C相_7,110kVⅡ母电压_3U0_8,紫姚南线_A相_25,紫姚南线_B相_26,紫姚南线_C相_27,紫姚南线_3I0_28
-55.45463562011719,-27.20191192626953,81.59259033203125,-1.369455337524414,-0.3886502981185913,-0.2715255618095398,0.7032943367958069,0.009280138649046421
-35.9893913269043,-47.873287200927734,82.69015502929688,-1.4628273248672485,-0.2085440754890442,-0.44942161440849304,0.7501806616783142,0.009280138649046421
-14.778203010559082,-64.82776641845703,78.3309555053711,-1.6651331186294556,-0.02843782678246498,-0.5805029273033142,0.7032943367958069,0.009280138649046421
7.274783134460449,-78.16915893554688,69.65397644042969,-1.5873231887817383,0.1801062375307083,-0.6834953427314758,0.5907672643661499,0.009280138649046421
27.654569625854492,-83.28768920898438,54.350189208984375,-1.649571180343628,0.35073322057724,-0.7022212743759155,0.44073110818862915,0.0
48.45005798339844,-84.5647201538086,35.3705940246582,-0.7936615943908691,0.5213601589202881,-0.7303100824356079,0.24380870163440704,0.018560277298092842
65.24441528320312,-79.9549331665039,14.268348693847656,-0.46685975790023804,0.6730285882949829,-0.6741324067115784,0.08439531922340393,0.009280138649046421
77.73625946044922,-70.78726959228516,-6.792479515075684,0.684727668762207,0.70146644115448,-0.5617769956588745,-0.12190435081720352,0.018560277298092842
83.54569244384766,-56.148067474365234,-27.014602661132812,0.9181575179100037,0.7488628029823303,-0.3745180070400238,-0.3188267648220062,0.018560277298092842
84.20042419433594,-36.09963607788086,-47.3092041015625,1.5561991930007935,0.7583420872688293,-0.21534785628318787,-0.4876174032688141,0.0
80.2928237915039,-15.054492950439453,-64.41465759277344,1.5717612504959106,0.7299042344093323,-0.03745179995894432,-0.647030770778656,0.02784041501581669
70.31597900390625,7.226156711578369,-76.69496154785156,1.5873231887817383,0.6161529421806335,0.1685331016778946,-0.7126715779304504,0.009280138649046421
55.288352966308594,27.316118240356445,-81.9032211303711,1.3538932800292969,0.4550052285194397,0.308977335691452,-0.7220488786697388,0.009280138649046421
35.89585876464844,47.769466400146484,-82.92830657958984,1.4472652673721313,0.2843782901763916,0.4587845504283905,-0.7126715779304504,0.02784041501581669
14.809380531311035,64.64087677001953,-78.56910705566406,1.649571180343628,0.11375130712985992,0.5992287993431091,-0.6845398545265198,0.02784041501581669
-7.253998279571533,78.04457092285156,-69.96460723876953,1.649571180343628,-0.08531348407268524,0.6554064750671387,-0.5532582402229309,0.0
-27.48828887939453,82.95545196533203,-54.640113830566406,1.6028852462768555,-0.2843782901763916,0.711584210395813,-0.3750903308391571,0.018560277298092842
-48.45005798339844,84.34669494628906,-35.55697250366211,0.7469756007194519,-0.47396379709243774,0.7396730780601501,-0.20629967749118805,0.018560277298092842
-65.28598022460938,79.7991943359375,-14.454727172851562,0.4357357919216156,-0.6066736578941345,0.7022212743759155,-0.05626354739069939,0.0
-77.7674331665039,70.58999633789062,6.543973922729492,-0.7158516645431519,-0.6825078725814819,0.5992287993431091,0.1594133824110031,0.0
-83.83668518066406,56.02347946166992,26.97318458557129,-0.9337195158004761,-0.7204249501228333,0.43069571256637573,0.36571305990219116,0.0
-84.5329818725586,36.07887268066406,47.24707794189453,-1.5406372547149658,-0.7299042344093323,0.24343669414520264,0.5157491564750671,0.02784041501581669
-80.56302642822266,14.940286636352539,64.36288452148438,-1.618447184562683,-0.691987156867981,0.0842665508389473,0.6376535296440125,0.009280138649046421
-70.586181640625,-7.381893157958984,76.72602844238281,-1.649571180343628,-0.5497980117797852,-0.0842665508389473,0.7126715779304504,0.009280138649046421
-55.527381896972656,-27.149999618530273,81.62364959716797,-1.3538932800292969,-0.3886502981185913,-0.2715255618095398,0.7126715779304504,0.009280138649046421
-36.082923889160156,-47.79022979736328,82.71086120605469,-1.4783892631530762,-0.23698189854621887,-0.44942161440849304,0.7314261198043823,0.009280138649046421
-14.892520904541016,-64.74470520019531,78.3516616821289,-1.6651331186294556,-0.047396380454301834,-0.5898658633232117,0.7032943367958069,0.0
7.18125057220459,-78.10686492919922,69.68504333496094,-1.5873231887817383,0.1801062375307083,-0.6928582787513733,0.6001445055007935,0.0
27.62339210510254,-83.3084487915039,54.38125228881836,-1.6651331186294556,0.3602124750614166,-0.711584210395813,0.4501083791255951,0.018560277298092842
48.3773078918457,-84.53357696533203,35.43272018432617,-0.7625375986099243,0.5118808746337891,-0.7303100824356079,0.28131774067878723,0.009280138649046421
65.2132339477539,-80.04837799072266,14.351183891296387,-0.4201737940311432,0.6635493040084839,-0.6741324067115784,0.10314983874559402,0.018560277298092842
77.67390441894531,-70.82879638671875,-6.668226718902588,0.6691656708717346,0.7204249501228333,-0.5805029273033142,-0.11252709478139877,0.009280138649046421
83.48333740234375,-56.199981689453125,-26.890348434448242,0.902595579624176,0.7678213715553284,-0.3932439088821411,-0.30007225275039673,0.037120554596185684
84.20042419433594,-36.244991302490234,-47.174598693847656,1.5250751972198486,0.7488628029823303,-0.21534785628318787,-0.5063719153404236,0.009280138649046421
80.3239974975586,-15.189464569091797,-64.3007583618164,1.6028852462768555,0.7393835186958313,-0.03745179995894432,-0.6282762885093689,0.02784041501581669
70.3575439453125,7.111950397491455,-76.6328353881836,1.5717612504959106,0.5971943736076355,0.1685331016778946,-0.6939170956611633,0.018560277298092842
55.36109924316406,27.23305892944336,-81.9032211303711,1.3538932800292969,0.44552597403526306,0.3183403015136719,-0.7126715779304504,0.0
35.999786376953125,47.686405181884766,-82.94901275634766,1.4317033290863037,0.29385754466056824,0.4775104522705078,-0.7126715779304504,0.018560277298092842
14.871735572814941,64.59934997558594,-78.62088012695312,1.6340092420578003,0.1042720377445221,0.6085917353630066,-0.6657853126525879,0.02784041501581669
-7.170857906341553,78.01342010498047,-69.97496032714844,1.6651331186294556,-0.1042720377445221,0.6647694706916809,-0.5626354813575745,0.02784041501581669
-27.37397003173828,82.96583557128906,-54.73330307006836,1.6340092420578003,-0.2748990058898926,0.711584210395813,-0.4125993549823761,0.009280138649046421
-48.33573913574219,84.37783813476562,-35.660518646240234,0.7625375986099243,-0.4644845128059387,0.7209471464157104,-0.20629967749118805,0.018560277298092842
-65.28598022460938,79.92378234863281,-14.558271408081055,0.451297789812088,-0.6066736578941345,0.7209471464157104,-0.04688629135489464,0.009280138649046421
-77.705078125,70.64191436767578,6.46113920211792,-0.7314136624336243,-0.691987156867981,0.6085917353630066,0.18754516541957855,0.009280138649046421
-83.79511260986328,56.07539367675781,26.90070343017578,-0.9648435115814209,-0.7109456658363342,0.43069571256637573,0.36571305990219116,0.0
-84.57455444335938,36.2346076965332,47.14353561401367,-1.5406372547149658,-0.7393835186958313,0.24343669414520264,0.5251264572143555,0.0
-80.54224395751953,15.002581596374512,64.3007583618164,-1.6340092420578003,-0.70146644115448,0.06554064899682999,0.6564080715179443,0.0
-70.69010925292969,-7.236539363861084,76.67425537109375,-1.649571180343628,-0.5497980117797852,-0.09362950176000595,0.7032943367958069,0.018560277298092842
-55.58973693847656,-27.03579330444336,81.60294342041016,-1.3227694034576416,-0.3886502981185913,-0.2715255618095398,0.7126715779304504,0.009280138649046421
-36.16606521606445,-47.686405181884766,82.71086120605469,-1.4472652673721313,-0.21802334487438202,-0.4400586485862732,0.7314261198043823,0.0
-14.9652681350708,-64.69279479980469,78.38272857666016,-1.6962571144104004,-0.05687565356492996,-0.571139931678772,0.7032943367958069,0.009280138649046421
7.077324867248535,-78.06533813476562,69.7471694946289,-1.5873231887817383,0.17062696814537048,-0.6741324067115784,0.6001445055007935,0.009280138649046421
27.48828887939453,-83.27730560302734,54.5055046081543,-1.6806951761245728,0.35073322057724,-0.7022212743759155,0.4313538670539856,-0.009280138649046421
48.27338409423828,-84.5543441772461,35.5362663269043,-0.7469756007194519,0.5308394432067871,-0.7209471464157104,0.26256322860717773,0.009280138649046421
65.19245147705078,-80.14181518554688,14.485791206359863,-0.4357357919216156,0.6445907354354858,-0.6928582787513733,0.11252709478139877,0.018560277298092842
77.63233184814453,-70.8910903930664,-6.554328441619873,0.684727668762207,0.7109456658363342,-0.5430511236190796,-0.12190435081720352,0.009280138649046421
83.41058349609375,-56.28303909301758,-26.7557430267334,0.902595579624176,0.7488628029823303,-0.3932439088821411,-0.30944952368736267,0.018560277298092842
84.2731704711914,-36.400726318359375,-47.102115631103516,1.4939512014389038,0.7773005962371826,-0.21534785628318787,-0.49699467420578003,0.018560277298092842
80.33439636230469,-15.282906532287598,-64.24898529052734,1.5250751972198486,0.7109456658363342,-0.028088850900530815,-0.6188990473747253,0.018560277298092842
70.4302978515625,6.997743606567383,-76.60177612304688,1.6028852462768555,0.6161529421806335,0.1685331016778946,-0.6939170956611633,0.018560277298092842
55.45463562011719,27.118852615356445,-81.87215423583984,1.3227694034576416,0.426567405462265,0.29961439967155457,-0.7220488786697388,0.018560277298092842
36.072532653808594,47.54104995727539,-82.96971893310547,1.3227694034576416,0.30333682894706726,0.4868733882904053,-0.7126715779304504,0.0
14.923698425292969,64.47476196289062,-78.65193939208984,1.509513258934021,0.1421891450881958,0.617954671382904,-0.6564080715179443,-0.02784041501581669
-7.077324867248535,77.84730529785156,-70.05780029296875,1.4005793333053589,-0.05687565356492996,0.6928582787513733,-0.5157491564750671,-0.09280138462781906
-29.213451385498047,56.978660583496094,-49.959930419921875,-40.134376525878906,1.213347315788269,5.898658275604248,0.03750903159379959,-6.978664398193359
-26.36589241027832,26.0079345703125,-8.697687149047852,-16.028852462768555,-5.336832523345947,15.495682716369629,-6.367157936096191,-3.702775239944458
-30.897043228149414,39.370094299316406,-6.968503952026367,2.4743568897247314,-12.190348625183105,24.20322608947754,-8.251986503601074,-3.758456230163574
-33.9212760925293,28.26091766357422,4.545577049255371,-1.75850510597229,-20.15294075012207,30.869646072387695,-6.9673027992248535,-3.897658109664917
-36.45705795288086,23.95221710205078,11.89719295501709,-0.8870335817337036,-29.00658416748047,36.655948638916016,-3.957202911376953,-4.00901985168457
-39.80345916748047,17.868125915527344,20.263540267944336,-2.6766626834869385,-37.414703369140625,39.595916748046875,1.219043493270874,-3.8141369819641113
-37.267677307128906,7.984072685241699,28.88874626159668,-0.6224796772003174,-45.41521072387695,40.29813766479492,7.70810604095459,-3.1366868019104004
