220kV I母电压_A相_1,220kV I母电压_B相_2,220kV I母电压_C相_3,220kV I母电压_3U0_4,220kV太丽I回_A相_17,220kV太丽I回_B相_18,220kV太丽I回_C相_19,220kV太丽I回_3I0_20
-35.649478912353516,-48.69514846801758,84.76255798339844,0.731582760810852,0.34560540318489075,0.5010961294174194,-0.7701557278633118,0.055655065923929214
-14.807762145996094,-65.10352325439453,80.08528900146484,0.40470537543296814,0.16813236474990845,0.6495690941810608,-0.7237607836723328,0.046379219740629196
7.403881072998047,-77.71895599365234,70.27340698242188,0.09339354187250137,-0.04670343175530434,0.7423646450042725,-0.6124129891395569,0.06493090838193893
29.1553955078125,-85.06583404541016,55.38928985595703,-0.7004516124725342,-0.25219854712486267,0.8351602554321289,-0.47322821617126465,0.046379219740629196
49.27554702758789,-85.42953491210938,35.900657653808594,-0.34244298934936523,-0.4576936364173889,0.8351602554321289,-0.26909056305885315,0.046379219740629196
65.67284393310547,-80.6805648803711,15.143966674804688,0.1556559056043625,-0.6164852976799011,0.779482901096344,-0.07423187792301178,0.046379219740629196
77.81394958496094,-70.71499633789062,-6.85999870300293,0.17122149467468262,-0.709892213344574,0.695966899394989,0.14846375584602356,0.046379219740629196
84.73678588867188,-55.33539581298828,-28.64569091796875,1.0584602355957031,-0.7752770185470581,0.5474939346313477,0.3340434432029724,0.027827532961964607
84.67404174804688,-35.528961181640625,-48.872291564941406,0.3268774151802063,-0.803299069404602,0.37118232250213623,0.5196231603622437,0.037103377282619476
80.03092956542969,-14.818455696105957,-65.29471588134766,-0.09339354187250137,-0.7565956115722656,0.17631161212921143,0.6680868864059448,0.018551688641309738
70.01268768310547,7.367660999298096,-77.60113525390625,-0.1556559056043625,-0.6538480520248413,-0.01855911687016487,0.7701557278633118,0.027827532961964607
54.85982894897461,28.867931365966797,-84.52349853515625,-1.1051568984985352,-0.5137377977371216,-0.24126851558685303,0.8351086378097534,0.037103377282619476
35.57627487182617,48.747108459472656,-84.91846466064453,-0.747148334980011,-0.32692402601242065,-0.41758012771606445,0.8351086378097534,0.018551688641309738
14.703186988830566,65.2593994140625,-80.21001434326172,-0.29574623703956604,-0.14945098757743835,-0.5567734837532043,0.7794347405433655,0.046379219740629196
-7.393423557281494,77.6669921875,-70.26301574707031,0.1089591383934021,0.08406618237495422,-0.6495690941810608,0.6773658990859985,0.027827532961964607
-29.239055633544922,84.8164291381836,-55.12944412231445,0.7938451170921326,0.2989019751548767,-0.7330850958824158,0.5381811261177063,0.027827532961964607
-49.33829116821289,85.24249267578125,-35.75514221191406,0.3268774151802063,0.4950563907623291,-0.7423646450042725,0.3340434432029724,0.027827532961964607
-65.59963989257812,80.58704376220703,-15.081603050231934,0.0,0.6258260011672974,-0.7052464485168457,0.14846375584602356,0.046379219740629196
-77.77212524414062,70.60069274902344,7.057483196258545,-0.04669677093625069,0.7379142642021179,-0.6031712889671326,-0.06495289504528046,0.037103377282619476
-84.75770568847656,55.33539581298828,28.832780838012695,-0.8716731071472168,0.831321120262146,-0.4546983540058136,-0.2969275116920471,0.037103377282619476
-84.7681655883789,35.60170364379883,49.059383392333984,-0.2179182767868042,0.831321120262146,-0.2691071927547455,-0.454670250415802,0.037103377282619476
-80.08322143554688,14.849630355834961,65.39865112304688,0.09339354187250137,0.7939583659172058,-0.08351602405309677,-0.5938550233840942,0.046379219740629196
-69.89765167236328,-7.378052711486816,77.61152648925781,0.3735741674900055,0.6818701028823853,0.11135470122098923,-0.7144818305969238,0.027827532961964607
-54.71342468261719,-28.919889450073242,84.40916442871094,1.2919440269470215,0.551100492477417,0.3155049979686737,-0.7608767747879028,0.037103377282619476
-35.565818786621094,-48.747108459472656,84.73137664794922,0.7160171866416931,0.3736274540424347,0.5010961294174194,-0.7701557278633118,0.037103377282619476
-14.682271957397461,-65.1970443725586,80.03331756591797,0.3891397714614868,0.14945098757743835,0.6495690941810608,-0.7237607836723328,0.027827532961964607
8.250934600830078,-23.526636123657227,17.815208435058594,4.2338409423828125,-0.12142892926931381,-4.695456504821777,4.778676986694336,0.1484135091304779
30.410289764404297,-9.955175399780273,-19.343116760253906,1.0273289680480957,-0.34560540318489075,-12.035587310791016,12.220422744750977,0.22262026369571686
50.927825927734375,-28.254825592041016,-18.1582088470459,7.533745765686035,-0.6164852976799011,-16.545452117919922,16.961984634399414,0.3061028718948364
65.32774353027344,-43.572078704833984,-21.151662826538086,0.20235268771648407,-0.8500024676322937,-22.493650436401367,23.08611488342285,0.31537869572639465
77.4583969116211,-35.321128845214844,-43.42586898803711,-2.179182767868042,-0.980772078037262,-25.110485076904297,25.823413848876953,0.3061028718948364
83.094970703125,-41.76393508911133,-37.87550735473633,5.883793354034424,-1.0368162393569946,-26.205472946166992,26.96472930908203,0.31537869572639465
83.86882019042969,-47.85342788696289,-38.33283996582031,-4.171578407287598,-1.0368162393569946,-26.30754852294922,27.07607650756836,0.31537869572639465
79.87406921386719,-33.13888931274414,-46.7727165222168,-0.18678708374500275,-1.0368162393569946,-23.597917556762695,24.440845489501953,0.26899948716163635
69.84536743164062,-31.00860595703125,-36.898475646972656,3.4088644981384277,-0.8873652219772339,-19.394277572631836,20.144676208496094,0.20406857132911682
53.60493469238281,-26.010234832763672,-30.7972354888916,-5.4479570388793945,-0.6631887555122375,-13.28832721710205,13.946313858032227,0.12058597803115845
35.41941452026367,-7.52353572845459,-26.421388626098633,2.4593634605407715,-0.44835296273231506,-5.8182830810546875,6.328267574310303,0.037103377282619476
13.856133460998535,-1.3405194282531738,-11.641209602355957,1.3230751752853394,-0.23351716995239258,1.4476110935211182,-1.1041991710662842,-0.055655065923929214
-9.275766372680664,7.388444423675537,-2.297060012817383,-7.300261974334717,0.10274755209684372,8.156731605529785,-8.007763862609863,-0.1484135091304779
-29.16585350036621,24.908721923828125,6.766453266143799,4.327234268188477,0.36428678035736084,15.14423942565918,-15.198976516723633,-0.21334442496299744
-47.34091567993164,29.532995223999023,18.17899513244629,0.45140212774276733,0.6538480520248413,22.33589744567871,-22.594327926635742,-0.2875511646270752
-63.696380615234375,34.80154800415039,25.236478805541992,-6.241801738739014,0.8593431711196899,28.014986038208008,-28.44936752319336,-0.3432062268257141
-75.0740966796875,41.847068786621094,34.88205337524414,3.0041589736938477,1.083519697189331,30.91948890686035,-31.567106246948242,-0.3803096115589142
-82.84398651123047,41.3378791809082,41.52377700805664,0.0,1.1956079006195068,31.59689712524414,-32.35581970214844,-0.3524820804595947
-84.75770568847656,41.795108795166016,40.900142669677734,-3.486692428588867,1.2142893075942993,30.938047409057617,-31.761964797973633,-0.3432062268257141
-77.07147216796875,37.83590316772461,40.80659866333008,2.6461503505706787,1.2142893075942993,28.35832977294922,-29.210243225097656,-0.2875511646270752
-67.48197937011719,29.293987274169922,37.67802047729492,-1.0273289680480957,1.111541748046875,24.12685203552246,-24.914073944091797,-0.20406857132911682
-54.3160400390625,23.152538299560547,31.285751342773438,0.062262363731861115,0.9060466289520264,18.540557861328125,-19.226057052612305,-0.12058597803115845
-35.210262298583984,12.947962760925293,24.56087303161621,3.7201762199401855,0.6631887555122375,11.655125617980957,-12.174028396606445,-0.027827532961964607
-16.1672306060791,0.4676230549812317,15.289481163024902,-0.9028042554855347,0.4109902083873749,3.5169525146484375,-3.878615617752075,0.09275843948125839
5.479708671569824,-9.071887016296387,4.178362846374512,0.8249763250350952,0.08406618237495422,-4.593381404876709,4.463191509246826,0.20406857132911682
28.38154411315918,-19.089412689208984,-7.119846820831299,3.5178234577178955,-0.21483579277992249,-11.525211334228516,11.626567840576172,0.2504478096961975
48.85724639892578,-29.938268661499023,-18.761056900024414,-0.031131181865930557,-0.5043970942497253,-17.259979248046875,17.55583953857422,0.32465454936027527
64.67938232421875,-36.85908889770508,-27.190540313720703,0.9650666117668152,-0.7939583659172058,-22.243101119995117,22.789186477661133,0.36175793409347534
75.78520202636719,-40.62085723876953,-33.780296325683594,2.1947484016418457,-0.9994534850120544,-26.02916145324707,26.742033004760742,0.3803096115589142
82.19562530517578,-42.79270553588867,-38.77977752685547,0.9028042554855347,-1.1208823919296265,-27.718040466308594,28.560714721679688,0.3895854651927948
82.59300994873047,-40.7039909362793,-41.056053161621094,1.3230751752853394,-1.1769264936447144,-27.179826736450195,28.059650421142578,0.36175793409347534
77.34336853027344,-36.235591888427734,-40.85856628417969,0.40470537543296814,-1.1582452058792114,-24.51659393310547,25.452255249023438,0.2968270182609558
68.9983139038086,-31.164480209350586,-37.97944641113281,-0.3891397714614868,-1.0368162393569946,-19.9696102142334,20.886995315551758,0.23189610242843628
54.91211700439453,-22.73687171936035,-31.878204345703125,0.40470537543296814,-0.8593431711196899,-14.160606384277344,14.985560417175293,0.15768934786319733
35.869083404541016,-12.605039596557617,-23.542266845703125,-0.5914924740791321,-0.5978039503097534,-7.590678691864014,8.239738464355469,0.06493090838193893
15.341092109680176,-2.0055832862854004,-13.959057807922363,-1.2296817302703857,-0.3362647294998169,-0.4546983540058136,0.9186195135116577,-0.027827532961964607
-7.16335916519165,10.630631446838379,-3.6690597534179688,-0.4980989098548889,0.0,7.1267008781433105,-6.894285678863525,-0.12058597803115845
-28.893959045410156,21.417137145996094,7.151028633117676,-0.6848859786987305,0.3175833523273468,14.680261611938477,-14.697912216186523,-0.20406857132911682
-47.780128479003906,29.377120971679688,17.88796615600586,-0.9495010375976562,0.6258260011672974,21.16667366027832,-21.44373321533203,-0.27827534079551697
-63.445404052734375,35.85110092163086,27.221721649169922,-0.62262362241745,0.8780245780944824,25.927085876464844,-26.398712158203125,-0.32465454936027527
-74.6976318359375,39.8934440612793,34.299991607666016,-0.9028042554855347,1.055497646331787,28.84086799621582,-29.52573013305664,-0.32465454936027527
-82.22699737548828,42.87583923339844,38.9876594543457,-0.62262362241745,1.2049485445022583,30.186403274536133,-30.963972091674805,-0.3432062268257141
-82.86490631103516,41.73276138305664,41.01447677612305,-0.2801806330680847,1.2703334093093872,29.805940628051758,-30.667043685913086,-0.2968270182609558
-77.47931671142578,36.86948013305664,40.47399139404297,-0.3268774151802063,1.2703334093093872,27.541728973388672,-28.458646774291992,-0.2504478096961975
-68.61138916015625,31.25800323486328,37.761173248291016,0.5136644840240479,1.167585849761963,23.282411575317383,-24.181034088134766,-0.16696520149707794
-54.389244079589844,22.72648048400879,32.36671829223633,1.0273289680480957,0.9340686798095703,17.315656661987305,-18.06618309020996,-0.09275843948125839
-35.57627487182617,12.189374923706055,24.165903091430664,1.1674193143844604,0.6351667046546936,10.077600479125977,-10.652274131774902,0.046379219740629196
-15.163315773010254,1.953625202178955,14.260481834411621,1.696649432182312,0.3175833523273468,2.459083080291748,-2.8208112716674805,0.17624104022979736
7.247018814086914,-10.277316093444824,6.049271583557129,5.0432515144348145,-0.05604412034153938,-6.152347087860107,6.207640647888184,0.12058597803115845
28.6220645904541,-22.102983474731445,-3.9185142517089844,4.342799663543701,-0.03736274689435959,-15.450465202331543,15.5144624710083,0.12058597803115845
47.24679946899414,-31.35152816772461,-15.154359817504883,1.1362881660461426,-0.04670343175530434,-24.173250198364258,24.255266189575195,0.08348260074853897
63.351287841796875,-37.62807083129883,-24.73756980895996,1.5098623037338257,-0.02802206017076969,-31.439144134521484,31.474315643310547,0.08348260074853897
74.70808410644531,-41.08848190307617,-32.938385009765625,1.0117634534835815,-0.02802206017076969,-35.958290100097656,36.00246047973633,0.08348260074853897
