1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,25-220kV太丽Ⅰ回线路电流Ia_25,26-220kV太丽Ⅰ回线路电流Ib_26,27-220kV太丽Ⅰ回线路电流Ic_27,28-220kV太丽Ⅰ回线路电流3Io_28
84.21967315673828,-56.96158981323242,-27.04958152770996,0.37442633509635925,0.11089727282524109,-0.06921452283859253,-0.04151802137494087,0.0
85.0933837890625,-52.65435791015625,-32.166229248046875,0.4368307292461395,0.10396619141101837,-0.06229306757450104,-0.0484376922249794,0.0
85.53024291992188,-48.2222785949707,-37.095680236816406,0.37442633509635925,0.11089727282524109,-0.055371616035699844,-0.05535736307501793,0.0
85.71746826171875,-43.63414001464844,-41.962730407714844,0.21841536462306976,0.11089727282524109,-0.04845016449689865,-0.06227703392505646,0.0
85.68626403808594,-38.85873031616211,-46.704986572265625,0.18721316754817963,0.11089727282524109,-0.04152871295809746,-0.06919670850038528,0.0
85.24940490722656,-33.98968505859375,-51.16645431518555,0.12480878084897995,0.10396619141101837,-0.034607261419296265,-0.07611637562513351,0.0
84.40689849853516,-28.933366775512695,-55.3159294128418,0.18721316754817963,0.10396619141101837,-0.034607261419296265,-0.07611637562513351,0.0
83.31475830078125,-23.970685958862305,-59.2782096862793,0.12480878084897995,0.10396619141101837,-0.02076435647904873,-0.08303604274988174,0.0
81.94178009033203,-18.789522171020508,-63.05329513549805,0.18721316754817963,0.10396619141101837,-0.02076435647904873,-0.08303604274988174,0.0
80.10073852539062,-13.327451705932617,-66.57878875732422,0.28081974387168884,0.10396619141101837,-0.013842904008924961,-0.08995571732521057,0.0
77.91645812988281,-7.959016799926758,-69.823486328125,0.21841536462306976,0.09703510999679565,0.0,-0.0968753844499588,0.0
75.45133972167969,-2.5905818939208984,-72.78739929199219,0.1560109704732895,0.09010403603315353,0.0,-0.0968753844499588,0.0
72.8302001953125,2.777853012084961,-75.53291320800781,0.062404390424489975,0.09010403603315353,0.0069214520044624805,-0.10379505902528763,0.0
69.80341339111328,8.208711624145508,-77.99764251708984,0.0,0.08317295461893082,0.013842904008924961,-0.10379505902528763,0.0
66.52699279785156,13.389875411987305,-79.90078735351562,-0.031202195212244987,0.08317295461893082,0.02076435647904873,-0.10379505902528763,0.0
63.094547271728516,18.414979934692383,-81.52313232421875,-0.09360658377408981,0.0762418732047081,0.027685808017849922,-0.11071472615003586,0.0
59.287654876708984,23.627355575561523,-82.95829010009766,-0.12480878084897995,0.0762418732047081,0.034607261419296265,-0.10379505902528763,0.0
55.26233673095703,28.777307510375977,-84.08145904541016,-0.12480878084897995,0.06237971410155296,0.04152871295809746,-0.11071472615003586,0.0
51.04978942871094,33.83362579345703,-84.95503234863281,-0.1560109704732895,0.055448636412620544,0.04845016449689865,-0.11071472615003586,0.0
46.68122863769531,38.733882904052734,-85.57901000976562,-0.3432241380214691,0.055448636412620544,0.055371616035699844,-0.11071472615003586,0.0
42.03182601928711,43.47808074951172,-85.70381164550781,-0.37442633509635925,0.04851755499839783,0.06229306757450104,-0.11071472615003586,0.0
37.1952018737793,48.09743118286133,-85.51661682128906,-0.37442633509635925,0.04158647730946541,0.06921452283859253,-0.11071472615003586,0.0
32.32737350463867,52.435874938964844,-84.95503234863281,-0.312021940946579,0.03465539589524269,0.06921452283859253,-0.10379505902528763,0.0
27.334728240966797,56.55583572387695,-84.08145904541016,-0.3432241380214691,0.027724318206310272,0.07613597065210342,-0.10379505902528763,0.0
22.310880661010742,60.488529205322266,-82.95829010009766,-0.28081974387168884,0.020793238654732704,0.07613597065210342,-0.10379505902528763,0.0
16.91258430480957,64.2027359008789,-81.33594512939453,-0.28081974387168884,0.020793238654732704,0.08305742591619492,-0.10379505902528763,0.0
11.514286994934082,67.66725158691406,-79.33920288085938,-0.2496175616979599,0.006931079551577568,0.08997887372970581,-0.0968753844499588,0.0
6.147193431854248,70.88206481933594,-77.24886322021484,-0.312021940946579,0.0,0.08997887372970581,-0.0968753844499588,0.0
0.8425087928771973,73.81597900390625,-74.8465347290039,-0.312021940946579,0.0,0.08997887372970581,-0.08995571732521057,0.0
-4.555788040161133,76.53141021728516,-72.10102081298828,-0.1560109704732895,-0.013862159103155136,0.0969003289937973,-0.08995571732521057,0.0
-10.110105514526367,78.93472290039062,-68.85631561279297,-0.062404390424489975,-0.020793238654732704,0.0969003289937973,-0.08303604274988174,0.0
-15.383585929870605,80.80742645263672,-65.45561981201172,-0.031202195212244987,-0.027724318206310272,0.1038217842578888,-0.07611637562513351,0.0
-20.532251358032227,82.46165466308594,-61.93012619018555,0.031202195212244987,-0.03465539589524269,0.1038217842578888,-0.07611637562513351,0.0
-25.80573081970215,83.83497619628906,-58.06144332885742,0.0,-0.03465539589524269,0.1038217842578888,-0.06919670850038528,0.0
-31.016803741455078,84.89617919921875,-53.849571228027344,0.0,-0.04851755499839783,0.1038217842578888,-0.06227703392505646,-0.006923758890479803
-35.97824478149414,85.61405181884766,-49.66889953613281,-0.031202195212244987,-0.055448636412620544,0.1038217842578888,-0.05535736307501793,0.0
-40.75246047973633,86.05101776123047,-45.33222961425781,-0.031202195212244987,-0.06237971410155296,0.11074323207139969,-0.0484376922249794,0.0
-45.55788040161133,86.20707702636719,-40.65237045288086,-0.062404390424489975,-0.06931079179048538,0.1038217842578888,-0.04151802137494087,0.0
-50.113670349121094,85.9261703491211,-35.754119873046875,0.031202195212244987,-0.06931079179048538,0.1038217842578888,-0.03459835425019264,0.0
-54.38862228393555,85.30193328857422,-30.887065887451172,0.031202195212244987,-0.0762418732047081,0.1038217842578888,-0.03459835425019264,-0.006923758890479803
-58.38273620605469,84.24073028564453,-25.895217895507812,-0.062404390424489975,-0.08317295461893082,0.1038217842578888,-0.020759010687470436,0.0
-62.22083282470703,83.02346801757812,-20.809770584106445,-0.062404390424489975,-0.08317295461893082,0.1038217842578888,-0.020759010687470436,0.0
-65.90290832519531,81.24439239501953,-15.443532943725586,-0.2496175616979599,-0.09010403603315353,0.1038217842578888,-0.013839340768754482,-0.006923758890479803
-69.21053314208984,79.24684143066406,-10.170892715454102,-0.28081974387168884,-0.09010403603315353,0.0969003289937973,-0.006919670384377241,0.0
-72.17491912841797,76.90595245361328,-4.898252010345459,-0.312021940946579,-0.09703510999679565,0.0969003289937973,0.0,0.0
-74.9208755493164,74.25294494628906,0.5303839445114136,-0.2496175616979599,-0.10396619141101837,0.08997887372970581,0.006919670384377241,0.0
-77.5420150756836,71.38145446777344,6.052617073059082,-0.21841536462306976,-0.10396619141101837,0.08997887372970581,0.013839340768754482,0.0
-79.63268280029297,68.10421752929688,11.356456756591797,-0.28081974387168884,-0.10396619141101837,0.08305742591619492,0.020759010687470436,0.0
-81.25528717041016,64.63970184326172,16.473102569580078,-0.28081974387168884,-0.11089727282524109,0.07613597065210342,0.027678681537508965,0.0
-82.84669494628906,60.894283294677734,21.776941299438477,-0.28081974387168884,-0.11089727282524109,0.06921452283859253,0.03459835425019264,0.0
-84.12606048583984,56.96158981323242,26.987184524536133,-0.3432241380214691,-0.11089727282524109,0.06921452283859253,0.04151802137494087,0.0
-85.0933837890625,52.74799346923828,32.13502883911133,-0.37442633509635925,-0.11089727282524109,0.06229306757450104,0.0484376922249794,0.0
-85.5926513671875,48.25349044799805,37.095680236816406,-0.4056285321712494,-0.1178283542394638,0.055371616035699844,0.05535736307501793,0.0
-85.84228515625,43.72777557373047,41.962730407714844,-0.21841536462306976,-0.1178283542394638,0.04845016449689865,0.06227703392505646,0.0
-85.77987670898438,38.88994216918945,46.704986572265625,-0.28081974387168884,-0.11089727282524109,0.04152871295809746,0.06919670850038528,0.0
-85.31181335449219,33.98968505859375,51.19765090942383,-0.21841536462306976,-0.11089727282524109,0.034607261419296265,0.07611637562513351,0.0
-84.5005111694336,29.027002334594727,55.34712600708008,-0.18721316754817963,-0.11089727282524109,0.034607261419296265,0.07611637562513351,0.0
-83.40837097167969,23.970685958862305,59.2782096862793,-0.18721316754817963,-0.11089727282524109,0.027685808017849922,0.08303604274988174,0.0
-82.00418853759766,18.851945877075195,63.0220947265625,-0.21841536462306976,-0.10396619141101837,0.02076435647904873,0.08303604274988174,0.0
-80.13194274902344,13.327451705932617,66.57878875732422,-0.3432241380214691,-0.10396619141101837,0.013842904008924961,0.08995571732521057,0.0
-77.91645812988281,7.865381240844727,69.8858871459961,-0.2496175616979599,-0.10396619141101837,0.0069214520044624805,0.0968753844499588,0.0
-75.45133972167969,2.4969465732574463,72.84980010986328,-0.12480878084897995,-0.09703510999679565,0.0,0.0968753844499588,0.0
-72.73658752441406,-2.8402767181396484,75.56411743164062,0.0,-0.09703510999679565,-0.0069214520044624805,0.10379505902528763,0.0
-69.70980072021484,-8.271135330200195,77.99764251708984,0.031202195212244987,-0.09010403603315353,-0.013842904008924961,0.10379505902528763,0.0
-66.40217590332031,-13.483510971069336,79.86958312988281,0.0,-0.09010403603315353,-0.02076435647904873,0.10379505902528763,0.0
-62.93852615356445,-18.508615493774414,81.52313232421875,0.1560109704732895,-0.08317295461893082,-0.027685808017849922,0.10379505902528763,0.0
-59.162837982177734,-23.720991134643555,82.95829010009766,0.09360658377408981,-0.0762418732047081,-0.034607261419296265,0.11071472615003586,-0.006923758890479803
-55.10631561279297,-28.90215492248535,84.05026245117188,0.12480878084897995,-0.06931079179048538,-0.04152871295809746,0.11071472615003586,0.0
-50.89377212524414,-33.92726135253906,84.89263153076172,0.12480878084897995,-0.06237971410155296,-0.04845016449689865,0.10379505902528763,0.0
-46.55641174316406,-38.76509475708008,85.48541259765625,0.28081974387168884,-0.055448636412620544,-0.055371616035699844,0.11071472615003586,0.0
-41.90700912475586,-43.50929260253906,85.64141082763672,0.3432241380214691,-0.04851755499839783,-0.055371616035699844,0.11071472615003586,0.0
-37.163997650146484,-48.12864303588867,85.45421600341797,0.28081974387168884,-0.04158647730946541,-0.06229306757450104,0.11071472615003586,0.0
-32.29616928100586,-52.4046630859375,84.86143493652344,0.2496175616979599,-0.03465539589524269,-0.06921452283859253,0.10379505902528763,0.0
-27.303525924682617,-56.52462387084961,83.9566650390625,0.2496175616979599,-0.03465539589524269,-0.07613597065210342,0.10379505902528763,0.0
-22.217267990112305,-60.394893646240234,82.7710952758789,0.2496175616979599,-0.027724318206310272,-0.07613597065210342,0.10379505902528763,0.0
-16.943788528442383,-64.07788848876953,81.17994689941406,0.21841536462306976,-0.020793238654732704,-0.08305742591619492,0.10379505902528763,0.0
-11.514286994934082,-67.57361602783203,79.24560546875,0.21841536462306976,-0.013862159103155136,-0.08305742591619492,0.10379505902528763,0.0
-6.1783976554870605,-70.8508529663086,77.21766662597656,0.312021940946579,-0.006931079551577568,-0.08997887372970581,0.0968753844499588,0.0
-0.8425087928771973,-73.7847671508789,74.81533813476562,0.312021940946579,0.0,-0.08997887372970581,0.08995571732521057,0.0
6.147193431854248,-58.896724700927734,53.10079574584961,1.6849185228347778,0.006931079551577568,-0.2007221132516861,0.20759011805057526,0.013847517780959606
9.704452514648438,-37.11086654663086,27.392772674560547,0.0,0.013862159103155136,-0.45681583881378174,0.429019570350647,-0.013847517780959606
15.477198600769043,-25.43764305114746,8.267749786376953,-3.2138261795043945,0.04158647730946541,-0.6298521161079407,0.622770369052887,0.0346187949180603
18.566396713256836,-19.13285255432129,-0.5303839445114136,-1.8409295082092285,0.027724318206310272,-0.8098099231719971,0.7888424396514893,0.006923758890479803
24.12071418762207,-38.328128814697266,9.671708106994629,-7.987761974334717,0.055448636412620544,-0.9482389092445374,0.9341555237770081,0.041542552411556244
30.61115264892578,-35.581485748291016,6.583001136779785,2.8706018924713135,0.04851755499839783,-1.0866680145263672,1.0517898797988892,0.013847517780959606
39.09864807128906,-14.950467109680176,-17.877059936523438,11.295194625854492,0.06237971410155296,-1.1697254180908203,1.141745686531067,0.027695035561919212
43.46721267700195,-23.44008445739746,-19.717803955078125,0.7800548672676086,0.0762418732047081,-1.2943115234375,1.2593799829483032,0.027695035561919212
45.40186309814453,-39.54539108276367,-5.959019660949707,-0.1560109704732895,0.08317295461893082,-1.3635261058807373,1.3147374391555786,0.0346187949180603
49.02153015136719,-48.815303802490234,-0.1871943473815918,-0.28081974387168884,0.09010403603315353,-1.439661979675293,1.390853762626648,0.041542552411556244
58.56996154785156,-17.29135513305664,-34.44375991821289,12.137653350830078,0.09703510999679565,-1.5504052639007568,1.4808094501495361,0.027695035561919212
58.19551467895508,-34.39543914794922,-26.20720863342285,-3.9938809871673584,0.11089727282524109,-1.6057769060134888,1.5292471647262573,0.041542552411556244
56.760128021240234,-48.659244537353516,-11.606049537658691,-6.2092366218566895,0.10396619141101837,-1.63346266746521,1.5638455152511597,0.0346187949180603
67.4319076538086,-32.55393981933594,-26.519197463989258,14.540223121643066,0.1178283542394638,-1.7095986604690552,1.6399619579315186,0.048466313630342484
68.5240478515625,-36.236934661865234,-37.532466888427734,-9.142243385314941,0.12475942820310593,-1.771891713142395,1.6814799308776855,0.0346187949180603
73.64151000976562,-39.51417922973633,-32.0726318359375,3.525847911834717,0.13169051706790924,-1.8411062955856323,1.7575962543487549,0.041542552411556244
73.36067199707031,-61.51852035522461,-9.51571273803711,4.212296485900879,0.12475942820310593,-1.9033993482589722,1.8129537105560303,0.0346187949180603
80.63121032714844,-41.16840362548828,-39.2484130859375,0.5304372906684875,0.13169051706790924,-2.0002996921539307,1.909829020500183,0.041542552411556244
78.57174682617188,-40.450531005859375,-38.59323501586914,-0.9984702467918396,0.13169051706790924,-2.055671215057373,1.9721060991287231,0.041542552411556244
77.3235855102539,-55.681907653808594,-22.463321685791016,-1.6225141286849976,0.13169051706790924,-2.1110429763793945,2.0205438137054443,0.041542552411556244
82.9403076171875,-44.41443634033203,-34.69335174560547,6.708471775054932,0.14555266499519348,-2.1594929695129395,2.0551421642303467,0.041542552411556244
