1-220kVⅠ母Ua_1,2-220kVⅠ母Ub_2,3-220kVⅠ母Uc_3,4-220kVⅠ母3Uo_4,37-220kV抚常Ⅱ回线252  Ia_37,38-220kV抚常Ⅱ回线252  Ib_38,39-220kV抚常Ⅱ回线252  Ic_39,40-220kV抚常Ⅱ回线252  3Io_40
14.926831245422363,66.4476089477539,-81.34235382080078,0.10924412310123444,-0.0397624671459198,-0.001729822950437665,0.03978009521961212,0.0
9.57909107208252,69.93663787841797,-79.39856719970703,0.26530715823173523,-0.036304861307144165,-0.00345964590087533,0.043239232152700424,0.0
4.3406476974487305,73.11344909667969,-77.33769226074219,0.2497008591890335,-0.03457605838775635,-0.00691929180175066,0.03978009521961212,0.0
-0.8275335431098938,75.90779113769531,-75.08164978027344,0.03121260739862919,-0.03284725546836853,-0.010378938168287277,0.043239232152700424,0.0
-6.46412992477417,78.74896240234375,-72.2947769165039,0.03121260739862919,-0.031118452548980713,-0.015568407252430916,0.044968802481889725,-0.0017310731345787644
-11.71818733215332,80.98912048339844,-69.28932189941406,0.0390157587826252,-0.031118452548980713,-0.015568407252430916,0.044968802481889725,0.0
-17.058120727539062,82.94048309326172,-65.7686538696289,0.17166933417320251,-0.03284725546836853,-0.01902805268764496,0.05015750974416733,-0.0017310731345787644
-21.664203643798828,35.78008270263672,-10.967947006225586,5.532434463500977,-0.022474437952041626,0.3649926483631134,-0.342454731464386,0.0017310731345787644
-28.565521240234375,59.85982894897461,-34.925689697265625,-7.288143634796143,0.012101620435714722,0.8060975074768066,-0.8094384074211121,0.0086553655564785
-30.548479080200195,20.96537971496582,10.936721801757812,-1.6620713472366333,0.01901683211326599,1.3440724611282349,-1.3352274894714355,0.02942824177443981
-30.595319747924805,50.454288482666016,-9.383255004882812,16.97185516357422,0.02593204379081726,1.7159844636917114,-1.7157326936721802,0.03115931525826454
-40.104148864746094,37.00553512573242,7.931270122528076,9.652499198913574,0.03284725546836853,2.1847665309906006,-2.177527666091919,0.03981468081474304
-49.441226959228516,48.94784164428711,-7.572176933288574,-12.83618450164795,0.04840648174285889,2.447699546813965,-2.452529191970825,0.0432768277823925
-50.14384841918945,42.59422302246094,6.690057754516602,-1.0768349170684814,0.06050810217857361,2.9061026573181152,-2.917783498764038,0.051932193338871
-56.60017013549805,53.53743362426758,2.599520683288574,-0.858346700668335,0.07606732845306396,3.1949830055236816,-3.225646734237671,0.04500789940357208
-59.36382293701172,33.09501647949219,28.43079376220703,2.629662275314331,0.09162655472755432,3.544407367706299,-3.583667516708374,0.05885648354887962
-61.456077575683594,57.58844757080078,7.291147708892822,5.743119716644287,0.09854176640510559,3.779663324356079,-3.822348117828369,0.06231863051652908
-66.52276611328125,39.82329559326172,31.233278274536133,7.935805320739746,0.10027056932449341,4.108329772949219,-4.149236679077148,0.06578078120946884
-70.89464569091797,62.607337951660156,7.689272880554199,-0.35894498229026794,0.11410099267959595,4.270933151245117,-4.330841541290283,0.0605875588953495
-73.66609954833984,45.92713928222656,26.088882446289062,-2.551630735397339,0.11755859851837158,4.528676509857178,-4.586817741394043,0.06404970586299896
-77.73350524902344,64.402587890625,10.140472412109375,-5.0096235275268555,0.1279314160346985,4.667062282562256,-4.735560894012451,0.06751184910535812
-78.20972442626953,44.217750549316406,35.159881591796875,1.6074492931365967,0.1296602189540863,4.815827369689941,-4.886033058166504,0.06578078120946884
-81.14512634277344,58.876346588134766,22.763370513916016,0.2340945601463318,0.13138902187347412,4.898858547210693,-4.974241256713867,0.06404970586299896
-82.19125366210938,44.061641693115234,38.813262939453125,0.6164489984512329,0.14176183938980103,5.007837772369385,-5.084933757781982,0.07097399979829788
-83.65115356445312,51.25044250488281,31.904626846313477,-0.8427404165267944,0.13484662771224976,5.047623634338379,-5.122984409332275,0.069242924451828
-85.0251693725586,40.06526184082031,44.26991271972656,-1.0846381187438965,0.1400330364704132,5.094328880310059,-5.174871444702148,0.06404970586299896
-87.35163116455078,50.462093353271484,33.23951721191406,-5.680694580078125,0.14349064230918884,5.061461925506592,-5.148927688598633,0.0605875588953495
-85.3686752319336,30.737775802612305,54.472835540771484,-0.4603859484195709,0.1400330364704132,5.044163703918457,-5.128172874450684,0.06404970586299896
-85.9073486328125,47.769222259521484,37.04121780395508,-1.755709171295166,0.13484662771224976,4.964591979980469,-5.050342559814453,0.05366326496005058
-86.27427673339844,28.9737491607666,57.6422233581543,0.24189770221710205,0.1279314160346985,4.902318477630615,-4.984618663787842,0.05712541192770004
-86.04006958007812,42.274200439453125,44.16062545776367,0.7178899645805359,0.12620261311531067,4.788149833679199,-4.870467185974121,0.05539434030652046
-84.69728088378906,32.11153030395508,54.44941711425781,3.2617175579071045,0.13138902187347412,4.653223991394043,-4.740749359130859,0.04847004637122154
-85.51700592041016,39.00372314453125,45.19887161254883,-1.9195753335952759,0.12274500727653503,4.4750518798828125,-4.562603950500488,0.0432768277823925
-82.40204620361328,30.83924674987793,51.178550720214844,-0.47599226236343384,0.12101620435714722,4.2778520584106445,-4.360244274139404,0.0432768277823925
-80.79381561279297,37.21628189086914,42.966251373291016,-0.7803151607513428,0.11064338684082031,4.040866374969482,-4.1267523765563965,0.03808360919356346
-79.14656066894531,26.195016860961914,52.54466247558594,-0.8895593285560608,0.10545697808265686,3.8056106567382812,-3.8863422870635986,0.03115931525826454
-76.5468521118164,31.19829559326172,43.34876251220703,-3.511418342590332,0.10199937224388123,3.5322985649108887,-3.613070249557495,0.02942824177443981
-73.15864562988281,18.77205467224121,54.5352897644043,0.0390157587826252,0.09681296348571777,3.258986473083496,-3.3346095085144043,0.0259660966694355
-70.62139892578125,23.837778091430664,45.94828414916992,-1.2407010793685913,0.08644014596939087,2.951077938079834,-3.0267462730407715,0.017310731112957
-66.84284973144531,10.826128959655762,54.76947784423828,-2.106851100921631,0.08125373721122742,2.62933087348938,-2.701587200164795,0.01557965762913227
-63.39219284057617,13.331671714782715,47.75155258178711,-3.7767255306243896,0.07260972261428833,2.2850961685180664,-2.3539438247680664,0.0086553655564785
-59.12961196899414,4.183709621429443,53.73904037475586,-2.0756382942199707,0.06396570801734924,1.9270228147506714,-1.9890047311782837,0.003462146269157529
-54.64063262939453,4.168098449707031,49.74998474121094,-1.2953232526779175,0.05359289050102234,1.5568406581878662,-1.6206064224243164,-0.0017310731345787644
-49.90964126586914,-1.1473979949951172,51.522029876708984,0.6944805383682251,0.04149127006530762,1.1745498180389404,-1.2297238111495972,-0.003462146269157529
-45.428466796875,-0.5932125449180603,46.44008255004883,0.7412994503974915,0.031118452548980713,0.7818800210952759,-0.8284636735916138,-0.01038643904030323
-40.96290969848633,-5.096944808959961,46.83821105957031,1.3811578750610352,0.017288029193878174,0.37883123755455017,-0.42201492190361023,-0.017310731112957
-36.18507385253906,-3.137782096862793,39.320674896240234,0.17947249114513397,0.0069152116775512695,-0.03113681450486183,-0.003459138562902808,-0.02250394970178604
-31.196453094482422,-9.147961616516113,40.366729736328125,0.09363782405853271,-0.005186408758163452,-0.451483815908432,0.42374446988105774,-0.02769717015326023
-25.958009719848633,-7.992758274078369,33.364418029785156,-0.9363782405853271,-0.02074563503265381,-0.8666413426399231,0.8440298438072205,-0.034621462225914
-20.6571102142334,-14.14343547821045,33.81718826293945,-1.7635122537612915,-0.03284725546836853,-1.2887181043624878,1.276422142982483,-0.03808360919356346
-15.098583221435547,-15.610856056213379,29.24265480041504,-2.575040102005005,-0.04494887590408325,-1.7056055068969727,1.7001665830612183,-0.04500789940357208
-9.672774314880371,-20.497055053710938,28.8991756439209,-2.22389817237854,-0.057050496339797974,-2.1276822090148926,2.130829334259033,-0.05020112171769142
-4.10644006729126,-23.619226455688477,25.995206832885742,-2.9730007648468018,-0.0691521167755127,-2.5376503467559814,2.5476555824279785,-0.051932193338871
1.0070927143096924,-27.888795852661133,25.042829513549805,-3.129063844680786,-0.08125373721122742,-2.951077938079834,2.971400022506714,-0.05885648354887962
6.4719367027282715,-31.151464462280273,22.97414207458496,-2.9105756282806396,-0.09335535764694214,-3.3506672382354736,3.381308078765869,-0.06578078120946884
11.819677352905273,-34.64829635620117,21.67047882080078,-1.989803671836853,-0.10718578100204468,-3.7571754455566406,3.7894864082336426,-0.06751184910535812
16.81610679626465,-36.63867950439453,18.883604049682617,-1.6230555772781372,-0.11582979559898376,-4.146385669708252,4.187287330627441,-0.07097399979829788
22.29656410217285,-39.721824645996094,17.095947265625,-0.5774332284927368,-0.12274500727653503,-4.533865928649902,4.579899311065674,-0.07616721838712692
27.605270385742188,-39.315940856933594,11.974968910217285,0.5150080323219299,-0.13311782479286194,-4.902318477630615,4.956945419311523,-0.08136043697595596
32.0942497253418,-41.18143844604492,9.72673511505127,1.131456971168518,-0.14521944522857666,-5.263851165771484,5.325344085693359,-0.08482258021831512
36.723751068115234,-41.10338592529297,4.769690990447998,0.7256931066513062,-0.15559226274490356,-5.606356143951416,5.674716949462891,-0.09001579880714417
41.01755905151367,-41.39218521118164,0.733798623085022,0.6398584246635437,-0.16423627734184265,-5.94194221496582,6.017171382904053,-0.09174687415361404
45.10057830810547,-43.36695861816406,-1.6393373012542725,0.16386619210243225,-0.17288029193878174,-6.258499622344971,6.342330455780029,-0.0952090173959732
