1-110kVⅠ段母线电压Ua_1,2-110kVⅠ段母线电压Ub_2,3-110kVⅠ段母线电压Uc_3,4-110kVⅠ段母线电压3Uo_4,41-110kV香居I回线151线路电流Ia_41,42-110kV香居I回线151线路电流Ib_42,43-110kV香居I回线151线路电流Ic_43,44-110kV香居I回线151线路电流3Io_44
69.3771743774414,-77.36305236816406,7.603532314300537,-0.3484654724597931,-0.3185010552406311,0.7766072750091553,-0.3185352683067322,0.07070715725421906
72.39495086669922,-75.20880126953125,2.566192150115967,-0.12671472132205963,-0.3185010552406311,0.7413069605827332,-0.28314244747161865,0.07070715725421906
75.2856674194336,-72.579345703125,-2.7562804222106934,0.22175075113773346,-0.3892790675163269,0.7413069605827332,-0.24774964153766632,0.10606072843074799
77.76342010498047,-69.3162841796875,-8.268840789794922,0.5068588852882385,-0.4246680736541748,0.7766072750091553,-0.212356835603714,0.07070715725421906
79.70115661621094,-65.76809692382812,-13.622995376586914,0.7286096215248108,-0.4600570797920227,0.7766072750091553,-0.17696402966976166,0.10606072843074799
81.44829559326172,-62.2515983581543,-18.818742752075195,0.8236456513404846,-0.4600570797920227,0.7413069605827332,-0.106178417801857,0.10606072843074799
82.71893310546875,-58.545013427734375,-23.697675704956055,0.8870030045509338,-0.4954460859298706,0.706006646156311,-0.106178417801857,0.07070715725421906
83.38602447509766,-54.48994827270508,-28.481563568115234,0.79196697473526,-0.5308350920677185,0.706006646156311,0.0,0.1414143145084381
83.79898071289062,-50.18143844604492,-33.26545333862305,0.6018949151039124,-0.5662240982055664,0.706006646156311,0.03539280593395233,0.10606072843074799
84.33900451660156,-45.96797180175781,-38.017662048339844,0.6018949151039124,-0.5308350920677185,0.6707062721252441,0.07078561186790466,0.10606072843074799
84.75196838378906,-41.37434387207031,-43.023319244384766,0.5385375618934631,-0.5662240982055664,0.6707062721252441,0.07078561186790466,0.1414143145084381
84.72019958496094,-36.52727127075195,-47.80720901489258,0.5068588852882385,-0.6370021104812622,0.6001056432723999,0.14157122373580933,0.10606072843074799
84.27547454833984,-31.521800994873047,-52.305965423583984,0.6018949151039124,-0.6370021104812622,0.6001056432723999,0.17696402966976166,0.10606072843074799
83.41779327392578,-26.421289443969727,-56.48790740966797,0.6969309449195862,-0.6370021104812622,0.5648053288459778,0.212356835603714,0.10606072843074799
82.21067810058594,-21.384136199951172,-60.2896728515625,0.7286096215248108,-0.6016131043434143,0.5295049548149109,0.28314244747161865,0.1414143145084381
80.62237548828125,-16.251943588256836,-63.774627685546875,0.7286096215248108,-0.6723911166191101,0.49420464038848877,0.3185352683067322,0.10606072843074799
78.58934020996094,-11.246471405029297,-66.84771728515625,0.6018949151039124,-0.6370021104812622,0.45890429615974426,0.3539280593395233,0.10606072843074799
76.36571502685547,-6.082598686218262,-69.92081451416016,0.47518017888069153,-0.6370021104812622,0.38830363750457764,0.38932088017463684,0.10606072843074799
73.98326110839844,-0.7920050621032715,-72.93054962158203,0.19007207453250885,-0.6016131043434143,0.38830363750457764,0.424713671207428,0.10606072843074799
71.1878433227539,4.530268669128418,-75.68682861328125,-0.09503603726625443,-0.6370021104812622,0.3530033230781555,0.4601064920425415,0.10606072843074799
67.78886413574219,10.105984687805176,-78.09461212158203,-0.47518017888069153,-0.6370021104812622,0.317702978849411,0.49549928307533264,0.1414143145084381
64.16753387451172,15.428258895874023,-79.99549102783203,-0.79196697473526,-0.6370021104812622,0.24710232019424438,0.5308920741081238,0.10606072843074799
60.57796096801758,20.592130661010742,-81.64292907714844,-0.8553243279457092,-0.6016131043434143,0.17650166153907776,0.5308920741081238,0.07070715725421906
56.70249557495117,25.470882415771484,-82.59336853027344,-0.79196697473526,-0.6016131043434143,0.17650166153907776,0.6016777157783508,0.07070715725421906
52.57290267944336,30.191232681274414,-83.22699737548828,-0.6652522683143616,-0.5662240982055664,0.14120133221149445,0.6016777157783508,0.10606072843074799
48.3480110168457,35.03830337524414,-83.76557922363281,-0.5385375618934631,-0.5308350920677185,0.03530033305287361,0.6016777157783508,0.10606072843074799
44.0278205871582,39.8853759765625,-84.20912170410156,-0.25342944264411926,-0.5308350920677185,0.03530033305287361,0.6370705366134644,0.03535357862710953
39.42173385620117,44.85916519165039,-84.58929443359375,-0.28510811924934387,-0.5308350920677185,0.0,0.6724632978439331,0.07070715725421906
34.497989654541016,49.57951736450195,-84.49424743652344,-0.4435015022754669,-0.4954460859298706,-0.03530033305287361,0.6724632978439331,0.10606072843074799
29.478944778442383,54.01474380493164,-83.98735046386719,-0.5702162384986877,-0.4600570797920227,-0.10590099543333054,0.6724632978439331,0.07070715725421906
24.301069259643555,58.10149002075195,-82.97354125976562,-0.6018949151039124,-0.4246680736541748,-0.17650166153907776,0.6724632978439331,0.03535357862710953
19.18672752380371,61.744712829589844,-81.54788208007812,-0.6018949151039124,-0.4246680736541748,-0.21180199086666107,0.6724632978439331,0.03535357862710953
14.072383880615234,65.07113647460938,-79.67868041992188,-0.5702162384986877,-0.353890061378479,-0.24710232019424438,0.7078561186790466,0.03535357862710953
8.98980712890625,68.11243438720703,-77.5560302734375,-0.3167867958545685,-0.3185010552406311,-0.2824026644229889,0.7078561186790466,0.03535357862710953
4.002529144287109,71.34381866455078,-75.49673461914062,0.0,-0.3185010552406311,-0.317702978849411,0.6724632978439331,0.0
-1.3659424781799316,74.3217544555664,-73.08895111083984,0.22175075113773346,-0.2831120491027832,-0.3530033230781555,0.7078561186790466,0.03535357862710953
-6.734414100646973,76.98289489746094,-70.14258575439453,0.5068588852882385,-0.2477230429649353,-0.38830363750457764,0.7078561186790466,0.03535357862710953
-12.26171588897705,79.10546112060547,-66.59426879882812,0.633573591709137,-0.2123340368270874,-0.49420464038848877,0.7078561186790466,0.0
-18.011381149291992,69.47468566894531,-50.21499252319336,1.7106486558914185,-0.2477230429649353,2.718125581741333,-2.583674907684326,-0.10606072843074799
-22.58570098876953,63.93064880371094,-40.71057891845703,1.4572192430496216,-0.1415560245513916,5.330349922180176,-5.23813533782959,-0.1414143145084381
-27.350616455078125,63.867286682128906,-35.483150482177734,1.9957568645477295,-0.1769450306892395,7.695472240447998,-7.680239200592041,-0.1414143145084381
-32.337894439697266,57.75300979614258,-25.313425064086914,0.3167867958545685,-0.1415560245513916,9.460489273071289,-9.44987964630127,-0.1414143145084381
-36.9439811706543,63.17032241821289,-25.250062942504883,1.3621832132339478,-0.1061670184135437,11.225505828857422,-11.21951961517334,-0.17676788568496704
-42.153621673583984,61.11111068725586,-18.02670669555664,1.58393394947052,-0.0707780122756958,12.955222129821777,-13.059946060180664,-0.21212145686149597
-46.855003356933594,67.03530883789062,-20.40281105041504,-0.6018949151039124,-0.0353890061378479,14.579036712646484,-14.758800506591797,-0.2474750429391861
-52.06464385986328,64.7860107421875,-13.591313362121582,-1.5522552728652954,0.0707780122756958,16.0616512298584,-16.280691146850586,-0.21212145686149597
-56.03540802001953,68.01739501953125,-12.007244110107422,-0.19007207453250885,0.1061670184135437,17.332462310791016,-17.6610107421875,-0.2474750429391861
-60.00617218017578,70.10828399658203,-9.91627311706543,0.03167868033051491,0.1061670184135437,18.638574600219727,-19.041330337524414,-0.2474750429391861
-63.945167541503906,70.3934097290039,-6.304595470428467,0.03167868033051491,0.1415560245513916,19.874086380004883,-20.280078887939453,-0.2828286290168762
-67.12178039550781,69.28459930419922,-2.1860156059265137,-0.15839339792728424,0.1769450306892395,21.038997650146484,-21.448040008544922,-0.2828286290168762
-69.91719818115234,66.08489990234375,4.53043794631958,1.1087538003921509,0.1415560245513916,22.062707901000977,-22.545217514038086,-0.31818220019340515
-72.29965209960938,64.05736541748047,8.363884925842285,0.09503603726625443,0.1415560245513916,22.98051643371582,-23.465431213378906,-0.31818220019340515
-75.22213745117188,59.87558364868164,15.143701553344727,-0.4118228256702423,0.1769450306892395,23.686521530151367,-24.20867919921875,-0.31818220019340515
-77.66812896728516,55.915557861328125,21.22652816772461,-0.9503603577613831,0.2477230429649353,24.180727005004883,-24.704179763793945,-0.31818220019340515
-79.54232788085938,54.3949089050293,24.838205337524414,-0.47518017888069153,0.2831120491027832,24.4631290435791,-25.058107376098633,-0.388889342546463
-81.09886169433594,52.367374420166016,28.10138702392578,-1.1087538003921509,0.2831120491027832,24.639631271362305,-25.199678421020508,-0.31818220019340515
-82.14714813232422,51.67041015625,29.875545501708984,-1.013717770576477,0.2831120491027832,24.56903076171875,-25.199678421020508,-0.3535357713699341
-82.87776947021484,50.14976119995117,32.473419189453125,-0.47518017888069153,0.3185010552406311,24.498430252075195,-25.0935001373291,-0.31818220019340515
-83.19542694091797,49.99135971069336,33.360496520996094,0.22175075113773346,0.2831120491027832,24.321928024291992,-24.916536331176758,-0.388889342546463
-83.83074951171875,47.01342010498047,37.03553771972656,0.3801441490650177,0.3185010552406311,24.110126495361328,-24.704179763793945,-0.31818220019340515
-84.21194458007812,43.46523666381836,40.99571228027344,0.4118228256702423,0.2831120491027832,23.72182273864746,-24.314857482910156,-0.31818220019340515
-84.30724334716797,39.69529342651367,44.73411560058594,0.22175075113773346,0.3185010552406311,23.192317962646484,-23.783966064453125,-0.3535357713699341
-83.76721954345703,35.355106353759766,48.155704498291016,-0.3801441490650177,0.353890061378479,22.486310958862305,-23.111501693725586,-0.31818220019340515
-82.84600067138672,31.49011993408203,50.690216064453125,-1.0770751237869263,0.353890061378479,21.67440414428711,-22.297468185424805,-0.2828286290168762
-81.73418426513672,27.498414993286133,53.3514518737793,-1.4572192430496216,0.353890061378479,20.756595611572266,-21.341861724853516,-0.2828286290168762
-80.17765045166016,24.457115173339844,54.68206787109375,-1.6472913026809692,0.4246680736541748,19.732885360717773,-20.35086441040039,-0.2474750429391861
-78.17638397216797,21.22573471069336,56.107730865478516,-1.3305045366287231,0.3892790675163269,18.603275299072266,-19.218294143676758,-0.21212145686149597
-76.2068862915039,17.867633819580078,57.75516128540039,-0.79196697473526,0.4246680736541748,17.40306282043457,-17.97954559326172,-0.21212145686149597
