1-220kV母线电压Ua_1,2-220kV母线电压Ub_2,3-220kV母线电压Uc_3,4-220kV母线电压3Uo_4,5-220kV腾冲变线路电流Ia_5,6-220kV腾冲变线路电流Ib_6,7-220kV腾冲变线路电流Ic_7,8-220kV腾冲变线路电流3Io_8
41.06761932373047,-85.56623077392578,44.43452835083008,-0.15846014022827148,0.09883599728345871,-0.23275473713874817,0.14125090837478638,-0.007030300796031952
45.80374526977539,-85.37608337402344,39.395233154296875,-0.34861230850219727,0.10589570552110672,-0.23275473713874817,0.12006326764822006,-0.007030300796031952
50.50808334350586,-84.90071868896484,34.260860443115234,-0.28522825241088867,0.12707485258579254,-0.23275473713874817,0.10593818128108978,-0.007030300796031952
54.735633850097656,-84.10843658447266,29.22156524658203,-0.31692028045654297,0.13413456082344055,-0.23275473713874817,0.09887563437223434,-0.007030300796031952
58.86782455444336,-82.87248229980469,23.928722381591797,-0.19015216827392578,0.14825399219989777,-0.23275473713874817,0.07768799364566803,-0.007030300796031952
62.80929946899414,-81.50975799560547,18.635879516601562,-0.15846014022827148,0.15531370043754578,-0.23275473713874817,0.07062545418739319,-0.007030300796031952
66.4964828491211,-79.76673889160156,13.247955322265625,-0.09507608413696289,0.169433131814003,-0.21864838898181915,0.04943781718611717,-0.007030300796031952
69.51615905761719,-77.67512512207031,8.113579750061035,-0.15846014022827148,0.169433131814003,-0.21864838898181915,0.042375270277261734,-0.007030300796031952
72.567626953125,-75.5201187133789,2.9158177375793457,-0.1267681121826172,0.1835525631904602,-0.21864838898181915,0.028250180184841156,0.0
75.33301544189453,-73.04821014404297,-2.250250816345215,-0.0316920280456543,0.19061227142810822,-0.20454204082489014,0.014125090092420578,0.0
77.46268463134766,-70.13262176513672,-7.321238040924072,-0.0633840560913086,0.20473170280456543,-0.20454204082489014,0.0,0.007030300796031952
79.62413787841797,-67.21702575683594,-12.297144889831543,0.15846014022827148,0.20473170280456543,-0.19748885929584503,-0.014125090092420578,-0.007030300796031952
81.18165588378906,-63.76268768310547,-17.20966339111328,0.2535362243652344,0.20473170280456543,-0.19043569266796112,-0.021187635138630867,0.0
82.80274200439453,-60.21327209472656,-22.312345504760742,0.31692028045654297,0.21885113418102264,-0.1763293445110321,-0.042375270277261734,-0.007030300796031952
84.04240417480469,-56.442020416259766,-27.3199462890625,0.28522825241088867,0.21885113418102264,-0.1622229963541031,-0.06356290727853775,-0.007030300796031952
84.74169921875,-52.06863784790039,-32.58109664916992,-0.0316920280456543,0.22591084241867065,-0.14811664819717407,-0.07062545418739319,0.0
85.25027465820312,-47.60017776489258,-37.58869552612305,-0.09507608413696289,0.23297056555747986,-0.13401030004024506,-0.08475054055452347,0.0
85.28205871582031,-42.84649658203125,-42.437828063964844,-0.15846014022827148,0.22591084241867065,-0.12695713341236115,-0.10593818128108978,0.0
85.02777099609375,-37.7125244140625,-47.31865310668945,-0.09507608413696289,0.23297056555747986,-0.11285077780485153,-0.11300072073936462,0.0
84.51919555664062,-32.64193344116211,-51.72407150268555,0.0633840560913086,0.22591084241867065,-0.09874442964792252,-0.13418835401535034,0.0
83.8516845703125,-27.571340560913086,-56.0344123840332,0.2535362243652344,0.22591084241867065,-0.0846380889415741,-0.14831344783306122,0.007030300796031952
82.61203002929688,-22.500749588012695,-59.80595779418945,0.31692028045654297,0.23297056555747986,-0.07758491486310959,-0.14831344783306122,0.0
80.99093627929688,-17.14493751525879,-63.67258834838867,0.1267681121826172,0.22591084241867065,-0.06347856670618057,-0.16950108110904694,0.0
78.92484283447266,-11.72574234008789,-67.15888977050781,-0.09507608413696289,0.21179141104221344,-0.04937221482396126,-0.17656363546848297,0.007030300796031952
76.89053344726562,-6.591768741607666,-70.29656219482422,-0.22184419631958008,0.21885113418102264,-0.04231904447078705,-0.17656363546848297,-0.007030300796031952
74.50657653808594,-1.2993390560150146,-73.33915710449219,-0.31692028045654297,0.21179141104221344,-0.021159522235393524,-0.19068871438503265,0.0
71.80476379394531,3.898017168045044,-75.77957153320312,-0.28522825241088867,0.19767199456691742,-0.007053173612803221,-0.19068871438503265,0.0
68.94401550292969,9.000299453735352,-77.99813079833984,-0.2535362243652344,0.19767199456691742,0.014106347225606441,-0.20481380820274353,0.0
65.79718780517578,14.007509231567383,-79.93144226074219,-0.41199636459350586,0.19061227142810822,0.028212694451212883,-0.21187636256217957,0.007030300796031952
62.4278678894043,18.919645309448242,-81.51612091064453,-0.38030433654785156,0.1835525631904602,0.04231904447078705,-0.2189389020204544,-0.007030300796031952
58.80425262451172,24.117000579833984,-83.03742218017578,-0.41199636459350586,0.169433131814003,0.056425388902425766,-0.2189389020204544,0.007030300796031952
54.608489990234375,29.31435775756836,-84.14669799804688,-0.538764476776123,0.16237342357635498,0.07053174078464508,-0.22600144147872925,0.007030300796031952
50.2537956237793,34.32156753540039,-84.78057098388672,-0.47538042068481445,0.14825399219989777,0.0916912630200386,-0.22600144147872925,-0.007030300796031952
45.517669677734375,39.42384719848633,-85.0658187866211,-0.34861230850219727,0.13413456082344055,0.09874442964792252,-0.22600144147872925,0.007030300796031952
40.65439987182617,44.36767578125,-85.0658187866211,-0.19015216827392578,0.11295542120933533,0.11285077780485153,-0.23306399583816528,0.007030300796031952
35.695770263671875,48.89951705932617,-84.65380096435547,-0.19015216827392578,0.10589570552110672,0.12695713341236115,-0.24012653529644012,0.007030300796031952
30.482852935791016,53.367977142333984,-83.86145782470703,-0.15846014022827148,0.0917762815952301,0.14106348156929016,-0.24012653529644012,0.0
25.333507537841797,57.551212310791016,-82.87895202636719,-0.15846014022827148,0.0847165659070015,0.14811664819717407,-0.23306399583816528,-0.007030300796031952
19.898088455200195,61.354156494140625,-81.38935089111328,-0.34861230850219727,0.07059714198112488,0.1622229963541031,-0.23306399583816528,0.0
14.526239395141602,65.34724426269531,-80.05821228027344,-0.47538042068481445,0.056477710604667664,0.1763293445110321,-0.23306399583816528,0.0
9.345108032226562,68.67481994628906,-78.21998596191406,-0.41199636459350586,0.04235828295350075,0.1833825260400772,-0.2189389020204544,0.0
4.163976669311523,71.74887084960938,-76.00142669677734,-0.22184419631958008,0.028238855302333832,0.19043569266796112,-0.2189389020204544,0.007030300796031952
-0.7628659605979919,74.72784423828125,-73.94133758544922,-0.0316920280456543,0.021179141476750374,0.19043569266796112,-0.21187636256217957,0.0
-5.785067081451416,77.04129791259766,-71.05721282958984,0.22184419631958008,0.007059713825583458,0.19748885929584503,-0.21187636256217957,0.0
-10.775482177734375,79.22798919677734,-68.14139556884766,0.41199636459350586,-0.007059713825583458,0.21159520745277405,-0.1977512687444687,0.0
-15.765896797180176,80.90762329101562,-64.84525299072266,0.38030433654785156,-0.028238855302333832,0.21864838898181915,-0.19068871438503265,0.0
-20.692739486694336,82.20696258544922,-61.26386642456055,0.34861230850219727,-0.04235828295350075,0.21864838898181915,-0.1836261749267578,0.007030300796031952
-25.842084884643555,83.69644927978516,-57.777565002441406,0.0633840560913086,-0.056477710604667664,0.23275473713874817,-0.16950108110904694,0.007030300796031952
-31.21393394470215,84.7105712890625,-53.403839111328125,0.0633840560913086,-0.07765685021877289,0.22570155560970306,-0.1624385416507721,0.007030300796031952
-36.204349517822266,85.34439086914062,-48.998416900634766,0.15846014022827148,-0.0917762815952301,0.22570155560970306,-0.14831344783306122,0.0
-41.1629753112793,85.6929931640625,-44.402835845947266,0.1267681121826172,-0.10589570552110672,0.23275473713874817,-0.13418835401535034,0.0
-45.86731719970703,85.28101348876953,-39.173377990722656,0.31692028045654297,-0.12001513689756393,0.23275473713874817,-0.1271258145570755,0.0
-50.38093948364258,84.8056411743164,-34.260860443115234,0.22184419631958008,-0.12001513689756393,0.23275473713874817,-0.10593818128108978,0.0
-54.76742172241211,84.07674407958984,-29.126483917236328,0.22184419631958008,-0.14119428396224976,0.23275473713874817,-0.09887563437223434,0.0
-58.74068069458008,82.87248229980469,-24.055496215820312,0.15846014022827148,-0.14825399219989777,0.22570155560970306,-0.07768799364566803,0.0
-62.77751159667969,81.63652038574219,-18.762653350830078,0.15846014022827148,-0.16237342357635498,0.22570155560970306,-0.06356290727853775,0.0
-66.401123046875,79.86181640625,-13.343035697937012,0.19015216827392578,-0.169433131814003,0.22570155560970306,-0.05650036036968231,-0.007030300796031952
-69.32544708251953,77.70681762695312,-8.303742408752441,0.15846014022827148,-0.1835525631904602,0.21864838898181915,-0.04943781718611717,0.0
-72.567626953125,75.74195861816406,-3.0742862224578857,0.09507608413696289,-0.19061227142810822,0.21864838898181915,-0.035312727093696594,-0.007030300796031952
-75.20587158203125,73.2066650390625,2.060088634490967,0.0633840560913086,-0.19767199456691742,0.21159520745277405,-0.014125090092420578,0.0
-77.36732482910156,70.35445404052734,7.099382400512695,0.1267681121826172,-0.20473170280456543,0.19748885929584503,0.0,-0.007030300796031952
-79.71949768066406,67.31210327148438,12.297144889831543,-0.09507608413696289,-0.20473170280456543,0.19043569266796112,0.014125090092420578,0.0
-81.24522399902344,63.85776138305664,17.20966339111328,-0.28522825241088867,-0.21885113418102264,0.1763293445110321,0.035312727093696594,-0.007030300796031952
-82.99346160888672,60.403419494628906,22.312345504760742,-0.44368839263916016,-0.21885113418102264,0.1763293445110321,0.042375270277261734,-0.007030300796031952
-84.13776397705078,56.47371292114258,27.47841453552246,-0.31692028045654297,-0.22591084241867065,0.1622229963541031,0.05650036036968231,-0.007030300796031952
-84.74169921875,52.16371154785156,32.549400329589844,0.0,-0.23297056555747986,0.15516982972621918,0.07768799364566803,0.0
-85.34563446044922,47.69525146484375,37.68377685546875,0.15846014022827148,-0.23297056555747986,0.14106348156929016,0.08475054055452347,-0.007030300796031952
-85.28205871582031,42.8148078918457,42.53290939331055,0.15846014022827148,-0.24003027379512787,0.11990395188331604,0.10593818128108978,0.0
-85.12313079833984,37.87097930908203,47.25526428222656,0.0633840560913086,-0.23297056555747986,0.11285077780485153,0.12006326764822006,-0.007030300796031952
-84.61455535888672,32.76869583129883,51.81915283203125,-0.0633840560913086,-0.23297056555747986,0.0916912630200386,0.1271258145570755,-0.007030300796031952
-83.88346862792969,27.72979736328125,55.97102355957031,-0.15846014022827148,-0.23297056555747986,0.0846380889415741,0.13418835401535034,-0.007030300796031952
-82.64381408691406,22.69089698791504,59.77426528930664,-0.28522825241088867,-0.23297056555747986,0.07053174078464508,0.15537598729133606,-0.007030300796031952
-80.9273681640625,17.27170181274414,63.60919952392578,-0.09507608413696289,-0.22591084241867065,0.056425388902425766,0.16950108110904694,-0.007030300796031952
-79.02020263671875,11.97927188873291,67.06381225585938,0.0633840560913086,-0.22591084241867065,0.04937221482396126,0.16950108110904694,-0.007030300796031952
-76.85874938964844,6.813607215881348,70.10639953613281,0.19015216827392578,-0.21885113418102264,0.028212694451212883,0.1836261749267578,-0.007030300796031952
-74.47479248046875,1.5211774110794067,73.08560943603516,0.28522825241088867,-0.21885113418102264,0.014106347225606441,0.19068871438503265,-0.007030300796031952
-71.86833190917969,-3.6127963066101074,75.5577163696289,0.28522825241088867,-0.20473170280456543,0.007053173612803221,0.20481380820274353,-0.007030300796031952
-69.00758361816406,-8.715079307556152,77.83966064453125,0.22184419631958008,-0.20473170280456543,-0.007053173612803221,0.20481380820274353,-0.007030300796031952
-65.98790740966797,-13.817361831665039,79.93144226074219,0.28522825241088867,-0.19767199456691742,-0.03526587039232254,0.20481380820274353,-0.007030300796031952
-62.396080017089844,-18.82457160949707,81.32596588134766,0.28522825241088867,-0.19061227142810822,-0.04231904447078705,0.2189389020204544,-0.007030300796031952
-58.80425262451172,-24.021926879882812,82.97403717041016,0.34861230850219727,-0.176492840051651,-0.056425388902425766,0.22600144147872925,-0.007030300796031952
-54.76742172241211,-29.219284057617188,84.2100830078125,0.538764476776123,-0.16237342357635498,-0.06347856670618057,0.23306399583816528,-0.007030300796031952
-50.28558349609375,-34.35325622558594,84.87565612792969,0.47538042068481445,-0.15531370043754578,-0.0916912630200386,0.23306399583816528,-0.007030300796031952
-45.7083854675293,-39.48723220825195,85.44613647460938,0.41199636459350586,-0.14119428396224976,-0.09874442964792252,0.23306399583816528,-0.007030300796031952
-40.749755859375,-44.43105697631836,85.2559814453125,0.19015216827392578,-0.12707485258579254,-0.11990395188331604,0.23306399583816528,-0.007030300796031952
-35.79113006591797,-49.089664459228516,84.9073486328125,0.09507608413696289,-0.12001513689756393,-0.13401030004024506,0.23306399583816528,-0.007030300796031952
-30.673568725585938,-53.431358337402344,84.14669799804688,0.09507608413696289,-0.09883599728345871,-0.14106348156929016,0.23306399583816528,-0.007030300796031952
-25.460651397705078,-57.51952362060547,83.0691146850586,0.22184419631958008,-0.0917762815952301,-0.15516982972621918,0.23306399583816528,-0.007030300796031952
-20.184162139892578,-61.354156494140625,81.7696762084961,0.38030433654785156,-0.07765685021877289,-0.1622229963541031,0.23306399583816528,-0.007030300796031952
-14.78052806854248,-65.18878936767578,80.18498992919922,0.44368839263916016,-0.06353742629289627,-0.1692761778831482,0.23306399583816528,-0.007030300796031952
-9.47225284576416,-68.51636505126953,78.18828582763672,0.41199636459350586,-0.049417998641729355,-0.1763293445110321,0.22600144147872925,-0.007030300796031952
-4.291121006011963,-71.65379333496094,76.03311920166016,0.15846014022827148,-0.04235828295350075,-0.19748885929584503,0.22600144147872925,0.0
0.6675077080726624,-74.44261932373047,73.78286743164062,0.0,-0.028238855302333832,-0.19748885929584503,0.2189389020204544,0.0
5.530778408050537,-76.69269561767578,71.02552032470703,-0.28522825241088867,-0.007059713825583458,-0.20454204082489014,0.20481380820274353,-0.007030300796031952
10.711910247802734,-78.9744644165039,68.04631042480469,-0.41199636459350586,0.007059713825583458,-0.20454204082489014,0.20481380820274353,0.0
6.230072021484375,10.711624145507812,-27.09808921813965,-24.561321258544922,0.021179141476750374,-0.24686108529567719,0.23306399583816528,0.007030300796031952
18.97629165649414,-4.500149726867676,-12.3605318069458,5.958101272583008,0.04235828295350075,-0.3244459927082062,0.30368945002555847,0.021090902388095856
33.47074508666992,-23.197956085205078,-3.3595292568206787,13.120499610900879,0.056477710604667664,-0.38087138533592224,0.3460647165775299,0.021090902388095856
33.629676818847656,-4.56353235244751,-29.126483917236328,0.34861230850219727,0.06353742629289627,-0.4372967779636383,0.38843998312950134,0.007030300796031952
40.972259521484375,-30.391857147216797,-11.282947540283203,-1.3627572059631348,0.0847165659070015,-0.49372217059135437,0.42375272512435913,0.007030300796031952
