220kVIII母_1,220kVIII母_2,220kVIII母_3,220kVIII母_4,220kV龙嵩II回_17,220kV龙嵩II回_18,220kV龙嵩II回_19,220kV龙嵩II回_20
64.10637664794922,-81.99475860595703,17.98184585571289,-0.23533600568771362,0.04157799854874611,-0.012972000055015087,-0.024914000183343887,0.0025919999461621046
67.7233657836914,-80.13773345947266,12.588085174560547,-0.06276799738407135,0.04157799854874611,-0.011242000386118889,-0.018042000010609627,0.0008619999862276018
70.9913558959961,-77.82835388183594,6.996025085449219,-0.04707999899983406,0.038114000111818314,-0.008647000417113304,-0.025772999972105026,-0.0008679999737069011
74.10862731933594,-75.63801574707031,1.7371089458465576,-0.015704000368714333,0.03897999972105026,-0.008647000417113304,-0.028349999338388443,-0.0008679999737069011
77.04347229003906,-73.11437225341797,-3.7042429447174072,-0.19611600041389465,0.03378399834036827,-0.010377000086009502,-0.03006800077855587,-3.000000106112566e-06
79.42306518554688,-70.22566986083984,-8.971091270446777,-0.023547999560832977,0.03378399834036827,-0.006916999816894531,-0.033504001796245575,-0.0017330000409856439
81.5329818725586,-67.10681915283203,-14.261734962463379,-0.054924000054597855,0.03551600128412247,-0.0025919999461621046,-0.03951700031757355,-0.0017330000409856439
83.09558868408203,-63.361026763916016,-19.457195281982422,0.03920400142669678,0.03291799873113632,0.0008679999737069011,-0.03522200137376785,-0.0017330000409856439
84.3012466430664,-59.49619674682617,-24.454355239868164,0.03136000037193298,0.029454000294208527,0.0034630000591278076,-0.033504001796245575,-0.002597999991849065
85.31654357910156,-55.369476318359375,-29.618087768554688,0.06273599714040756,0.025989999994635582,0.0034630000591278076,-0.03264499828219414,-0.002597999991849065
85.89558410644531,-51.06816482543945,-34.41694641113281,0.09411200135946274,0.030319999903440475,0.005193000193685293,-0.03694000095129013,-0.002597999991849065
86.01456451416016,-46.219268798828125,-39.5489501953125,0.12548799812793732,0.025989999994635582,0.007788000162690878,-0.03951700031757355,-0.002597999991849065
85.76073455810547,-41.26720428466797,-44.02259826660156,0.3059000074863434,0.022525999695062637,0.014708000235259533,-0.03608100116252899,-0.0034630000591278076
85.52277374267578,-36.30720138549805,-48.90871047973633,0.11764399707317352,0.02079400047659874,0.008652999997138977,-0.03951700031757355,-0.0034630000591278076
84.95960235595703,-31.275779724121094,-53.27131271362305,0.2666800022125244,0.025124000385403633,0.013842999935150146,-0.03779900074005127,-0.0008679999737069011
84.1584701538086,-26.268163681030273,-57.6339111328125,-0.10983200371265411,0.01386599987745285,0.01643799990415573,-0.03951700031757355,-0.0008679999737069011
82.89728546142578,-20.83993911743164,-61.710960388183594,0.03920400142669678,0.018195999786257744,0.01643799990415573,-0.03779900074005127,-0.0017330000409856439
81.00153350830078,-15.499011039733887,-65.31208801269531,-0.023547999560832977,0.008670000359416008,0.017302999272942543,-0.03951700031757355,-0.0017330000409856439
79.24063110351562,-9.721603393554688,-69.07185363769531,0.11764399707317352,0.010401999577879906,0.017302999272942543,-0.03779900074005127,-0.0034630000591278076
76.98001098632812,-4.340994834899902,-72.2525863647461,0.17255200445652008,0.0060720001347362995,0.019032999873161316,-0.03522200137376785,-0.0008679999737069011
74.7511215209961,1.0872290134429932,-75.48884582519531,0.015672000125050545,0.005206000059843063,0.029412999749183655,-0.031785998493433,0.0025919999461621046
71.92733001708984,6.420220851898193,-77.99535369873047,-0.1333640068769455,0.0017419999931007624,0.025953000411391258,-0.03522200137376785,-0.0034630000591278076
68.74659729003906,11.784956932067871,-80.43048095703125,-0.298088014125824,0.004339999984949827,0.025953000411391258,-0.03092700056731701,-0.0008679999737069011
65.34376525878906,17.062397003173828,-82.27070617675781,-0.2902440130710602,-0.006918000057339668,0.030277999117970467,-0.02405500039458275,-3.000000106112566e-06
61.96473693847656,22.284284591674805,-84.21404266357422,-0.49418801069259644,-0.00865000020712614,0.028548000380396843,-0.024914000183343887,-0.0017330000409856439
57.92734909057617,27.379196166992188,-85.15795135498047,-0.32161998748779297,-0.006051999982446432,0.030277999117970467,-0.02405500039458275,-0.0034630000591278076
53.80270767211914,32.43442916870117,-86.21290588378906,-0.45496800541877747,-0.006051999982446432,0.027682999148964882,-0.024914000183343887,-0.0008679999737069011
49.26560592651367,37.315067291259766,-86.47466278076172,-0.2745560109615326,-0.00951599981635809,0.03719799965620041,-0.018900999799370766,-0.0017330000409856439
44.47467803955078,42.21158218383789,-86.62537384033203,-0.36868399381637573,-0.016443999484181404,0.027682999148964882,-0.024914000183343887,-0.0017330000409856439
39.62822341918945,47.10015869140625,-86.60950469970703,-0.19611600041389465,-0.0190420001745224,0.027682999148964882,-0.02319600060582161,-0.0034630000591278076
34.75797653198242,51.734779357910156,-86.13359069824219,0.007828000001609325,-0.017309999093413353,0.034602999687194824,-0.01632400043308735,-0.0017330000409856439
29.808408737182617,56.3217887878418,-85.8163070678711,-0.11767599731683731,-0.017309999093413353,0.029412999749183655,-0.01632400043308735,-0.0017330000409856439
24.287736892700195,60.56755065917969,-84.60271453857422,0.015672000125050545,-0.020773999392986298,0.028548000380396843,-0.015464999713003635,-0.0008679999737069011
18.925704956054688,64.56729125976562,-83.30186462402344,-0.22749200463294983,-0.020773999392986298,0.035468000918626785,-0.012028999626636505,-0.0034630000591278076
13.444692611694336,68.11468505859375,-81.31886291503906,0.015672000125050545,-0.01990799978375435,0.031143000349402428,-0.010311000049114227,-0.0008679999737069011
7.99540901184082,71.67794799804688,-79.4786376953125,-0.1333640068769455,-0.02597000077366829,0.035468000918626785,-0.010311000049114227,-0.0034630000591278076
2.7126970291137695,74.93964385986328,-77.24974822998047,0.20392799377441406,-0.03116600029170513,0.027682999148964882,-0.009452000260353088,-0.0008679999737069011
-3.3711469173431396,69.1463623046875,-65.82766723632812,-0.2745560109615326,-0.023372000083327293,0.19549299776554108,-0.16407200694084167,-0.0017330000409856439
-6.567742824554443,44.901885986328125,-36.614112854003906,2.266900062561035,-0.06061000004410744,1.1236380338668823,-1.068598985671997,-0.022492999210953712
-14.539402961730957,34.108924865722656,-20.163143157958984,-1.5688159465789795,-0.09265200048685074,1.843317985534668,-1.7781330347061157,-0.023358000442385674
-17.585290908813477,40.013309478759766,-20.7183837890625,2.2590560913085938,-0.10304400324821472,2.4453580379486084,-2.374279022216797,-0.03719799965620041
-25.794910430908203,39.449851989746094,-13.531991004943848,0.07842399924993515,-0.10217799991369247,3.1555230617523193,-3.0975570678710938,-0.03892799839377403
-29.189807891845703,57.774078369140625,-29.808454513549805,-2.627756118774414,-0.12988999485969543,3.803407907485962,-3.719472885131836,-0.039792999625205994
-33.409629821777344,41.227516174316406,-6.4328508377075195,1.3962160348892212,-0.1506740003824234,4.459942817687988,-4.380043983459473,-0.06314799934625626
-40.58809280395508,57.33759689331055,-19.18750762939453,-4.902515888214111,-0.15500399470329285,5.0360331535339355,-4.943548202514648,-0.07266300171613693
-41.91273498535156,51.06022262573242,-7.931999206542969,1.702131986618042,-0.18531399965286255,5.632018089294434,-5.511346817016602,-0.06401299685239792
-49.8368034362793,53.59180450439453,-6.575626850128174,-5.020175933837891,-0.19830399751663208,6.215892791748047,-6.092889785766602,-0.07871799916028976
-50.54275131225586,58.17881393432617,-6.623219013214111,1.2471799850463867,-0.19916999340057373,6.767763137817383,-6.661548137664795,-0.10380300134420395
-59.2520866394043,43.30674743652344,15.752952575683594,-0.44712400436401367,-0.2147579938173294,7.278112888336182,-7.155473232269287,-0.08996299654245377
-60.782962799072266,60.3770866394043,1.364305019378662,0.7373200058937073,-0.21908800303936005,7.650928020477295,-7.521407127380371,-0.09082800149917603
-65.89910125732422,41.338619232177734,26.3580379486084,2.619879961013794,-0.2199539989233017,7.990872859954834,-7.879610061645508,-0.10812799632549286
-69.1432876586914,60.440574645996094,7.7654290199279785,-2.1335840225219727,-0.2416040003299713,8.3048677444458,-8.175106048583984,-0.10639800131320953
-71.14215850830078,50.480892181396484,23.811864852905273,5.059363842010498,-0.2519960105419159,8.648273468017578,-8.505821228027344,-0.10553299635648727
-75.13195037841797,56.75033187866211,15.768816947937012,-4.965268135070801,-0.24766600131988525,8.919882774353027,-8.782419204711914,-0.11418300122022629
-75.72685241699219,52.37759780883789,26.048688888549805,3.969048023223877,-0.2537280023097992,9.114507675170898,-8.974835395812988,-0.1115880012512207
-83.36536407470703,50.528507232666016,30.109872817993164,-5.145679950714111,-0.25286200642585754,9.293562889099121,-9.150071144104004,-0.11331800371408463
-81.4537582397461,57.86930847167969,25.215829849243164,2.094331979751587,-0.2416040003299713,9.418988227844238,-9.288370132446289,-0.11418300122022629
-86.00672149658203,44.46540451049805,39.23960494995117,-4.267151832580566,-0.2537280023097992,9.535762786865234,-9.401758193969727,-0.11331800371408463
-83.98406219482422,54.353660583496094,30.387493133544922,0.7216320037841797,-0.25805801153182983,9.599773406982422,-9.456733703613281,-0.11331800371408463
-87.38689422607422,42.37030029296875,45.35517883300781,0.48631200194358826,-0.2416040003299713,9.604963302612305,-9.474773406982422,-0.1115880012512207
-86.89510345458984,51.822078704833984,34.41695022583008,-1.5374399423599243,-0.2537280023097992,9.607558250427246,-9.460169792175293,-0.11331800371408463
-86.75233459472656,41.12434768676758,48.44072341918945,4.463220119476318,-0.2450679987668991,9.54527759552002,-9.405194282531738,-0.10899300128221512
-87.70417022705078,42.679805755615234,43.37217712402344,-3.3337159156799316,-0.22774800658226013,9.44147777557373,-9.314998626708984,-0.1072629988193512
-85.39595794677734,38.283260345458984,50.60615921020508,5.482940196990967,-0.22861400246620178,9.280588150024414,-9.14319896697998,-0.1003429964184761
-87.95799255371094,35.608829498291016,49.89228057861328,-4.549536228179932,-0.21735599637031555,9.05482292175293,-8.931884765625,-0.0960180014371872
-83.0877456665039,38.664188385009766,47.30644989013672,4.306340217590332,-0.21562400460243225,8.803108215332031,-8.68964672088623,-0.09169299900531769
-85.23731994628906,31.371004104614258,51.66904830932617,-4.133803844451904,-0.20782999694347382,8.54101276397705,-8.430229187011719,-0.0847729966044426
-80.04978942871094,35.799293518066406,45.577274322509766,1.945296049118042,-0.19916999340057373,8.25902271270752,-8.148476600646973,-0.07871799916028976
-80.43052673339844,24.244476318359375,55.182926177978516,-2.306152105331421,-0.18531399965286255,7.916482925415039,-7.819479942321777,-0.07698799669742584
-78.01919555664062,28.418813705444336,48.95630645751953,-1.5060640573501587,-0.17492200434207916,7.568752765655518,-7.473302841186523,-0.07525800168514252
-75.58407592773438,20.697084426879883,56.396522521972656,2.2355239391326904,-0.15846799314022064,7.183827877044678,-7.100496768951416,-0.06401299685239792
-73.93421936035156,21.871612548828125,50.867916107177734,-2.3532159328460693,-0.14114800095558167,6.779007911682129,-6.702779769897461,-0.05795799940824509
-68.11212921142578,16.252925872802734,55.42088317871094,5.616288185119629,-0.12902399897575378,6.318828105926514,-6.250946044921875,-0.051038000732660294
-66.73196411132812,12.070652961730957,53.30303955078125,-2.572848081588745,-0.1168999969959259,5.8387532234191895,-5.7827911376953125,-0.0441179983317852
-60.36256790161133,12.657917022705078,51.04241943359375,5.38096809387207,-0.0865899994969368,5.3249430656433105,-5.28886604309082,-0.035468000918626785
-59.117244720458984,5.02348518371582,52.462249755859375,-3.2395880222320557,-0.07879599928855896,4.8145928382873535,-4.7811970710754395,-0.031143000349402428
-52.787506103515625,9.007356643676758,45.64866256713867,2.6277239322662354,-0.06667199730873108,4.290402889251709,-4.258066177368164,-0.024222999811172485
-50.38410949707031,-0.5158429741859436,50.090579986572266,-1.615880012512207,-0.03982599824666977,3.747183084487915,-3.7357940673828125,-0.014708000235259533
-44.41131591796875,0.26188498735427856,43.86396026611328,-0.9256079792976379,-0.02510399930179119,3.171092987060547,-3.1731491088867188,-0.007788000162690878
-39.683841705322266,-7.1820831298828125,47.44922637939453,0.7059440016746521,-0.014712000265717506,2.584623098373413,-2.5959010124206543,-0.0008679999737069011
-36.06685256958008,-9.142274856567383,43.959144592285156,-2.517940044403076,0.009535999968647957,1.9730679988861084,-1.9946010112762451,-3.000000106112566e-06
-29.332582473754883,-13.276930809020996,44.72854995727539,3.2081799507141113,0.03465000167489052,1.3390229940414429,-1.3752620220184326,0.019027000293135643
-25.34278678894043,-18.094083786010742,42.23789978027344,-2.5022521018981934,0.044176001101732254,0.7032480239868164,-0.7447559833526611,0.025947000831365585
-18.180191040039062,-16.760835647583008,37.51042938232422,3.859231948852539,0.06409399956464767,0.04238799959421158,-0.09878800064325333,0.02854200080037117
-14.571130752563477,-24.41907501220703,38.232242584228516,-1.8276679515838623,0.08747600018978119,-0.5743569731712341,0.508525013923645,0.031137000769376755
